enst_id	length	syn_prob	syn_count	mis_prob	mis_count
ENST00000012134	2446	7.413e-05	565	1.846e-04	1138
ENST00000012443	499	2.287e-05	131	4.991e-05	175
ENST00000013070	425	1.355e-05	69	3.193e-05	139
ENST00000013125	846	2.168e-05	124	6.013e-05	260
ENST00000013222	263	1.110e-05	85	2.382e-05	177
ENST00000013807	323	1.338e-05	93	2.800e-05	161
ENST00000014914	357	1.329e-05	96	2.996e-05	233
ENST00000014930	189	6.642e-06	51	1.744e-05	115
ENST00000016171	410	1.198e-05	88	3.280e-05	206
ENST00000016913	267	6.996e-06	46	1.877e-05	147
ENST00000017003	865	3.849e-05	245	8.947e-05	405
ENST00000019103	440	1.702e-05	102	3.766e-05	232
ENST00000019317	655	1.931e-05	130	5.191e-05	252
ENST00000020673	1024	4.089e-05	263	9.898e-05	496
ENST00000020926	426	1.829e-05	113	3.858e-05	232
ENST00000020945	268	8.659e-06	61	1.953e-05	101
ENST00000023064	487	2.255e-05	136	4.316e-05	248
ENST00000023939	336	1.140e-05	55	2.657e-05	119
ENST00000024061	798	4.613e-05	295	8.767e-05	484
ENST00000025008	1594	3.596e-05	315	1.026e-04	699
ENST00000025301	1901	4.559e-05	375	1.218e-04	935
ENST00000025399	363	9.925e-06	55	2.617e-05	107
ENST00000026218	760	3.675e-05	268	7.652e-05	489
ENST00000027335	832	2.392e-05	192	6.112e-05	427
ENST00000029410	327	1.573e-05	100	3.539e-05	224
ENST00000033079	915	2.027e-05	149	6.088e-05	397
ENST00000035307	772	2.920e-05	210	8.074e-05	528
ENST00000035383	1537	4.233e-05	320	1.121e-04	529
ENST00000037243	117	4.437e-06	26	9.641e-06	38
ENST00000037502	504	1.595e-05	122	4.037e-05	253
ENST00000037869	138	3.932e-06	28	1.190e-05	81
ENST00000039007	354	9.863e-06	51	2.577e-05	85
ENST00000039989	1141	3.248e-05	235	8.691e-05	518
ENST00000040584	242	1.255e-05	75	2.468e-05	112
ENST00000040663	369	1.965e-05	95	4.240e-05	204
ENST00000040738	3051	8.330e-05	568	2.134e-04	1434
ENST00000040877	1621	6.399e-05	271	1.415e-04	730
ENST00000043402	473	2.405e-05	149	5.344e-05	264
ENST00000044462	261	5.857e-06	41	1.784e-05	52
ENST00000046087	351	1.006e-05	84	3.051e-05	158
ENST00000046794	533	1.899e-05	100	4.373e-05	232
ENST00000052754	359	1.049e-05	81	2.646e-05	166
ENST00000053243	184	6.295e-06	53	1.431e-05	141
ENST00000053468	201	5.746e-06	46	1.546e-05	111
ENST00000053469	201	9.483e-06	51	1.970e-05	110
ENST00000053867	593	2.466e-05	168	5.668e-05	339
ENST00000054650	239	9.940e-06	64	2.441e-05	132
ENST00000054666	100	3.550e-06	32	8.926e-06	54
ENST00000054668	139	4.085e-06	22	1.044e-05	72
ENST00000054950	331	1.319e-05	67	3.127e-05	159
ENST00000055077	354	1.427e-05	92	2.988e-05	150
ENST00000055335	799	4.643e-05	147	8.836e-05	284
ENST00000055682	1516	3.726e-05	218	1.029e-04	467
ENST00000056217	1597	5.195e-05	141	1.298e-04	377
ENST00000056233	694	2.936e-05	196	6.054e-05	520
ENST00000061240	1013	2.779e-05	217	7.693e-05	465
ENST00000062104	81	4.297e-06	17	9.389e-06	36
ENST00000064571	201	1.112e-05	56	2.019e-05	61
ENST00000064724	207	1.032e-05	50	2.074e-05	73
ENST00000064778	244	9.880e-06	63	2.048e-05	86
ENST00000064780	430	1.820e-05	131	4.299e-05	287
ENST00000070846	881	3.470e-05	211	7.808e-05	515
ENST00000072644	306	8.171e-06	47	2.237e-05	160
ENST00000072869	626	2.730e-05	147	5.841e-05	308
ENST00000074304	977	3.989e-05	236	9.173e-05	345
ENST00000075120	496	1.723e-05	131	3.953e-05	233
ENST00000075503	422	1.136e-05	80	3.277e-05	230
ENST00000078429	359	2.179e-05	123	4.319e-05	84
ENST00000078445	461	2.069e-05	155	4.177e-05	253
ENST00000078527	493	1.447e-05	108	3.576e-05	241
ENST00000080059	991	4.195e-05	262	9.609e-05	399
ENST00000081029	323	1.045e-05	68	2.438e-05	176
ENST00000083182	585	1.504e-05	117	4.222e-05	151
ENST00000084798	328	1.300e-05	70	3.211e-05	115
ENST00000085068	221	9.162e-06	59	2.144e-05	138
ENST00000085219	847	3.182e-05	223	6.979e-05	438
ENST00000086933	205	1.824e-05	28	3.412e-05	74
ENST00000155093	801	1.935e-05	46	5.541e-05	84
ENST00000155840	676	4.121e-05	214	7.896e-05	297
ENST00000155858	1165	5.921e-05	377	1.224e-04	719
ENST00000155926	343	1.573e-05	94	3.333e-05	141
ENST00000156084	571	3.135e-05	81	6.593e-05	45
ENST00000156109	476	1.763e-05	81	4.527e-05	166
ENST00000156471	1485	3.549e-05	273	1.089e-04	495
ENST00000156626	600	2.095e-05	143	4.984e-05	337
ENST00000156825	259	1.731e-05	123	3.147e-05	140
ENST00000157600	365	1.446e-05	80	3.517e-05	205
ENST00000157812	418	1.623e-05	112	3.907e-05	100
ENST00000158009	324	1.128e-05	83	2.525e-05	170
ENST00000158166	520	2.192e-05	126	4.636e-05	238
ENST00000158762	740	2.789e-05	150	7.142e-05	290
ENST00000158771	239	7.216e-06	56	2.011e-05	75
ENST00000159060	568	1.899e-05	145	4.574e-05	322
ENST00000159087	1232	7.270e-05	278	1.509e-04	494
ENST00000159111	1096	6.385e-05	364	1.250e-04	460
ENST00000160262	547	2.843e-05	164	5.745e-05	310
ENST00000160373	1663	5.009e-05	338	1.242e-04	819
ENST00000160382	426	2.008e-05	115	4.178e-05	111
ENST00000160827	665	2.378e-05	190	6.493e-05	388
ENST00000161006	317	1.423e-05	84	3.107e-05	151
ENST00000161559	526	1.607e-05	116	3.854e-05	254
ENST00000161863	1430	3.496e-05	302	1.063e-04	698
ENST00000162023	368	1.796e-05	87	3.940e-05	146
ENST00000162044	479	2.207e-05	123	4.713e-05	252
ENST00000162391	574	1.637e-05	122	4.613e-05	283
ENST00000162749	455	2.120e-05	117	4.415e-05	169
ENST00000163416	731	1.859e-05	136	5.385e-05	344
ENST00000164024	3312	1.552e-04	826	3.586e-04	1559
ENST00000164133	497	1.828e-05	119	4.569e-05	178
ENST00000164139	842	3.607e-05	226	8.739e-05	485
ENST00000164227	454	2.988e-05	73	5.810e-05	140
ENST00000164305	554	1.329e-05	89	3.907e-05	235
ENST00000164640	769	4.221e-05	169	9.405e-05	238
ENST00000165524	87	3.753e-06	34	1.016e-05	75
ENST00000166139	263	1.905e-05	60	3.631e-05	77
ENST00000166244	1005	5.392e-05	275	1.184e-04	631
ENST00000166345	432	1.629e-05	114	3.471e-05	132
ENST00000167106	365	1.825e-05	83	4.193e-05	158
ENST00000167586	472	2.004e-05	151	4.700e-05	252
ENST00000167588	424	1.363e-05	108	3.547e-05	227
ENST00000168148	211	6.625e-06	48	1.672e-05	134
ENST00000168216	261	1.000e-05	41	2.421e-05	35
ENST00000168712	206	1.644e-05	47	2.783e-05	68
ENST00000168977	230	1.127e-05	75	2.357e-05	150
ENST00000169298	406	1.193e-05	86	2.999e-05	174
ENST00000169551	248	8.646e-06	55	2.129e-05	130
ENST00000170150	458	1.948e-05	129	3.907e-05	238
ENST00000170168	1221	6.942e-05	451	1.395e-04	757
ENST00000170447	416	1.380e-05	107	3.536e-05	215
ENST00000170564	931	3.185e-05	195	7.547e-05	466
ENST00000171111	624	3.300e-05	182	6.999e-05	205
ENST00000171757	339	8.875e-06	52	2.595e-05	91
ENST00000171887	1735	6.727e-05	442	1.567e-04	986
ENST00000172229	427	2.673e-05	123	4.945e-05	215
ENST00000173229	604	4.419e-05	152	8.503e-05	247
ENST00000173527	298	1.548e-05	76	2.974e-05	149
ENST00000173898	1431	4.153e-05	205	1.048e-04	478
ENST00000174618	582	2.864e-05	189	5.661e-05	285
ENST00000175091	233	7.290e-06	47	1.922e-05	127
ENST00000175238	754	1.948e-05	149	5.238e-05	408
ENST00000175506	561	1.514e-05	101	4.225e-05	206
ENST00000175756	460	2.557e-05	100	5.349e-05	228
ENST00000176183	419	3.705e-05	179	6.350e-05	314
ENST00000176195	121	7.179e-06	36	1.515e-05	60
ENST00000176763	968	3.936e-05	253	9.462e-05	477
ENST00000177648	1244	3.869e-05	265	8.959e-05	688
ENST00000177694	535	3.001e-05	110	6.006e-05	220
ENST00000177742	225	1.551e-05	58	3.356e-05	143
ENST00000178638	354	1.555e-05	100	3.082e-05	193
ENST00000178640	448	1.396e-05	90	3.465e-05	153
ENST00000179259	270	7.513e-06	49	1.995e-05	100
ENST00000180166	211	1.068e-05	53	2.210e-05	121
ENST00000180173	660	1.968e-05	185	5.342e-05	449
ENST00000181383	423	1.237e-05	101	3.149e-05	188
ENST00000181796	306	1.092e-05	76	2.522e-05	199
ENST00000181839	1512	5.739e-05	299	1.446e-04	507
ENST00000182290	320	1.391e-05	83	3.070e-05	195
ENST00000182527	370	1.353e-05	86	3.145e-05	137
ENST00000183605	261	1.088e-05	62	2.296e-05	136
ENST00000184183	212	8.053e-06	56	1.869e-05	113
ENST00000184266	129	5.047e-06	27	1.304e-05	80
ENST00000184956	1181	3.591e-05	230	8.924e-05	567
ENST00000185150	483	1.453e-05	102	3.610e-05	216
ENST00000185206	410	1.403e-05	108	3.217e-05	213
ENST00000186436	1883	6.052e-05	363	1.432e-04	744
ENST00000187762	299	1.373e-05	91	2.730e-05	136
ENST00000188312	396	9.494e-06	61	2.780e-05	122
ENST00000188790	760	1.994e-05	147	5.325e-05	352
ENST00000190165	472	2.804e-05	157	5.260e-05	342
ENST00000192314	398	2.833e-05	98	5.517e-05	222
ENST00000192788	1440	3.777e-05	274	1.060e-04	698
ENST00000193322	334	1.296e-05	75	2.878e-05	138
ENST00000193391	1241	3.077e-05	238	8.267e-05	630
ENST00000194118	515	1.774e-05	135	4.241e-05	260
ENST00000194130	595	1.592e-05	111	4.208e-05	283
ENST00000194152	795	4.022e-05	276	7.572e-05	493
ENST00000194155	798	4.556e-05	229	7.956e-05	482
ENST00000194214	144	3.905e-06	32	9.370e-06	57
ENST00000194530	418	9.982e-06	79	2.744e-05	142
ENST00000194900	849	3.037e-05	131	7.440e-05	191
ENST00000196061	727	3.290e-05	206	7.235e-05	405
ENST00000196371	520	1.468e-05	113	4.060e-05	166
ENST00000196489	594	1.623e-05	122	4.120e-05	261
ENST00000196548	575	2.057e-05	136	4.856e-05	262
ENST00000197268	622	2.155e-05	173	4.973e-05	317
ENST00000198536	303	9.848e-06	84	2.458e-05	153
ENST00000198767	651	2.052e-05	162	4.935e-05	374
ENST00000198801	334	1.230e-05	81	3.027e-05	217
ENST00000198939	927	4.765e-05	248	1.021e-04	286
ENST00000199280	271	1.418e-05	95	2.821e-05	136
ENST00000199320	313	8.704e-06	59	2.498e-05	155
ENST00000199389	630	2.172e-05	146	5.011e-05	308
ENST00000199447	588	1.527e-05	132	4.078e-05	309
ENST00000199448	224	1.048e-05	54	2.253e-05	131
ENST00000199706	256	1.096e-05	127	2.515e-05	201
ENST00000199708	142	1.156e-05	41	1.772e-05	62
ENST00000199764	344	1.259e-05	95	2.716e-05	199
ENST00000199814	420	1.066e-05	65	3.321e-05	101
ENST00000199936	387	1.283e-05	129	2.855e-05	274
ENST00000200135	779	2.020e-05	137	5.452e-05	374
ENST00000200181	1822	9.067e-05	520	1.959e-04	1055
ENST00000200453	674	2.091e-05	170	5.622e-05	408
ENST00000200457	476	2.332e-05	134	4.837e-05	278
ENST00000200557	769	3.599e-05	166	7.959e-05	285
ENST00000200652	551	2.183e-05	145	4.879e-05	253
ENST00000200676	493	1.817e-05	131	3.926e-05	286
ENST00000200691	68	2.472e-06	17	5.299e-06	26
ENST00000201031	450	2.372e-05	108	4.433e-05	133
ENST00000201586	365	1.748e-05	106	3.856e-05	190
ENST00000201647	723	4.644e-05	213	9.307e-05	420
ENST00000201979	298	1.223e-05	74	3.420e-05	170
ENST00000202017	133	4.251e-06	23	1.110e-05	56
ENST00000202556	1090	4.419e-05	276	9.828e-05	542
ENST00000202625	706	2.989e-05	190	6.715e-05	463
ENST00000202677	1873	5.601e-05	396	1.418e-04	858
ENST00000202773	288	8.878e-06	67	2.395e-05	128
ENST00000202816	851	1.936e-05	148	5.688e-05	389
ENST00000202831	584	2.392e-05	155	5.001e-05	317
ENST00000202967	314	1.128e-05	73	2.862e-05	159
ENST00000203001	497	1.417e-05	109	3.857e-05	218
ENST00000203166	633	2.554e-05	157	6.324e-05	330
ENST00000203407	480	1.930e-05	133	4.869e-05	262
ENST00000203556	970	4.578e-05	240	1.019e-04	433
ENST00000203629	525	2.255e-05	127	5.271e-05	246
ENST00000203630	248	8.129e-06	49	2.834e-05	109
ENST00000203664	234	9.871e-06	69	2.044e-05	120
ENST00000204517	338	1.557e-05	98	3.665e-05	150
ENST00000204549	485	3.074e-05	67	6.435e-05	150
ENST00000204566	308	8.581e-06	67	2.275e-05	124
ENST00000204604	955	4.432e-05	247	1.013e-04	447
ENST00000204615	353	1.107e-05	105	2.673e-05	172
ENST00000204679	305	1.668e-05	135	3.141e-05	238
ENST00000204726	1498	6.857e-05	450	1.373e-04	877
ENST00000204961	346	1.447e-05	67	3.364e-05	102
ENST00000205061	1203	4.060e-05	335	1.068e-04	526
ENST00000205143	618	4.546e-05	182	8.581e-05	316
ENST00000205194	206	1.194e-05	49	2.556e-05	82
ENST00000205214	1098	2.713e-05	196	7.115e-05	532
ENST00000205386	1761	5.253e-05	342	1.318e-04	935
ENST00000205402	509	1.223e-05	100	3.482e-05	206
ENST00000205557	1503	6.101e-05	415	1.328e-04	915
ENST00000205636	183	6.067e-06	35	1.448e-05	72
ENST00000205890	3530	1.692e-04	854	3.721e-04	1951
ENST00000205948	345	1.042e-05	80	2.575e-05	182
ENST00000206020	227	7.289e-06	68	2.039e-05	108
ENST00000206380	257	1.245e-05	70	2.760e-05	116
ENST00000206423	950	3.081e-05	223	8.010e-05	525
ENST00000206474	363	1.008e-05	61	2.701e-05	163
ENST00000206513	281	1.286e-05	92	3.014e-05	180
ENST00000206542	335	1.161e-05	61	3.117e-05	169
ENST00000206595	706	1.563e-05	95	4.717e-05	236
ENST00000206765	817	3.243e-05	240	8.176e-05	499
ENST00000207157	496	1.348e-05	86	3.630e-05	220
ENST00000207457	430	1.617e-05	102	4.064e-05	265
ENST00000207549	1090	4.737e-05	283	1.051e-04	631
ENST00000207870	536	1.854e-05	119	4.438e-05	294
ENST00000209540	355	1.212e-05	78	2.752e-05	229
ENST00000209668	375	1.040e-05	78	2.681e-05	203
ENST00000209718	422	1.406e-05	91	3.540e-05	238
ENST00000209728	560	1.322e-05	99	3.804e-05	242
ENST00000209873	546	1.674e-05	120	4.585e-05	295
ENST00000209875	191	4.677e-06	34	1.290e-05	29
ENST00000209884	609	1.584e-05	124	5.051e-05	166
ENST00000209929	535	1.376e-05	88	3.915e-05	261
ENST00000210060	369	1.809e-05	116	3.717e-05	236
ENST00000210187	256	1.501e-05	74	2.927e-05	143
ENST00000210313	504	1.568e-05	96	3.840e-05	256
ENST00000210444	359	1.353e-05	85	3.119e-05	191
ENST00000210633	843	2.830e-05	190	7.833e-05	454
ENST00000211076	242	1.458e-05	109	2.470e-05	210
ENST00000211122	222	5.607e-06	50	1.583e-05	134
ENST00000211287	365	1.603e-05	87	3.505e-05	195
ENST00000211314	99	2.985e-06	15	7.966e-06	42
ENST00000211413	306	2.170e-05	43	3.725e-05	58
ENST00000211936	751	1.675e-05	119	5.017e-05	251
ENST00000211998	1134	3.629e-05	211	9.796e-05	430
ENST00000212015	747	2.911e-05	132	6.367e-05	243
ENST00000212355	851	2.608e-05	195	6.211e-05	374
ENST00000214869	227	1.297e-05	66	2.482e-05	121
ENST00000215057	734	3.908e-05	232	9.341e-05	491
ENST00000215061	264	1.274e-05	75	2.860e-05	157
ENST00000215071	350	1.672e-05	82	3.803e-05	173
ENST00000215095	288	1.226e-05	70	2.938e-05	66
ENST00000215115	217	8.473e-06	49	2.330e-05	107
ENST00000215368	213	1.750e-05	59	3.057e-05	73
ENST00000215375	168	1.263e-05	48	2.189e-05	80
ENST00000215479	192	4.999e-06	13	1.394e-05	34
ENST00000215530	170	1.217e-05	44	2.863e-05	120
ENST00000215531	130	4.934e-06	23	1.025e-05	55
ENST00000215555	246	1.282e-05	83	2.618e-05	137
ENST00000215565	137	6.738e-06	37	1.723e-05	87
ENST00000215567	308	1.410e-05	94	3.046e-05	105
ENST00000215570	95	5.680e-06	32	1.175e-05	63
ENST00000215574	236	1.598e-05	92	2.685e-05	83
ENST00000215582	679	3.090e-05	227	7.104e-05	527
ENST00000215587	204	9.548e-06	82	2.169e-05	127
ENST00000215631	160	1.005e-05	43	1.860e-05	62
ENST00000215637	382	2.501e-05	95	4.367e-05	159
ENST00000215659	367	2.135e-05	125	4.162e-05	221
ENST00000215727	499	1.802e-05	132	4.156e-05	293
ENST00000215730	258	1.119e-05	43	2.495e-05	172
ENST00000215739	840	4.267e-05	265	9.014e-05	480
ENST00000215742	309	1.275e-05	100	3.396e-05	171
ENST00000215743	488	2.432e-05	119	5.230e-05	269
ENST00000215754	115	9.325e-06	38	1.530e-05	74
ENST00000215770	134	8.381e-06	10	1.559e-05	20
ENST00000215781	252	1.006e-05	63	2.411e-05	150
ENST00000215793	793	2.675e-05	180	6.829e-05	199
ENST00000215794	372	1.188e-05	79	2.870e-05	158
ENST00000215812	400	1.427e-05	88	3.519e-05	228
ENST00000215829	126	4.011e-06	27	1.231e-05	21
ENST00000215832	360	1.329e-05	76	3.006e-05	48
ENST00000215838	427	1.389e-05	154	3.317e-05	319
ENST00000215855	211	9.452e-06	60	2.398e-05	149
ENST00000215862	970	3.203e-05	209	8.751e-05	361
ENST00000215882	311	1.878e-05	85	3.725e-05	124
ENST00000215885	509	1.799e-05	140	4.696e-05	305
ENST00000215886	132	5.044e-06	35	1.041e-05	80
ENST00000215904	296	2.606e-05	49	4.704e-05	82
ENST00000215906	369	1.742e-05	134	3.853e-05	168
ENST00000215909	135	6.500e-06	37	1.326e-05	72
ENST00000215912	263	1.283e-05	64	2.668e-05	113
ENST00000215917	339	1.300e-05	54	3.098e-05	167
ENST00000215939	252	1.095e-05	69	2.686e-05	152
ENST00000215941	300	1.784e-05	72	3.536e-05	112
ENST00000215957	863	3.674e-05	201	8.307e-05	440
ENST00000215980	180	8.051e-06	53	1.627e-05	85
ENST00000216024	340	8.958e-06	67	2.613e-05	138
ENST00000216027	235	7.818e-06	52	1.998e-05	122
ENST00000216034	142	7.433e-06	36	1.338e-05	57
ENST00000216036	348	1.432e-05	98	3.104e-05	223
ENST00000216037	261	1.140e-05	40	2.433e-05	95
ENST00000216038	505	1.381e-05	123	3.966e-05	210
ENST00000216039	202	6.793e-06	63	1.652e-05	64
ENST00000216044	669	2.922e-05	140	6.705e-05	202
ENST00000216061	966	4.270e-05	273	8.854e-05	524
ENST00000216068	105	4.701e-06	21	9.547e-06	52
ENST00000216071	290	8.302e-06	69	2.152e-05	166
ENST00000216075	285	1.294e-05	106	2.785e-05	198
ENST00000216085	386	1.703e-05	100	3.357e-05	193
ENST00000216099	386	1.258e-05	94	3.490e-05	277
ENST00000216101	203	1.775e-05	45	3.388e-05	70
ENST00000216106	601	1.644e-05	110	4.126e-05	245
ENST00000216115	160	7.646e-06	43	1.396e-05	95
ENST00000216117	288	1.046e-05	83	2.680e-05	186
ENST00000216121	284	1.072e-05	56	2.666e-05	89
ENST00000216122	734	3.084e-05	209	7.659e-05	395
ENST00000216124	509	2.438e-05	151	5.050e-05	294
ENST00000216127	266	1.394e-05	85	3.035e-05	126
ENST00000216129	644	3.543e-05	209	7.173e-05	429
ENST00000216133	251	1.305e-05	76	2.887e-05	105
ENST00000216139	421	1.762e-05	130	4.058e-05	216
ENST00000216144	215	1.041e-05	57	2.235e-05	85
ENST00000216146	403	1.297e-05	124	3.752e-05	177
ENST00000216160	504	2.464e-05	147	4.981e-05	229
ENST00000216177	429	2.157e-05	106	4.280e-05	238
ENST00000216180	481	2.119e-05	126	4.406e-05	296
ENST00000216181	1960	8.705e-05	609	1.911e-04	804
ENST00000216185	166	5.448e-06	46	1.291e-05	78
ENST00000216190	548	1.733e-05	129	4.923e-05	154
ENST00000216194	498	1.570e-05	89	4.604e-05	234
ENST00000216200	110	4.595e-06	23	8.555e-06	59
ENST00000216211	287	1.318e-05	75	2.512e-05	178
ENST00000216214	357	1.461e-05	100	3.213e-05	173
ENST00000216218	369	9.348e-06	68	2.961e-05	157
ENST00000216223	551	2.138e-05	143	4.447e-05	279
ENST00000216225	108	4.188e-06	25	1.000e-05	10
ENST00000216237	705	2.749e-05	178	6.361e-05	313
ENST00000216241	762	4.518e-05	137	9.099e-05	283
ENST00000216252	110	2.859e-06	25	9.148e-06	4
ENST00000216254	780	3.130e-05	205	6.986e-05	293
ENST00000216259	262	1.250e-05	74	2.704e-05	132
ENST00000216264	537	2.615e-05	133	5.422e-05	269
ENST00000216267	1058	5.441e-05	376	1.140e-04	502
ENST00000216268	1171	5.515e-05	393	1.103e-04	566
ENST00000216271	669	3.205e-05	223	6.326e-05	397
ENST00000216274	518	2.100e-05	118	4.447e-05	293
ENST00000216277	745	1.868e-05	132	5.148e-05	183
ENST00000216286	1375	5.386e-05	376	1.227e-04	831
ENST00000216294	368	9.544e-06	70	2.600e-05	181
ENST00000216297	1047	2.725e-05	201	7.918e-05	228
ENST00000216330	224	6.520e-06	43	1.620e-05	102
ENST00000216336	255	9.335e-06	65	2.439e-05	128
ENST00000216338	246	7.389e-06	68	1.870e-05	156
ENST00000216341	247	8.016e-06	70	2.068e-05	156
ENST00000216361	615	1.968e-05	120	4.796e-05	261
ENST00000216366	159	3.535e-06	30	1.146e-05	83
ENST00000216367	527	1.379e-05	93	3.883e-05	224
ENST00000216373	1332	3.223e-05	234	9.691e-05	500
ENST00000216392	847	2.795e-05	183	7.045e-05	469
ENST00000216410	184	3.990e-06	35	1.127e-05	53
ENST00000216416	144	4.952e-06	20	1.078e-05	34
ENST00000216420	332	9.159e-06	59	2.231e-05	157
ENST00000216442	247	6.330e-06	44	1.936e-05	90
ENST00000216445	296	6.583e-06	61	2.004e-05	148
ENST00000216446	353	1.246e-05	84	3.122e-05	164
ENST00000216452	188	7.205e-06	29	1.706e-05	66
ENST00000216455	255	6.893e-06	46	1.832e-05	71
ENST00000216465	216	7.388e-06	54	1.789e-05	118
ENST00000216468	325	1.112e-05	56	2.813e-05	145
ENST00000216471	674	1.883e-05	121	4.620e-05	341
ENST00000216479	338	1.052e-05	63	2.714e-05	113
ENST00000216484	562	1.904e-05	129	4.791e-05	205
ENST00000216487	985	4.745e-05	299	9.868e-05	558
ENST00000216489	389	1.402e-05	79	3.469e-05	226
ENST00000216492	457	1.735e-05	105	4.124e-05	221
ENST00000216500	339	1.007e-05	73	2.566e-05	173
ENST00000216513	781	3.498e-05	168	7.027e-05	329
ENST00000216540	349	1.004e-05	90	2.587e-05	274
ENST00000216554	431	1.145e-05	120	3.306e-05	171
ENST00000216602	252	1.346e-05	69	2.871e-05	137
ENST00000216605	935	3.082e-05	197	7.365e-05	389
ENST00000216629	353	1.228e-05	91	3.068e-05	218
ENST00000216639	396	8.998e-06	63	2.915e-05	158
ENST00000216714	318	1.052e-05	90	2.752e-05	174
ENST00000216727	306	1.596e-05	79	3.505e-05	91
ENST00000216733	561	2.209e-05	136	4.938e-05	304
ENST00000216780	640	2.113e-05	143	6.176e-05	410
ENST00000216797	317	1.332e-05	104	2.921e-05	137
ENST00000216802	239	6.347e-06	34	1.738e-05	82
ENST00000216807	323	9.068e-06	47	2.335e-05	87
ENST00000216832	717	1.778e-05	153	5.654e-05	342
ENST00000216862	514	2.057e-05	131	4.731e-05	329
ENST00000216923	681	3.175e-05	191	6.534e-05	313
ENST00000216951	474	1.554e-05	93	3.993e-05	217
ENST00000216962	843	4.342e-05	284	8.890e-05	543
ENST00000216968	238	1.127e-05	63	2.373e-05	127
ENST00000217026	700	2.665e-05	165	6.131e-05	318
ENST00000217043	253	9.726e-06	74	2.372e-05	144
ENST00000217073	614	2.771e-05	166	6.297e-05	304
ENST00000217086	1053	4.626e-05	330	9.633e-05	545
ENST00000217109	431	1.604e-05	125	3.795e-05	109
ENST00000217121	229	7.836e-06	47	1.757e-05	116
ENST00000217131	303	1.480e-05	78	3.183e-05	147
ENST00000217133	451	1.934e-05	124	4.306e-05	277
ENST00000217159	722	3.896e-05	254	7.201e-05	435
ENST00000217169	298	1.397e-05	100	2.984e-05	193
ENST00000217173	541	1.854e-05	140	4.227e-05	260
ENST00000217182	463	2.986e-05	136	5.409e-05	67
ENST00000217185	134	8.324e-06	152	1.679e-05	259
