ENST00000000233	2b6hA
ENST00000217901	5griB
ENST00000217958	1uohA
ENST00000217971	4x8yA
ENST00000218099	4z0kA
ENST00000218340	3bh7B
ENST00000218348	4melA
ENST00000218388	3v96A
ENST00000219070	1ck7A
ENST00000219097	3m03A
ENST00000219169	1gy5B
ENST00000219197	5kcaA
ENST00000219204	2k9aA
ENST00000219240	6fmdA
ENST00000219244	1nr4A
ENST00000219252	5iy6C
ENST00000219255	1wmhB
ENST00000219281	4h7wA
ENST00000219302	1zs6A
ENST00000219313	5l4kU
ENST00000219315	3qxyA
ENST00000219334	5uvgA
ENST00000219345	4x95A
ENST00000219431	1f6oA
ENST00000219481	4fc7B
ENST00000219548	6efkB
ENST00000219596	4cg4A
ENST00000220003	3d7tA
ENST00000220062	3c5cC
ENST00000220166	6czsA
ENST00000220496	2d9oA
ENST00000220592	4z4dA
ENST00000220616	
ENST00000220659	4roeA
ENST00000220751	4c8bA
ENST00000220764	1w6uB
ENST00000220809	1bdaA
ENST00000220812	5o57A
ENST00000220849	6fec3
ENST00000220853	
ENST00000221114	3tv0A
ENST00000221130	1k4qA
ENST00000221132	5cirE
ENST00000221200	5bxhA
ENST00000221232	4c0dC
ENST00000221233	2nn6D
ENST00000221265	5zyqA
ENST00000221418	2vreA
ENST00000221419	3to8A
ENST00000221459	2dkrA
ENST00000221466	4n0fA
ENST00000221476	1i0eA
ENST00000221486	3pufA
ENST00000221494	6ff47
ENST00000221566	2vyiA
ENST00000221801	2ipxA
ENST00000221804	6qrnA
ENST00000221859	5iy6I
ENST00000221972	1cv9A
ENST00000221980	4oi9A
ENST00000222002	3f3yA
ENST00000222005	5hpeA
ENST00000222120	2gf9A
ENST00000222139	6moeD
ENST00000222145	5khoB
ENST00000222247	4ug0LS
ENST00000222254	2xs6A
ENST00000222266	5a63D
ENST00000222271	3fbyA
ENST00000222286	3h9eO
ENST00000222390	3hn4A
ENST00000222481	1dtdA
ENST00000222482	2boaA
ENST00000222553	3dhfA
ENST00000222573	6djpB
ENST00000222792	1xa6A
ENST00000222803	4mspA
ENST00000222823	2b1wA
ENST00000222902	1eigA
ENST00000222982	5veuC
ENST00000223023	2lnhA
ENST00000223029	5y6lD
ENST00000223061	6fzvD
ENST00000223095	1c5gA
ENST00000223127	6fxmA
ENST00000223129	3kdfC
ENST00000223136	1pc2A
ENST00000223293	2xtoA
ENST00000223321	5ln3B
ENST00000223324	3j9m0
ENST00000223369	6j7xC
ENST00000223398	2cp2A
ENST00000223500	4txrC
ENST00000223642	3cu7A
ENST00000224073	1x57A
ENST00000224721	5tfmA
ENST00000224950	4jqfA
ENST00000225174	3r49A
ENST00000225275	5mfaA
ENST00000225276	6aplA
ENST00000225430	4v6xCR
ENST00000225474	1gncA
ENST00000225504	5oikY
ENST00000225512	6ahyB
ENST00000225525	2l4sA
ENST00000225577	4l42A
ENST00000225614	6q3wA
ENST00000225655	4x1lA
ENST00000225698	1p32A
ENST00000225719	5aq0A
ENST00000225737	3tmhD
ENST00000225792	4a4dA
ENST00000225831	1dokA
ENST00000225842	1el0A
ENST00000225844	2ra4A
ENST00000225916	1z4rA
ENST00000225927	4xwhA
ENST00000225969	3j7yW
ENST00000226004	1vhrA
ENST00000226091	4bkfC
ENST00000226105	5yfgA
ENST00000226193	2d8nA
ENST00000226218	1s4gA
ENST00000226279	3f6yA
ENST00000226355	6fakA
ENST00000226444	4jvlA
ENST00000226524	4hsvB
ENST00000226730	1irlA
ENST00000227266	3pdfA
ENST00000227348	3rbgA
ENST00000227507	2w96A
ENST00000227524	5yzgs
ENST00000227638	
ENST00000227752	1lqsR
ENST00000227758	3t6pA
ENST00000227868	6h60A
ENST00000228289	2el4A
ENST00000228434	1fm5A
ENST00000228437	3db5B
ENST00000228476	3znnA
ENST00000228495	5ftaA
ENST00000228506	
ENST00000228510	2r3vA
ENST00000228534	5mxaB
ENST00000228682	5om0A
ENST00000228740	3b7sA
ENST00000228820	2dk6A
ENST00000228841	5tbyE
ENST00000228918	4mxwR
ENST00000228928	4s3nA
ENST00000228945	1ds6B
ENST00000229135	1ekuB
ENST00000229179	5a9q4
ENST00000229195	4c0dB
ENST00000229238	3j9mi
ENST00000229239	1u8fO
ENST00000229268	3ihpA
ENST00000229270	1wyiA
ENST00000229307	2kt0A
ENST00000229332	5b1xA
ENST00000229335	5w1cA
ENST00000229340	6if2B
ENST00000229379	5z62G
ENST00000229402	5mgrA
ENST00000229595	2io5A
ENST00000229758	4ui9S
ENST00000229769	2ilrA
ENST00000229771	3c5nB
ENST00000229812	6bxiA
ENST00000229829	4i0pC
ENST00000230048	3f5oE
ENST00000230050	6g18M
ENST00000230053	2d0jA
ENST00000230085	2mxcA
ENST00000230340	6g18w
ENST00000230431	4p5eA
ENST00000230461	
ENST00000230640	6d6qM
ENST00000230792	
ENST00000230990	1xdtR
ENST00000231009	1mzaA
ENST00000231061	1nubA
ENST00000231198	3otcA
ENST00000231228	5mxaA
ENST00000231368	5mj6A
ENST00000231449	1bbnA
ENST00000231454	3qt2C
ENST00000231461	6ahzA
ENST00000231498	5a9qA
ENST00000231524	5vzvA
ENST00000231572	4r3zB
ENST00000231656	5luxK
ENST00000231749	2d8qA
ENST00000231751	1cb6A
ENST00000231790	4p7aA
ENST00000232217	6bthA
ENST00000232424	2mh3A
ENST00000232461	3rbqG
ENST00000232501	6cesN
ENST00000232607	3g3dB
ENST00000232888	4j0wA
ENST00000232975	4y99A
ENST00000232978	2he9A
ENST00000233057	3uiuA
ENST00000233078	2dh8A
ENST00000233121	3jakM
ENST00000233154	2ciaA
ENST00000233331	6htsR
ENST00000233468	2f9dA
ENST00000233575	4gxbA
ENST00000233630	5jh5C
ENST00000233638	3a03A
ENST00000233668	2v76A
ENST00000233735	1qddA
ENST00000233809	2h7tA
ENST00000233813	1h59B
ENST00000233840	1vcuA
ENST00000233893	4pj11
ENST00000233954	4kc3B
ENST00000233997	1a7sA
ENST00000234091	4ayaA
ENST00000234111	2oo0B
ENST00000234160	4edjA
ENST00000234179	2d9zA
ENST00000234296	5ujmB
ENST00000234313	1xx0A
ENST00000234347	1fujA
ENST00000234420	2o8eB
ENST00000234453	2kcjA
ENST00000234454	6i6vA
ENST00000234590	2psnC
ENST00000234626	4f9aC
ENST00000234701	
ENST00000234739	2vpbB
ENST00000234875	4v6xCU
ENST00000234961	4rwdA
ENST00000235090	5c9zB
ENST00000235372	2jv0A
ENST00000235382	2af0A
ENST00000235521	5ekdA
ENST00000235835	2bp1A
ENST00000236273	6id1M
ENST00000236671	4od9D
ENST00000236826	1kbcA
ENST00000236957	1b64A
ENST00000236959	1pkxA
ENST00000237281	2yreA
ENST00000237283	3dh1A
ENST00000237530	
ENST00000237596	5k47A
ENST00000237837	5w21B
ENST00000237853	5jw9B
ENST00000237889	5xtcZ
ENST00000238081	6bcrA
ENST00000238112	2i7tA
ENST00000238379	3k1zA
ENST00000238497	1xwiA
ENST00000238558	2dmuA
ENST00000238616	3zkeB
ENST00000238647	2cs3A
ENST00000238651	3hlkB
ENST00000238682	1tgjA
ENST00000238714	4lt6A
ENST00000238721	2j8zA
ENST00000238738	2atxA
ENST00000238875	2jj6A
ENST00000239174	1b72A
ENST00000239223	6d65A
ENST00000239231	6b3vA
ENST00000239440	5jcpA
ENST00000239938	4x9jA
ENST00000240100	3ezzA
ENST00000240123	2yupA
ENST00000240361	3wuuC
ENST00000240423	6igxA
ENST00000240587	2dmiA
ENST00000240922	3tfyA
ENST00000241014	6fuzA
ENST00000241052	1qqwB
ENST00000241261	1dg6A
ENST00000241436	3pzpB
ENST00000241453	3qs9E
ENST00000241527	4fp9B
ENST00000242057	5nj8A
ENST00000242208	5hlyA
ENST00000242257	2nyuA
ENST00000242261	2mjvA
ENST00000242310	3hmhA
ENST00000242315	1wilA
ENST00000242375	3buvA
ENST00000242576	1emhA
ENST00000242592	2vigA
ENST00000242786	2bouA
ENST00000242839	2arfA
ENST00000243052	1tazA
ENST00000243077	2fyjA
ENST00000243298	2ocbA
ENST00000243347	2wnoA
ENST00000243563	1fhtA
ENST00000243662	
ENST00000243903	6htsH
ENST00000243924	1fleI
ENST00000244043	3b6hB
ENST00000244050	3w5kB
ENST00000244051	3i2vA
ENST00000244137	5mc1A
ENST00000244217	3rmuA
ENST00000244333	
ENST00000244336	2dksA
ENST00000244519	5zz3A
ENST00000244537	6buzB
ENST00000244571	
ENST00000244669	2nytA
ENST00000244769	1oa8D
ENST00000244869	5wb7E
ENST00000245046	
ENST00000245206	5ax8A
ENST00000245255	2l5cA
ENST00000245304	1kaoA
ENST00000245479	4euwA
ENST00000245544	5a9q8
ENST00000245552	4l57B
ENST00000245812	4qkdA
ENST00000245816	6dl7B
ENST00000245817	2x29A
ENST00000245907	2a73B
ENST00000245932	1egxA
ENST00000245934	3o2tA
ENST00000245960	2uzqA
ENST00000246115	2dcoA
ENST00000246166	2h6fB
ENST00000246194	1wf1A
ENST00000246337	1r3qA
ENST00000246515	2muoA
ENST00000246548	3kycB
ENST00000246553	5tzrA
ENST00000246657	
ENST00000246672	3n00A
ENST00000246747	3doeA
ENST00000246792	2fn4A
ENST00000246868	2kdoA
ENST00000246914	4chbC
ENST00000246957	5hphB
ENST00000247161	1duxC
ENST00000247178	6holC
ENST00000247470	2kn6A
ENST00000247655	5z62L
ENST00000247665	2ai6A
ENST00000247668	1ca9A
ENST00000247843	5xtzD
ENST00000247933	6i6rA
ENST00000247970	5b3zA
ENST00000248076	3qdzE
ENST00000248114	3tk0A
ENST00000248244	2m1xA
ENST00000248342	6fec6
ENST00000248378	
ENST00000248444	3fg7A
ENST00000248553	6dv5A
ENST00000248594	5j8rC
ENST00000248846	
ENST00000248923	4gdxA
ENST00000248933	2yraA
ENST00000248975	2c74A
ENST00000249071	1ds6A
ENST00000249075	2q7nB
ENST00000249299	6qw668
ENST00000249356	2ctrA
ENST00000249363	3zyiA
ENST00000249373	5v56A
ENST00000249396	5fyqA
ENST00000249647	3zusA
ENST00000249749	5mvxA
ENST00000249750	6aljB
ENST00000249910	4ea4A
ENST00000250018	5j6dA
ENST00000250024	4yo2A
ENST00000250101	1wouA
ENST00000250113	3h8zA
ENST00000250237	6h42A
ENST00000250378	4ag1A
ENST00000250405	1o0lA
ENST00000250416	4zzxB
ENST00000250495	2n7kA
ENST00000250498	
ENST00000250535	6bgfA
ENST00000250617	1wyrA
ENST00000250784	5aj0BE
ENST00000251047	4gkxA
ENST00000251287	3u10A
ENST00000251343	2n5mA
ENST00000251413	3cb2A
ENST00000251472	2m9xA
ENST00000251496	6igxD
ENST00000251507	3hzjC
ENST00000251535	3d3lA
ENST00000251595	1c7cA
ENST00000251607	4x4wB
ENST00000251642	2w4rB
ENST00000251809	6i57A
ENST00000251810	4djnB
ENST00000251900	2bivB
ENST00000251968	4yc1A
ENST00000252037	3b7xA
ENST00000252050	2jufA
ENST00000252102	1s3aA
ENST00000252242	3tnuB
ENST00000252244	4zryB
ENST00000252456	1wypA
ENST00000252483	3r0nA
ENST00000252486	2l7bA
ENST00000252490	1o8tA
ENST00000252506	3ffmA
ENST00000252519	1r42A
ENST00000252593	3mq9A
ENST00000252622	3jcr7
ENST00000252674	5j9sA
ENST00000252699	2r0oA
ENST00000252723	1buyA
ENST00000252809	5vz3A
ENST00000252818	5vpeB
ENST00000252826	6bqrA
ENST00000252891	3f0wA
ENST00000252951	3w4uA
ENST00000252992	5oi7A
ENST00000252996	6mzmD
ENST00000252999	5xauA
ENST00000253008	3ep0A
ENST00000253023	2nvuC
ENST00000253024	6qajA
ENST00000253039	6fecS
ENST00000253048	2cqeA
ENST00000253055	2rf0A
ENST00000253063	5dj4B
ENST00000253083	1r0dA
ENST00000253108	2cq0A
ENST00000253363	4oz1A
ENST00000253457	
ENST00000253462	2e9xB
ENST00000253496	6qf7B
ENST00000253686	3j9mAT
ENST00000253693	2qfeA
ENST00000253699	1z0kB
ENST00000253754	2v1wA
ENST00000253794	3cuqC
ENST00000253925	1n7fC
ENST00000253928	2rprA
ENST00000253968	2dmtA
ENST00000254101	6b2eB
ENST00000254122	4ay9E
ENST00000254193	5o9zz
ENST00000254227	4oniC
ENST00000254231	5udzA
ENST00000254250	2ko0A
ENST00000254260	2vsvA
ENST00000254301	6fofA
ENST00000254322	4wb7A
ENST00000254325	1dp7P
ENST00000254337	6ud7A
ENST00000254351	6ejeB
ENST00000254436	2iwgB
ENST00000254480	5gjkA
ENST00000254605	2zfuA
ENST00000254630	6nu2A4
ENST00000254657	
ENST00000254661	6d1uC
ENST00000254667	2jjdF
ENST00000254719	1fguA
ENST00000254722	1imvA
ENST00000254730	5izlA
ENST00000254799	2lmiA
ENST00000254801	
ENST00000254810	3av2E
ENST00000254878	1oniA
ENST00000254940	1sqwA
ENST00000254942	3bu8B
ENST00000254950	1yxrA
ENST00000254958	4cc0A
ENST00000254976	3zurA
ENST00000254998	1jkgA
ENST00000255030	3pvnA
ENST00000255040	4avsA
ENST00000255078	4b3fX
ENST00000255189	5l46A
ENST00000255224	1ugkA
ENST00000255324	2eqkA
ENST00000255380	2csaA
ENST00000255390	2gqkA
ENST00000255409	1hjxA
ENST00000255476	2kw3C
ENST00000255499	3icuA
ENST00000255608	3no8A
ENST00000255613	3rq4A
ENST00000255641	2c47D
ENST00000255681	2x47A
ENST00000255688	2lktA
ENST00000255695	4dpzX
ENST00000255858	4tlgA
ENST00000255882	6bq1A
ENST00000256010	2lywB
ENST00000256078	5ocgA
ENST00000256103	4bvmA
ENST00000256104	3p6dA
ENST00000256196	2eryA
ENST00000256255	6o2vA
ENST00000256261	5gtjB
ENST00000256366	2enoA
ENST00000256383	1q8kA
ENST00000256429	6c1uE
ENST00000256442	6gu2B
ENST00000256443	6o9l8
ENST00000256447	3b2dA
ENST00000256458	3mopK
ENST00000256460	4fgbA
ENST00000256474	6hayB
ENST00000256545	1lp9J
ENST00000256585	2kv3A
ENST00000256594	3gtuB
ENST00000256637	5mriA
ENST00000256644	6b9xE
ENST00000256646	2oo4A
ENST00000256649	2ds4A
ENST00000256682	6ii6C
ENST00000256759	2p6aC
ENST00000256854	5xixA
ENST00000256857	2n0bA
ENST00000256953	2atvA
ENST00000256996	6r8yL
ENST00000256999	5o5tA
ENST00000257068	6me6A
ENST00000257181	5o9zI
ENST00000257189	5eqxA
ENST00000257198	5iryA
ENST00000257245	2bskD
ENST00000257248	3kq4A
ENST00000257264	4kkiA
ENST00000257287	5fcnA
ENST00000257290	5k5xA
ENST00000257408	5vanA
ENST00000257430	3nmzA
ENST00000257497	1ainA
ENST00000257548	5ohnA
ENST00000257549	1p5jA
ENST00000257566	
ENST00000257570	4xq7A
ENST00000257572	2l58A
ENST00000257604	2d9kA
ENST00000257745	5ht6A
ENST00000257749	3ohuA
ENST00000257770	4h2gA
ENST00000257861	1undA
ENST00000257868	5e4gA
ENST00000257904	2w99B
ENST00000258080	5to1A
ENST00000258091	6nr8O
ENST00000258105	3j7yk
ENST00000258111	5y7lA
ENST00000258169	6d6qL
ENST00000258198	6f1yj
ENST00000258201	3dadA
ENST00000258301	4j2cC
ENST00000258341	5xauC
ENST00000258383	6nu2c
ENST00000258399	3u12A
ENST00000258400	4ib4A
ENST00000258416	2jgbA
ENST00000258418	3gniA
ENST00000258424	5z62F
ENST00000258428	3gqcB
ENST00000258455	3j9mAG
ENST00000258526	3nvnB
ENST00000258662	5lpgA
ENST00000258729	6fq1A
ENST00000258742	6b4jC
ENST00000258774	3a1jB
ENST00000258821	2xvsA
ENST00000259006	2lzuA
ENST00000259008	1t29B
ENST00000259021	5gk9A
ENST00000259037	5xtca
ENST00000259053	2nanA
ENST00000259075	1l0aB
ENST00000259119	3eq5A
ENST00000259205	4p0lA
ENST00000259211	
ENST00000259254	2ejyB
ENST00000259271	2okkA
ENST00000259351	3qxlA
ENST00000259400	4wy4B
ENST00000259455	4ms4B
ENST00000259457	5le5H
ENST00000259470	3h6sA
ENST00000259512	5glfB
ENST00000259605	4v3kC
ENST00000259607	2l4nA
ENST00000259631	2kumA
ENST00000259667	5km5A
ENST00000259727	2bleA
ENST00000259748	2kupA
ENST00000259750	4btjB
ENST00000259808	4itjA
ENST00000259818	6e7cB
ENST00000259873	3j9mAO
ENST00000259895	6o9l2
ENST00000259915	
ENST00000260061	6gffI
ENST00000260102	3j7yM
ENST00000260116	1oizA
ENST00000260118	1l9xA
ENST00000260129	3gdhA
ENST00000260187	6dgfA
ENST00000260197	3wsyA
ENST00000260210	6ff43
ENST00000260227	2mzhA
ENST00000260228	2jsdA
ENST00000260270	3p1mA
ENST00000260283	3msxB
ENST00000260356	5foeB
ENST00000260363	3vhxB
ENST00000260379	4behA
ENST00000260383	3ripA
ENST00000260386	1w2fB
ENST00000260402	2zkmX
ENST00000260408	6be6B
ENST00000260502	3t6aA
ENST00000260505	4ylrA
ENST00000260643	5tf2A
ENST00000260649	
ENST00000260682	5x23A
ENST00000260731	3wpnA
ENST00000260743	
ENST00000260810	2xnkA
ENST00000260947	3fa2A
ENST00000260950	5ntuA
ENST00000260956	2vodB
ENST00000260970	2gw2A
ENST00000260988	2jdfA
ENST00000261007	5hbtB
ENST00000261015	6n31B
ENST00000261023	3ijeA
ENST00000261047	2ggzA
ENST00000261173	6a69A
ENST00000261183	5u78A
ENST00000261207	2kjyA
ENST00000261233	5ukeA
ENST00000261245	6nmiH
ENST00000261254	6ei2C
ENST00000261263	1z08A
ENST00000261267	2nwdX
ENST00000261303	5ln3I
ENST00000261308	5yzg2
ENST00000261313	2qyqA
ENST00000261332	3lhrA
ENST00000261349	3s2kA
ENST00000261366	3umnA
ENST00000261381	6foaA
ENST00000261396	5a9q3
ENST00000261405	6n29A
ENST00000261427	3k9oA
ENST00000261435	2vkcA
ENST00000261439	3qyeA
ENST00000261448	2vafA
ENST00000261461	
ENST00000261537	4xi7A
ENST00000261584	2w18A
ENST00000261590	5erdA
ENST00000261597	2ve7A
ENST00000261600	1wxpA
ENST00000261601	6iinB
ENST00000261609	3kciA
ENST00000261622	6irsB
ENST00000261652	1xu1R
ENST00000261681	4wsiA
ENST00000261692	2kw6A
ENST00000261714	2cb5A
ENST00000261726	1wh8A
ENST00000261733	5l13A
ENST00000261735	2qc7A
ENST00000261751	
ENST00000261772	5knnA
ENST00000261783	4hzeA
ENST00000261797	1nstA
ENST00000261799	3mjgX
ENST00000261813	6nr81
ENST00000261819	5g05O
ENST00000261835	4j14A
ENST00000261839	4zg4E
ENST00000261845	2i6lA
ENST00000261858	6i01A
ENST00000261868	3bpjB
ENST00000261884	2e5oA
ENST00000261890	4uj3A
ENST00000261900	3tnhB
ENST00000261917	6gyoA
ENST00000261918	3nvqA
ENST00000261937	4bsjA
ENST00000261942	2damA
ENST00000261965	
ENST00000262013	2w83C
ENST00000262027	5goyA
ENST00000262031	1x4eA
ENST00000262032	2ma7A
ENST00000262039	6i3uA
ENST00000262043	2dmeA
ENST00000262094	2f7sA
ENST00000262133	5c1dC
ENST00000262158	2djyB
ENST00000262160	1khxA
ENST00000262186	5va1A
ENST00000262187	3t5gA
ENST00000262189	5f6kC
ENST00000262193	5ln36
ENST00000262209	3j9pA
ENST00000262215	5ee5A
ENST00000262225	5azwA
ENST00000262238	1ubdC
ENST00000262241	2uxxB
ENST00000262262	5ihbA
ENST00000262265	4psfA
ENST00000262304	6a70B
ENST00000262305	2hv8D
ENST00000262319	4psiD
ENST00000262320	1dk8A
ENST00000262367	5i8gA
ENST00000262375	2cttA
ENST00000262376	4zbjD
ENST00000262384	
ENST00000262395	4k8uC
ENST00000262407	3fcsA
ENST00000262418	4yzfA
ENST00000262428	1vfqA
ENST00000262430	4f0xA
ENST00000262435	1zvdA
ENST00000262450	
ENST00000262455	5hqpC
ENST00000262460	2q9qC
ENST00000262461	
ENST00000262493	6oikA
ENST00000262506	3u87B
ENST00000262507	6awlA
ENST00000262518	6igmH
ENST00000262519	3s8sA
ENST00000262593	1j0wA
ENST00000262613	2krgA
ENST00000262633	6qw6R
ENST00000262643	1w98B
ENST00000262646	1z0aA
ENST00000262648	1zlgA
ENST00000262650	5c7mA
ENST00000262662	1bu9A
ENST00000262710	6g6sA
ENST00000262726	1wlzA
ENST00000262735	1k7lA
ENST00000262746	4xcsA
ENST00000262768	1br9A
ENST00000262776	6gfbB
ENST00000262809	2doaA
ENST00000262811	1v9vA
ENST00000262843	2dmkA
ENST00000262865	1ewfA
ENST00000262866	4m4zA
ENST00000262891	5es1A
ENST00000262948	1s9iA
ENST00000262962	5yzgY
ENST00000263025	2zoqA
ENST00000263026	6nx4A
ENST00000263035	
ENST00000263036	3vtvA
ENST00000263038	2a1xA
ENST00000263062	6nfxA
ENST00000263063	3pq1A
ENST00000263073	4um2A
ENST00000263088	
ENST00000263092	6b91A
ENST00000263119	1n6jG
ENST00000263125	2jedB
ENST00000263168	1mq1C
ENST00000263181	3lreB
ENST00000263202	2yujA
ENST00000263205	2gutA
ENST00000263208	5yjeA
ENST00000263228	6nyoA
ENST00000263239	3ly5B
ENST00000263245	2crwA
ENST00000263246	3q0kA
ENST00000263253	5xzcA
ENST00000263256	3ebqA
ENST00000263257	1ec6A
ENST00000263265	1upqA
ENST00000263274	1x9nA
ENST00000263278	5icsC
ENST00000263314	5svkB
ENST00000263326	5hn1A
ENST00000263339	2kkiA
ENST00000263341	2nvhA
ENST00000263370	2a98A
ENST00000263377	6dneA
ENST00000263382	5bnxD
ENST00000263384	6qdvG
ENST00000263388	4zlpA
ENST00000263390	5oddA
ENST00000263401	4oe9B
ENST00000263408	5fmwA
ENST00000263431	2uzpA
ENST00000263549	2pqfA
ENST00000263576	2rb4A
ENST00000263579	1st0A
ENST00000263598	5t43A
ENST00000263620	2kk0A
ENST00000263629	6gawBC
ENST00000263640	4c02A
ENST00000263657	6g18x
ENST00000263665	1wj3A
ENST00000263666	1wh1A
ENST00000263681	3e0jB
ENST00000263694	3jcrD
ENST00000263702	2vcyA
ENST00000263708	2i75A
ENST00000263726	5hodA
ENST00000263734	3f1pA
ENST00000263753	3fgaD
ENST00000263754	4nsqA
ENST00000263774	5xtbP
ENST00000263780	2jqkB
ENST00000263791	6n3oA
ENST00000263798	1rhfA
ENST00000263826	2x18C
ENST00000263847	2rr3B
ENST00000263851	3di2A
ENST00000263856	2gd5B
ENST00000263864	4wy4A
ENST00000263867	1j72A
ENST00000263881	5j5tA
ENST00000263904	1x5bA
ENST00000263915	4k81A
ENST00000263923	3c7qA
ENST00000263925	5h7rD
ENST00000263932	1d01G
ENST00000263946	1xm9A
ENST00000263955	6qf4A
ENST00000263966	2lbcA
ENST00000263967	4yknA
ENST00000263980	2yggA
ENST00000263991	2d89A
ENST00000264005	5txfB
ENST00000264012	4zmnA
ENST00000264025	4fmfA
ENST00000264033	2y1nA
