uniprot_id	struct_id	struct_source
O15305	2amyA	PDB
O15318	7d59Q	PDB
O15335	5mx1A	PDB
O15342	6wlwS	PDB
O15347	2eqzA	PDB
O15357	5okmA	PDB
O15360	7kzpA	PDB
O15371	6zp4N	PDB
O15372	6zvjH	PDB
O15379	4a69A	PDB
O15382	5mprA	PDB
O15389	2zg1A	PDB
O15393	7meqA	PDB
O15394	2jllA	PDB
O15455	7c76A	PDB
O15484	6p3qA	PDB
O15488	4uegA	PDB
O15492	2bt2A	PDB
O15496	5g3mA	PDB
O15498	6j7fC	PDB
O15511	6uhcG	PDB
O15514	2c35A	PDB
O15519	3h11A	PDB
O15520	1nunA	PDB
O15527	6rlwAAA	PDB
O15530	4xx9A	PDB
O15533	3f8uB	PDB
O15537	3jd6O	PDB
O15539	2crpA	PDB
O15540	6l9oA	PDB
O15541	7dvqM	PDB
O15550	6fulA	PDB
O15553	4cg4A	PDB
O43143	5xdrA	PDB
O43148	5e8jA	PDB
O43159	2zfuA	PDB
O43169	3nerA	PDB
O43172	5o9zF	PDB
O43173	5cxyA	PDB
O43181	5xtbL	PDB
O43189	5xfoA	PDB
O43237	6f1yj	PDB
O43240	5lpeA	PDB
O43242	6msbV	PDB
O43252	1xjqA	PDB
O43255	5h9mA	PDB
O43278	5h7vA	PDB
O43293	1yrpA	PDB
O43300	5z8xA	PDB
O43318	7nthA	PDB
O43324	5y6lB	PDB
O43353	6ul8A	PDB
O43395	6qw64A	PDB
O43396	1wwyA	PDB
O43402	6ww7H	PDB
O43414	2xriA	PDB
O43424	5kcaA	PDB
O43435	4a04A	PDB
O43447	1mzwA	PDB
O43451	3topA	PDB
O43464	5fhtA	PDB
O43488	2bp1A	PDB
O43497	6kzpA	PDB
O43504	5x6vC	PDB
O43508	4ht1T	PDB
O43513	7enag	PDB
O43526	7cr7A	PDB
O43557	4rsuA	PDB
O43570	6g7aA	PDB
O43583	6vpqA	PDB
O43598	4p5eA	PDB
O43613	6tp3A	PDB
O43614	6tpnA	PDB
O43615	2cw9A	PDB
O43617	2cfhA	PDB
O43660	7dvqT	PDB
O43663	4l3iA	PDB
O43665	2dlrA	PDB
O43674	5xtca	PDB
O43676	5xtcZ	PDB
O43677	5xtcf	PDB
O43678	1s3aA	PDB
O43681	6so5A	PDB
O43704	2z5fA	PDB
O43709	6g4wq	PDB
O43715	6i3yA	PDB
O43739	4kaxB	PDB
O43741	6b2eB	PDB
O43745	2becA	PDB
O43752	4j2cA	PDB
O43765	2vyiA	PDB
O43776	5xixA	PDB
O43781	5y86A	PDB
O43791	3hqiA	PDB
O43809	3bhoA	PDB
O43813	3e6uA	PDB
O43818	4jxmA	PDB
O43819	2rliA	PDB
O43824	7of6C	PDB
O43837	6kdyB	PDB
O43865	3mtgA	PDB
O43913	7jppE	PDB
O43920	5xtch	PDB
O43921	2wo3B	PDB
O43924	5x72A	PDB
O43927	7jnyA	PDB
O43929	7jpoD	PDB
O60218	1zuaX	PDB
O60231	6ff7q	PDB
O60234	3l50A	PDB
O60239	6ixvA	PDB
O60244	7lbmr	PDB
O60256	2ji4A	PDB
O60259	5ms4A	PDB
O60260	5c1zA	PDB
O60264	6ne3W	PDB
O60306	4pj3A	PDB
O60313	6jtgA	PDB
O60341	6tuyA	PDB
O60449	7jptA	PDB
O60462	2qqlA	PDB
O60486	6vxkB	PDB
O60493	2mxcA	PDB
O60499	4dndA	PDB
O60502	6hkiA	PDB
O60507	5wrjA	PDB
O60508	6qdvo	PDB
O60543	2eelA	PDB
O60547	6gpkA	PDB
O60551	4c2xA	PDB
O60563	2pk2A	PDB
O60565	5aejA	PDB
O60568	6fxrA	PDB
O60573	2jgbA	PDB
O60583	2ivxA	PDB
O60603	2z7xA	PDB
O60609	2gh0A	PDB
O60658	3ecmA	PDB
O60669	7bp3A	PDB
O60671	3ggrC	PDB
O60674	6e2qA	PDB
O60678	2fytA	PDB
O60684	4uadA	PDB
O60701	2q3eA	PDB
O60704	3ap2A	PDB
O60716	3l6xA	PDB
O60729	1oheA	PDB
O60741	6uqfA	PDB
O60760	7jr8A	PDB
O60763	2w3cA	PDB
O60783	6zm6AK	PDB
O60814	2cv5D	PDB
O60825	5htkA	PDB
O60832	7bgbC	PDB
O60869	6zvhi	PDB
O60880	1ka6A	PDB
O60888	2zfhA	PDB
O60894	6e3yE	PDB
O60895	6uunE	PDB
O60896	6uvaE	PDB
O60911	3kfqA	PDB
O60921	3a1jB	PDB
O60930	2qk9A	PDB
O60936	4uz0A	PDB
O60939	6vrrA	PDB
O60942	3s24A	PDB
O75031	7bdxA	PDB
O75129	5j67A	PDB
O75140	6cesD	PDB
O75143	5xv6A	PDB
O75144	6x4tA	PDB
O75151	3ptrB	PDB
O75173	2rjpA	PDB
O75190	6u3rA	PDB
O75191	4bc2A	PDB
O75208	6awlA	PDB
O75223	3cryA	PDB
O75251	5xtbC	PDB
O75306	5xtdQ	PDB
O75311	5cfbA	PDB
O75317	5k16A	PDB
O75319	4jmjA	PDB
O75324	1zzaA	PDB
O75326	3nvqA	PDB
O75340	2zn9A	PDB
O75344	3b7xA	PDB
O75347	1h7cA	PDB
O75348	6wm2K	PDB
O75351	1xwiA	PDB
O75365	1r6hA	PDB
O75367	1zr5A	PDB
O75368	1u6tA	PDB
O75380	5xtbT	PDB
O75390	5uzpA	PDB
O75391	2cpmA	PDB
O75394	6zm61	PDB
O75419	5dgoA	PDB
O75436	5f0jB	PDB
O75438	5xtcn	PDB
O75448	7emfX	PDB
O75449	5zqmA	PDB
O75460	6w3cA	PDB
O75473	4bsrA	PDB
O75489	5xtbP	PDB
O75496	2wvrA	PDB
O75506	3ci9A	PDB
O75521	4u18A	PDB
O75525	5eltA	PDB
O75530	5wukA	PDB
O75531	6ureA	PDB
O75533	5z581	PDB
O75575	7d58D	PDB
O75581	3s2kA	PDB
O75586	7emfF	PDB
O75594	1yckA	PDB
O75604	3nheA	PDB
O75608	1fj2A	PDB
O75628	2nzjA	PDB
O75629	1xhnA	PDB
O75636	2j5zA	PDB
O75643	6qw65B	PDB
O75663	5d9gA	PDB
O75688	2p8eA	PDB
O75689	3ljuX	PDB
O75695	3bh7B	PDB
O75715	2i3yA	PDB
O75716	2bujA	PDB
O75717	5ogsA	PDB
O75746	4p5xA	PDB
O75762	6x2jA	PDB
O75792	3pufA	PDB
O75815	3t6aA	PDB
O75817	6ahuG	PDB
O75818	6ahuL	PDB
O75822	6ybwz	PDB
O75828	2hrbA	PDB
O75832	1tr4A	PDB
O75844	5sytA	PDB
O75865	2j3tB	PDB
O75874	1t0lA	PDB
O75880	2gqkA	PDB
O75884	2qs9A	PDB
O75888	4zchA	PDB
O75891	2bw0A	PDB
O75897	2gwhA	PDB
O75899	6uo8B	PDB
O75909	2i53A	PDB
O75914	6fd3A	PDB
O75928	4fo9A	PDB
O75934	6ff7K	PDB
O75936	3o2gA	PDB
O75956	2m1lA	PDB
O76003	2wz9A	PDB
O76071	3fm0A	PDB
O76074	3lfvA	PDB
O76083	2hd1A	PDB
O76093	4cjmA	PDB
O76095	2kjxA	PDB
O76096	2ch9A	PDB
O94759	6mixA	PDB
O94760	6szqA	PDB
O94762	5lb3B	PDB
O94766	3cu0A	PDB
O94768	6qf4A	PDB
O94782	7ay1D	PDB
O94788	6aljA	PDB
O94817	4nawA	PDB
O94826	7dhgC	PDB
O94829	2xwuB	PDB
O94855	3efoB	PDB
O94906	5o9zG	PDB
O94923	6i01A	PDB
O94925	5uqeA	PDB
O95045	3p0fA	PDB
O95050	2a14A	PDB
O95057	2gf0A	PDB
O95059	6ahuH	PDB
O95069	4twkA	PDB
O95139	5xtcb	PDB
O95140	6jfkA	PDB
O95149	3gjxB	PDB
O95150	2re9A	PDB
O95154	2clpA	PDB
O95163	5cqrA	PDB
O95164	2gowA	PDB
O95166	6hyoA	PDB
O95167	5xtcU	PDB
O95168	5xtco	PDB
O95169	5xtcc	PDB
O95178	5xtcY	PDB
O95182	5xtbI	PDB
O95198	4chbA	PDB
O95251	7d0pA	PDB
O95256	3wo4C	PDB
O95257	2walA	PDB
O95267	4l9mA	PDB
O95271	5jhqA	PDB
O95273	3ay5A	PDB
O95274	6iomA	PDB
O95292	3ikkA	PDB
O95297	6igoA	PDB
O95298	5xtcg	PDB
O95299	5xtcw	PDB
O95319	4lmzA	PDB
O95363	5mgwA	PDB
O95372	5synA	PDB
O95391	6qdvc	PDB
O95405	4bkwA	PDB
O95407	4kgqC	PDB
O95433	7dmeA	PDB
O95445	2wewA	PDB
O95453	2a1sA	PDB
O95470	4q6rA	PDB
O95477	5xjyA	PDB
O95484	6ov2A	PDB
O95486	5vnlB	PDB
O95487	3eh1A	PDB
O95497	4cyfA	PDB
O95544	3pfnA	PDB
O95551	5inoA	PDB
O95568	4rfqA	PDB
O95571	4chlA	PDB
O95619	5xtzA	PDB
O95630	3rzvA	PDB
O95631	7ne0A	PDB
O95633	3sekC	PDB
O95639	6dnhC	PDB
O95707	6ahuD	PDB
O95711	3b2dC	PDB
O95715	2hdlA	PDB
O95716	2gf9A	PDB
O95747	3dakA	PDB
O95749	6r4vA	PDB
O95750	2p23A	PDB
O95760	2kllA	PDB
O95777	6qw668	PDB
O95786	5f9fA	PDB
O95801	6hfoA	PDB
O95822	4f0xA	PDB
O95831	5fs8A	PDB
O95833	3kjyA	PDB
O95838	7d68R	PDB
O95843	2ggzA	PDB
O95848	3q91A	PDB
O95861	2wefA	PDB
O95863	3w5kB	PDB
O95881	2k8vA	PDB
O95926	6qdvy	PDB
O95944	1hkfA	PDB
O95970	5y2zB	PDB
O95971	6ng9A	PDB
O95985	5gvcA	PDB
O95989	2fvvA	PDB
O95994	2lnsA	PDB
O96000	5xtcd	PDB
O96007	4ap8A	PDB
O96008	7cp9I	PDB
O96013	4fieA	PDB
O96017	3i6uA	PDB
O96019	6ltjJ	PDB
P00167	2i96A	PDB
P00338	5w8hA	PDB
P00352	7jwsA	PDB
P00367	1l1fA	PDB
P00374	1kmvA	PDB
P00387	1umkA	PDB
P00390	3dk9A	PDB
P00439	6hycA	PDB
P00451	6mf2A	PDB
P00480	1othA	PDB
P00491	1ulaA	PDB
P00492	1bzyA	PDB
P00505	5ax8A	PDB
P00519	2fo0A	PDB
P00533	3njpA	PDB
P00558	4o33A	PDB
P00568	2c95A	PDB
P00709	1b9oA	PDB
P00734	4o03A	PDB
P00738	4wjg2	PDB
P00740	6x5lA	PDB
P00742	1g2lA	PDB
P00747	4a5tS	PDB
P00748	6l63A	PDB
P00750	1bdaA	PDB
P00751	2xwbF	PDB
P00797	4amtA	PDB
P00813	3iarA	PDB
P00915	1bzmA	PDB
P00918	6s9zA	PDB
P00966	2nz2A	PDB
P00973	4ig8A	PDB
P00995	1cgiI	PDB
P01008	2antI	PDB
P01009	1hp7A	PDB
P01011	1qmnA	PDB
P01023	6tavA	PDB
P01024	3ohxA	PDB
P01031	5i5kA	PDB
P01033	1ueaB	PDB
P01034	6rpvA	PDB
P01040	3kseD	PDB
P01111	6zioA	PDB
P01112	1aa9A	PDB
P01116	6cc9B	PDB
P01127	3mjgA	PDB
P01130	1n7dA	PDB
P01138	6yw8A	PDB
P01225	4mqwB	PDB
P01236	1rw5A	PDB
P01241	1huwA	PDB
P01266	6scjA	PDB
P01270	1bwxA	PDB
P01303	1ronA	PDB
P01308	2kqpA	PDB
P01344	1iglA	PDB
P01374	1tnrA	PDB
P01375	7jraA	PDB
P01562	3ux9A	PDB
P01574	1au1A	PDB
P01583	5uc6A	PDB
P01584	1iobA	PDB
P01588	1eerA	PDB
P01589	6vwuA	PDB
P01591	6ue9D	PDB
P01730	1wioA	PDB
P01732	2hp4A	PDB
P01889	6uj7A	PDB
P01903	3pdoA	PDB
P01911	5v4mC	PDB
P02008	3w4uA	PDB
P02100	1a9wE	PDB
P02144	3rgkA	PDB
P02511	3l1gA	PDB
P02585	7kaaA	PDB
P02647	3k2sA	PDB
P02649	2l7bA	PDB
P02654	1iojA	PDB
P02655	1o8tA	PDB
P02656	2jq3A	PDB
P02675	3ghgB	PDB
P02679	3ghgC	PDB
P02689	6s2mA	PDB
P02708	5hbtB	PDB
P02730	4yzfA	PDB
P02741	3pvnA	PDB
P02743	4avsA	PDB
P02745	5hkjA	PDB
P02747	5hzfA	PDB
P02748	6dlwA	PDB
P02749	6v06A	PDB
P02753	1qabE	PDB
P02760	4es7A	PDB
P02766	1eta1	PDB
P02768	1n5uA	PDB
P02774	1ma9A	PDB
P02775	1f9pA	PDB
P02776	1f9sA	PDB
P02778	1o80A	PDB
P02786	6d03A	PDB
P02787	4h0wA	PDB
P02788	1cb6A	PDB
P02792	2fg8A	PDB
P02794	5up8A	PDB
P02795	1mhuA	PDB
P03372	1qkuA	PDB
P03950	4aohA	PDB
P03951	5i25A	PDB
P03956	1su3A	PDB
P03973	2z7fI	PDB
P04004	6o5eA	PDB
P04035	3cd5A	PDB
P04040	1qqwA	PDB
P04049	3omvA	PDB
P04054	3eloA	PDB
P04062	6tn1AAA	PDB
P04070	6m3cA	PDB
P04075	1aldA	PDB
P04080	2octA	PDB
P04085	3mjkA	PDB
P04141	2gmfA	PDB
P04155	1hi7A	PDB
P04156	2kunA	PDB
P04179	5t30A	PDB
P04180	5txfA	PDB
P04181	5vwoA	PDB
P04183	1w4rA	PDB
P04234	6jxrd	PDB
P04271	3d10A	PDB
P04278	1d2sA	PDB
P04406	6m61O	PDB
P04424	1k62A	PDB
P04439	6o9cA	PDB
P04440	4p5mB	PDB
P04626	6ogeA	PDB
P04629	2ifgA	PDB
P04632	1kfuS	PDB
P04637	6xreM	PDB
P04746	5u3aA	PDB
P04792	6dv5A	PDB
P04798	6dwmA	PDB
P04818	1hvyA	PDB
P04843	6s7oE	PDB
P04844	6s7tF	PDB
P04899	6d9hA	PDB
P04908	2rvqC	PDB
P05000	3se4B	PDB
P05019	3lriA	PDB
P05089	6q92A	PDB
P05090	2hzqA	PDB
P05091	3inlA	PDB
P05093	5uysA	PDB
P05106	3ijeB	PDB
P05108	3na1A	PDB
P05109	1mr8A	PDB
P05112	1bbnA	PDB
P05113	3qt2C	PDB
P05120	2arqA	PDB
P05121	1lj5A	PDB
P05154	2hi9A	PDB
P05155	5du3A	PDB
P05156	2xrcA	PDB
P05162	5ewsA	PDB
P05164	5mfaA	PDB
P05177	2hi4A	PDB
P05181	3e6iA	PDB
P05187	1zedA	PDB
P05198	1q8kA	PDB
P05230	1ry7A	PDB
P05231	4cniC	PDB
P05362	1p53A	PDB
P05386	4behA	PDB
P05387	4behB	PDB
P05388	4v6xCq	PDB
P05413	4tkbA	PDB
P05423	7ae1N	PDB
P05451	1qddA	PDB
P05452	1htnA	PDB
P05455	2vodA	PDB
P05543	4x30A	PDB
P05546	1jmoA	PDB
P05556	7nwlB	PDB
P05771	2i0eA	PDB
P05937	6fieB	PDB
P05981	1z8gA	PDB
P06126	1onqA	PDB
P06132	1r3qA	PDB
P06213	6pxvA	PDB
P06239	2ofuA	PDB
P06241	2dq7X	PDB
P06276	3o9mA	PDB
P06280	3hg3A	PDB
P06340	4i0pC	PDB
P06396	6jegA	PDB
P06400	4eljA	PDB
P06493	4yc3A	PDB
P06681	2i6qA	PDB
P06702	5i8nA	PDB
P06703	1k8uA	PDB
P06727	3s84A	PDB
P06729	1hnfA	PDB
P06730	2gpqA	PDB
P06732	1i0eA	PDB
P06733	2psnA	PDB
P06734	1t8cA	PDB
P06737	1fa9A	PDB
P06744	1jiqA	PDB
P06746	1tv9A	PDB
P06748	5ehdA	PDB
P06756	3ijeA	PDB
P06865	2gjxA	PDB
P06870	1spjA	PDB
P06899	2rvqD	PDB
P07093	4dy7C	PDB
P07098	1hlgA	PDB
P07101	2xsnA	PDB
P07108	2cb8A	PDB
P07148	2f73A	PDB
P07195	1i0zA	PDB
P07203	2f8aA	PDB
P07237	6i7sA	PDB
P07288	2zckP	PDB
P07305	6labU	PDB
P07306	5jq1A	PDB
P07311	2k7jA	PDB
P07315	2nbrA	PDB
P07316	2jdfA	PDB
P07320	1h4aX	PDB
P07327	1u3tA	PDB
P07332	4e93A	PDB
P07333	4liqE	PDB
P07355	5lpuA	PDB
P07357	3ojyA	PDB
P07359	1ookG	PDB
P07360	2qosC	PDB
P07384	2aryA	PDB
P07437	6qusS	PDB
P07451	3uyqA	PDB
P07477	2ra3A	PDB
P07550	6kr8A	PDB
P07711	6jd8A	PDB
P07737	2pbdP	PDB
P07738	2hhjA	PDB
P07741	4x45A	PDB
P07766	6jxre	PDB
P07858	3ai8A	PDB
P07900	3q6mA	PDB
P07902	6gqdA	PDB
P07910	2mxyA	PDB
P07911	6tqkA	PDB
P07919	5xteE	PDB
P07948	3a4oX	PDB
P07949	6q2oE	PDB
P07954	5uppA	PDB
P07992	6sxaG	PDB
P07998	2e0jA	PDB
P08100	5w0pA	PDB
P08133	1m9iA	PDB
P08134	2gcoA	PDB
P08172	5zkbA	PDB
P08173	5dsgA	PDB
P08174	1ok3A	PDB
P08183	6fn1A	PDB
P08185	4c41A	PDB
P08195	6jmqB	PDB
P08236	1bhgA	PDB
P08238	5fwkA	PDB
P08240	6y32B	PDB
P08243	6gq3A	PDB
P08246	4nzlA	PDB
P08253	1gxdA	PDB
P08254	1slmA	PDB
P08263	6atrA	PDB
P08294	2jlpA	PDB
P08311	6vtmA	PDB
P08319	3cosA	PDB
P08473	6sukA	PDB
P08476	5hlyA	PDB
P08514	3fcsA	PDB
P08559	2ozlA	PDB
P08567	1xx0A	PDB
P08571	4glpA	PDB
P08574	5xteH	PDB
P08575	1ygrA	PDB
P08579	6ff7X	PDB
P08581	7mo7B	PDB
P08582	6xr0M	PDB
P08620	1ijtA	PDB
P08621	6qx91K	PDB
P08637	5ml9A	PDB
P08648	7nwlA	PDB
P08700	5uwcI	PDB
P08709	5pabH	PDB
P08754	4g5oA	PDB
P08758	1anwA	PDB
P08865	4ug0SA	PDB
P08887	1n26A	PDB
P08908	7e2xR	PDB
P08912	6ol9A	PDB
P08913	6kuxA	PDB
P09001	7of0E	PDB
P09012	1fhtA	PDB
P09104	4za0A	PDB
P09110	2iikA	PDB
P09132	1jidA	PDB
P09172	4zelA	PDB
P09210	2vctA	PDB
P09211	2a2rA	PDB
P09234	2vrdA	PDB
P09237	2mzeA	PDB
P09238	3v96B	PDB
P09326	2edoA	PDB
P09341	1mgsA	PDB
P09417	1hdrA	PDB
P09429	2yrqA	PDB
P09466	4r0bA	PDB
P09467	7c9qA	PDB
P09471	7d77A	PDB
P09486	1nubA	PDB
P09488	2f3mA	PDB
P09493	6kn8P	PDB
P09543	1wojA	PDB
P09601	1ni6A	PDB
P09622	5j5zA	PDB
P09651	2lyvA	PDB
P09661	7a5pW	PDB
P09668	6czsA	PDB
P09669	5z62I	PDB
P09693	6jxrg	PDB
P09871	4j1yA	PDB
P09874	7aacA	PDB
P09884	5exrC	PDB
P09913	4g1tA	PDB
P09914	5udkA	PDB
P09917	3v92A	PDB
P09919	1gncA	PDB
P09936	4jkjA	PDB
P09958	6yd4A	PDB
P09960	3b7sA	PDB
P09972	1xfbA	PDB
P0C024	5t3pA	PDB
P0C025	5lf8A	PDB
P0C0L4	5jtwA	PDB
P0C0L5	6ysqA	PDB
P0C0S5	6jouC	PDB
P0C0S8	5kgfC	PDB
P0C1S8	5vdkA	PDB
P0C5Z0	6m4gC	PDB
P0C6T2	2latA	PDB
P0C870	5nfoA	PDB
P0CE72	1ttxA	PDB
P0CG30	1ljrA	PDB
P0CG47	2y5bB	PDB
P0CG48	5b83A	PDB
P0DJD7	1qrpE	PDB
P0DML2	1z7cA	PDB
P0DMM9	2a3rA	PDB
P0DMV8	3a8yA	PDB
P0DN86	1qfwB	PDB
P0DP23	4djcA	PDB
P0DP24	2l53A	PDB
P0DP25	7bylB	PDB
P0DP57	2n99A	PDB
P0DPB6	7ae1K	PDB
P0DPD7	2pxxA	PDB
P0DTE8	3dhpA	PDB
P10082	2dezA	PDB
P10109	3p1mA	PDB
P10114	1kaoA	PDB
P10144	1iauA	PDB
P10145	1il8A	PDB
P10153	1k2aA	PDB
P10176	5z62M	PDB
P10253	5kzwA	PDB
P10276	3a9eB	PDB
P10301	2fn4A	PDB
P10321	6pagA	PDB
P10412	7k5yU	PDB
P10415	1g5mA	PDB
P10515	6ct00	PDB
P10599	4oo4A	PDB
P10606	5z62F	PDB
P10619	4ci9A	PDB
P10632	2nnjA	PDB
P10644	5kjzA	PDB
P10720	4hsvA	PDB
P10721	2e9wA	PDB
P10746	1jr2A	PDB
P10747	1yjdC	PDB
P10768	3fcxA	PDB
P10809	6mrcA	PDB
P10827	3ilzA	PDB
P10828	1nq0A	PDB
P10997	6ucjA	PDB
P11021	6asyA	PDB
P11086	2g72A	PDB
P11142	4h5rA	PDB
P11166	6thaA	PDB
P11169	4zw9A	PDB
P11172	2p1fA	PDB
P11177	1ni4B	PDB
P11216	5ikoA	PDB
P11217	1z8dA	PDB
P11226	1hupA	PDB
P11229	6oijR	PDB
P11233	2bovA	PDB
P11234	2kwiA	PDB
P11309	3f2aA	PDB
P11310	4p13A	PDB
P11362	5am6A	PDB
P11387	1sc7A	PDB
P11388	6zy7A	PDB
P11413	2bh9A	PDB
P11441	2dziA	PDB
P11473	5gt4A	PDB
P11474	7e2eA	PDB
P11498	3bg3A	PDB
P11509	2fdvA	PDB
P11511	3s79A	PDB
P11597	2obdA	PDB
P11712	5x23A	PDB
P11766	2fzwA	PDB
P11802	2w99B	PDB
P11836	6y92A	PDB
P11926	1d7kA	PDB
P12004	5momA	PDB
P12018	2h32A	PDB
P12074	5z62G	PDB
P12081	5w6mA	PDB
P12259	7kveB	PDB
P12268	6udpA	PDB
P12271	3hy5A	PDB
P12273	3es6B	PDB
P12277	3dreA	PDB
P12314	4w4oC	PDB
P12318	1h9vA	PDB
P12319	1j86A	PDB
P12429	1axnA	PDB
P12532	1qk1A	PDB
P12544	1op8A	PDB
P12694	2bffA	PDB
P12724	4x08A	PDB
P12821	4bzsA	PDB
P12838	6dmmA	PDB
P12883	4pa0A	PDB
P12931	1fmkA	PDB
P12955	5mbyA	PDB
P12956	1jeqA	PDB
P13010	7k0yC	PDB
P13051	1emhA	PDB
P13073	5z62D	PDB
P13224	3rfeA	PDB
P13232	3di3A	PDB
P13489	1z7xW	PDB
P13500	1domA	PDB
P13569	6msmA	PDB
P13598	1zxqA	PDB
P13612	3v4vA	PDB
P13631	6fx0A	PDB
P13639	6d9j9	PDB
P13671	3t5oA	PDB
P13674	4btaA	PDB
P13686	1warA	PDB
P13693	5o9mA	PDB
P13716	5hmsA	PDB
P13725	1evsA	PDB
P13726	1z6jT	PDB
P13727	1h8uA	PDB
P13747	3bzfA	PDB
P13765	4i0pD	PDB
P13796	6veca	PDB
P13797	1aoaA	PDB
P13804	2a1uA	PDB
P13929	2xsxA	PDB
P13984	7nvuR	PDB
P13987	2j8bA	PDB
P13995	6s4aA	PDB
P14061	1i5rA	PDB
P14091	1tzsA	PDB
P14151	3cfwA	PDB
P14174	1gifA	PDB
P14207	4kmyA	PDB
P14210	7mo8A	PDB
P14324	4demF	PDB
P14384	1uwyA	PDB
