ENST00000330271 Q5JWF8
ENST00000263238 P61158
ENST00000318430 Q8IU68
ENST00000270502 Q9BSF4
ENST00000275954 Q9BQJ4
ENST00000286317 O43513
ENST00000301159 Q96GY3
ENST00000270162 P57059
ENST00000221327 Q9UJW8
ENST00000255175 Q13530
ENST00000297324 Q96LL4
ENST00000302938 Q8TC56
ENST00000274963 Q7Z6J4
ENST00000325974 P86791
ENST00000159060 Q9HBY0
ENST00000305738 Q8WXA2
ENST00000246012 O60676
ENST00000254528 Q9BXX0
ENST00000305768 Q96ST8
ENST00000252797 Q96H86
ENST00000258243 Q14146
ENST00000323443 Q8N9N7
ENST00000263563 Q9ULE6
ENST00000329627 Q7Z412
ENST00000216121 Q9BPW8
ENST00000220822 Q8TB36
ENST00000265909 Q92543
ENST00000329406 P20382
ENST00000329357 Q8NA70
ENST00000275159 Q96NH3
ENST00000330423 Q9NY65
ENST00000249442 O75431
ENST00000251691 Q5TH69
ENST00000326434 Q96HD1
ENST00000170564 Q9BRR8
ENST00000317449 Q8ND94
ENST00000315050 Q15025
ENST00000221480 Q96HA9
ENST00000304477 Q5T230
ENST00000325980 O95231
ENST00000304725 P09228
ENST00000261172 Q99645
ENST00000304270 Q96QH8
ENST00000289788 Q3MJ62
ENST00000254806 Q969T9
ENST00000243878 Q9H0I2
ENST00000287482 Q6UVJ0
ENST00000317635 P17152
ENST00000295984 Q5FWE3
ENST00000266719 O60938
ENST00000328248 Q2M2E3
ENST00000223459 P0C7X2
ENST00000321680 Q5T5C0
ENST00000268933 Q9H201
ENST00000301785 Q1KMD3
ENST00000297273 Q96PB1
ENST00000294117 P63215
ENST00000318442 Q8N895
ENST00000254816 Q96LD4
ENST00000262109 Q86X53
ENST00000257600 Q86Y01
ENST00000300119 Q9UBC5
ENST00000252575 O14594
ENST00000268797 Q3B7J2
ENST00000323146 Q96G79
ENST00000232603 Q86VD1
ENST00000311798 O60225
ENST00000006658 Q8TB22
ENST00000291481 Q86UW8
ENST00000324453 Q8N3F0
ENST00000269383 Q6PJ69
ENST00000287461 Q96CS4
ENST00000220478 Q8WXD2
ENST00000253193 O75074
ENST00000266718 P51884
ENST00000323037 Q8NHG8
ENST00000253188 Q9NS82
ENST00000326232 Q8NCC5
ENST00000320895 Q96KA5
ENST00000323346 Q8NDX2
ENST00000331336 Q6ZNG9
ENST00000216807 Q5PSV4
ENST00000329021 Q8NET5
ENST00000294543 Q5TGY1
ENST00000289416 Q53FZ2
ENST00000292779 Q8IYX3
ENST00000261596 Q92539
ENST00000300557 Q9BU68
ENST00000303254 Q96LM6
ENST00000309664 Q9HAT1
ENST00000230301 Q5T5N4
ENST00000291560 O75031
ENST00000320316 Q9BUL5
ENST00000327898 Q63HM1
ENST00000334266 Q7RTR8
ENST00000248958 Q9HCN8
ENST00000263960 Q9H8M1
ENST00000324096 Q66K74
ENST00000319331 Q6UXK5
ENST00000323205 O75600
ENST00000311955 Q8N0Z2
ENST00000307493 Q08AH1
ENST00000226382 Q99453
ENST00000302754 P17275
ENST00000322912 Q9BSG5
ENST00000309377 Q9NQ31
ENST00000261377 Q96IC2
ENST00000244496 Q96EU6
ENST00000285279 Q96AW1
ENST00000314737 O14559
ENST00000294664 Q8IWG1
ENST00000249344 Q9ULQ0
ENST00000320963 Q14257
ENST00000311034 Q8IUM7
ENST00000240499 Q15928
ENST00000273859 Q9P241
ENST00000301175 Q9UF12
ENST00000326053 Q9NQ32
ENST00000261776 Q08AM6
ENST00000312349 Q8TBE3
ENST00000303142 Q8IYI0
ENST00000264162 P09848
ENST00000302819 Q99424
ENST00000249041 O60755
ENST00000321027 P16383
ENST00000193322 Q86WC4
ENST00000282633 Q641Q2
ENST00000311946 Q0D2K0
ENST00000248706 Q9BPW5
ENST00000269346 Q9BSA4
ENST00000247001 Q8IWZ8
ENST00000326669 Q6EEV6
ENST00000221891 P51693
ENST00000315891 Q96GZ6
ENST00000264499 Q8IWZ6
ENST00000221462 O75864
ENST00000289013 Q8TCX5
ENST00000267260 A7MD48
ENST00000298289 Q969Q0
ENST00000006275 O75865
ENST00000224140 Q7Z333
ENST00000246080 Q12870
ENST00000303809 Q8WUU4
ENST00000264993 Q9UKY7
ENST00000317951 Q17RQ9
ENST00000246104 Q9NQ03
ENST00000262815 Q9Y6X3
ENST00000276708 Q9BYG8
ENST00000215794 Q9UMW8
ENST00000333527 Q5W5W9
ENST00000310442 Q6UX98
ENST00000222990 Q9Y5X2
ENST00000246551 Q9UBK5
ENST00000216139 P10323
ENST00000320740 Q8N2H9
ENST00000298292 Q9NVR5
ENST00000264454 Q9BRL7
ENST00000328933 O43759
ENST00000281938 Q9UJY1
ENST00000293217 Q15067
ENST00000248901 Q9UIA0
ENST00000040738 Q8NFC6
ENST00000308893 Q9UL54
ENST00000300245 Q9H8T0
ENST00000296694 Q96PL1
ENST00000217423 P01036
ENST00000318315 Q6UWT4
ENST00000311765 Q9P2J9
ENST00000199389 Q9BQI3
ENST00000232974 Q9UFB7
ENST00000265069 Q96KR1
ENST00000319410 Q15046
ENST00000215941 Q6NXT1
ENST00000267838 Q8IV50
ENST00000262041 P50222
ENST00000322583 Q8N4B5
ENST00000304749 P01037
ENST00000261249 Q32P41
ENST00000249700 Q9NZR1
ENST00000299088 Q9H972
ENST00000306329 Q9Y4B5
ENST00000265565 Q12770
ENST00000261475 Q969Q6
ENST00000330871 O14543
ENST00000308624 Q9NY99
ENST00000334218 Q5VT25
ENST00000013807 P07992
ENST00000239461 P54821
ENST00000326153 O43824
ENST00000308511 Q8N163
ENST00000303296 Q9H422
ENST00000324444 Q8N205
ENST00000332826 A1A5B4
ENST00000294507 Q13571
ENST00000262764 Q32NB8
ENST00000292894 Q8NA92
ENST00000255152 Q96MP5
ENST00000025399 Q9Y3F4
ENST00000333610 Q5I0X7
ENST00000276570 Q9UF47
ENST00000308020 Q9BVG9
ENST00000239316 Q14641
ENST00000246070 Q9UJQ1
ENST00000258829 O15522
ENST00000331299 Q9BQT8
ENST00000052754 P07585
ENST00000299505 O15063
ENST00000276416 Q9NQY0
ENST00000245923 O75298
ENST00000332598 Q9BVK6
ENST00000281419 O43150
ENST00000223862 P04808
ENST00000263212 P49593
ENST00000280987 Q8N128
ENST00000260372 Q9NVX0
ENST00000252100 Q96DC7
ENST00000332831 Q6IEY1
ENST00000262577 Q8IXZ2
ENST00000329003 O43603
ENST00000284268 Q9HCJ1
ENST00000258439 O75204
ENST00000217260 Q2I0M5
ENST00000300870 Q14586
ENST00000335146 Q9UPT5
ENST00000247815 Q8NG08
ENST00000327606 Q01718
ENST00000323040 P46093
ENST00000323060 Q9H6K4
ENST00000294383 Q9UPU5
ENST00000331581 Q9BY67
ENST00000314254 Q96LA9
ENST00000299299 P61457
ENST00000209929 Q99518
ENST00000216271 Q969S8
ENST00000320254 A6NMS7
ENST00000291041 P11801
ENST00000311967 Q16656
ENST00000245838 Q8NI27
ENST00000222219 O00115
ENST00000323013 Q9Y3A4
ENST00000334221 Q86Z23
ENST00000223864 Q9HBL7
ENST00000306904 O75526
ENST00000257789 Q9UBD5
ENST00000253329 Q8WUA2
ENST00000279783 Q8NGG5
ENST00000302270 Q8NH10
ENST00000315962 Q9BYV6
ENST00000335350 Q8IZJ1
ENST00000263207 O00192
ENST00000329517 Q9BYB4
ENST00000335125 Q6PKH6
ENST00000314622 Q9H649
ENST00000322090 O75323
ENST00000315099 Q8N4C7
ENST00000319651 O60309
ENST00000225298 Q9Y5J1
ENST00000276659 Q6UXX9
ENST00000300128 O14524
ENST00000187762 Q9H6F2
ENST00000216127 Q96D21
ENST00000293695 Q6PIF2
ENST00000281047 A6NI15
ENST00000259239 Q96G21
ENST00000257860 P41219
ENST00000316461 Q8N5M4
ENST00000334438 Q8NGX3
ENST00000278222 P35542
ENST00000322954 Q9BZF9
ENST00000269499 Q9C0B9
ENST00000263921 Q9UKJ5
ENST00000333070 P06239
ENST00000306729 Q9BZE9
ENST00000332432 A6NNE9
ENST00000238146 Q8NHQ9
ENST00000286890 Q9BX51
ENST00000333141 Q3SXM0
ENST00000277458 Q9NWX5
ENST00000296577 P61221
ENST00000250111 P14415
ENST00000309384 O43908
ENST00000259708 Q9NSK0
ENST00000296149 Q0PNE2
ENST00000330793 Q08708
ENST00000326902 Q9BZM3
ENST00000330368 Q9BYD9
ENST00000320005 Q9NQW8
ENST00000308683 Q969S3
ENST00000244040 Q9UL26
ENST00000334586 Q401N2
ENST00000227155 P27701
ENST00000264758 P35611
ENST00000279791 Q8NGP3
ENST00000327216 Q8NGP6
ENST00000246535 Q9BRP1
ENST00000224784 P62736
ENST00000253381 Q96PH6
ENST00000320542 Q96T53
ENST00000299752 O75309
ENST00000251203 Q9BYU1
ENST00000219022 Q6UX06
ENST00000302351 O14682
ENST00000318881 Q86SS6
ENST00000329043 Q6ZNB6
ENST00000261416 P07686
ENST00000259392 O15432
ENST00000317683 Q6PJ61
ENST00000238256 Q5T1M5
ENST00000262719 O60346
ENST00000279392 Q9BW71
ENST00000244527 Q14916
ENST00000296805 Q969S9
ENST00000280481 Q5SZK8
ENST00000305242 Q5T2S8
ENST00000240618 P26718
ENST00000267085 Q9Y600
ENST00000292907 P24310
ENST00000327678 Q9H4I8
ENST00000290122 P09093
ENST00000258711 Q9NRB3
ENST00000273857 Q9Y5Q5
ENST00000334696 O75356
ENST00000334678 Q86WX3
ENST00000252939 Q9NYX4
ENST00000319017 O43772
ENST00000308304 O75360
ENST00000304523 O43679
ENST00000010404 P10620
ENST00000314045 Q8TDD1
ENST00000334571 Q9Y2Z9
ENST00000234301 O14548
ENST00000306688 Q96CN5
ENST00000293894 P57073
ENST00000270223 Q09019
ENST00000317578 Q8N196
ENST00000329312 P35663
ENST00000324436 Q8TC94
ENST00000221538 Q9H0K4
ENST00000295461 Q6NVV3
ENST00000281806 Q969V1
ENST00000290607 Q9P2P6
ENST00000328698 Q8NET1
ENST00000256190 Q86WG5
ENST00000175091 Q15012
ENST00000317676 Q8NES8
ENST00000270001 Q9HCL3
ENST00000300131 Q15742
ENST00000329798 P0C091
ENST00000230256 Q86WB7
ENST00000259339 O14657
ENST00000305454 Q8TAG6
ENST00000308580 Q9NYL9
ENST00000309166 Q9NQ35
ENST00000320270 Q15050
ENST00000333256 Q9Y5U2
ENST00000256015 P62324
ENST00000308906 Q8TD35
ENST00000306320 Q9H6L5
ENST00000335282 A6NL82
ENST00000292928 Q96SR6
ENST00000302957 Q8NGQ1
ENST00000325812 Q52M58
ENST00000306078 Q8TAE7
ENST00000293897 P35346
ENST00000269197 Q9C0F0
ENST00000255977 Q9UHC7
ENST00000273153 Q96S65
ENST00000262126 Q6UB98
ENST00000307078 Q9Y2T1
ENST00000292377 Q8N158
ENST00000217456 Q9HDC9
ENST00000249044 Q9BWW9
ENST00000302165 Q8IU81
ENST00000322217 Q86VE0
ENST00000239587 Q9BWV7
ENST00000223051 Q9UP52
ENST00000318110 Q8IZC7
ENST00000251973 Q9BWT7
ENST00000222725 Q8NES3
ENST00000216540 Q14973
ENST00000287590 Q8NFL0
ENST00000248121 O43761
ENST00000256495 O14503
ENST00000322734 Q6AZW8
ENST00000335420 Q6PID8
ENST00000303924 Q92819
ENST00000222584 Q02446
ENST00000329967 O15304
ENST00000229243 Q8NEB7
ENST00000256722 Q5EBM0
ENST00000294244 Q9BUA3
ENST00000323699 O15121
ENST00000287008 Q08174
ENST00000296015 Q96N46
ENST00000256689 Q96QD8
ENST00000257787 Q53H80
ENST00000295297 Q9BXJ2
ENST00000320248 O94819
ENST00000237201 Q9HBV2
ENST00000326925 Q9BU61
ENST00000317338 Q53EL9
ENST00000289081 Q00597
ENST00000326855 Q8NH90
ENST00000328631 Q9UHH9
ENST00000254508 Q8TEM1
ENST00000295569 Q96LR4
ENST00000332556 P11279
ENST00000306177 Q9H9J4
ENST00000316738 Q9BUY7
ENST00000299238 Q86YV9
ENST00000322630 Q96MC4
ENST00000264904 O60763
ENST00000293805 Q8N143
ENST00000329285 Q96NL3
ENST00000319234 A0PJX4
ENST00000249014 Q00587
ENST00000310496 Q9Y644
ENST00000160382 O94805
ENST00000239367 Q86VZ4
ENST00000253778 O94808
ENST00000312465 P12034
ENST00000326306 P51685
ENST00000284320 O94826
ENST00000262138 Q9UBN1
ENST00000322957 Q92949
ENST00000226021 Q06432
ENST00000266058 O75093
ENST00000258042 P28336
ENST00000331444 Q14129
ENST00000279028 Q9BR26
ENST00000303586 P17039
ENST00000286719 O14830
ENST00000313683 Q86V59
ENST00000323372 Q9P0Z9
ENST00000265299 Q4G0A6
ENST00000252804 Q92626
ENST00000297991 Q92482
ENST00000308027 Q7RTY0
ENST00000319675 Q8NA75
ENST00000308009 Q8NCK7
ENST00000270747 Q8IW93
ENST00000273990 Q96D03
ENST00000329421 P49006
ENST00000256497 Q92611
ENST00000264167 O00116
ENST00000258770 Q969Z0
ENST00000291294 P43119
ENST00000335117 Q96H40
ENST00000300873 Q9UK08
ENST00000302176 Q8N568
ENST00000333172 Q7RTX1
ENST00000297819 Q8WWF3
ENST00000273352 Q96K78
ENST00000194118 Q14154
ENST00000262120 Q9GZX9
ENST00000257254 P35414
ENST00000333449 Q7Z7N9
ENST00000315322 Q9H7X7
ENST00000294168 Q9Y6J9
ENST00000266581 Q86SJ2
ENST00000307366 A0PJW6
ENST00000249923 P53618
ENST00000308824 Q9NV79
ENST00000313324 Q7Z4H9
ENST00000330263 Q9UKD2
ENST00000333987 Q3ZCX4
ENST00000253861 Q96A65
ENST00000237247 Q9BQI5
ENST00000270824 Q9NVM1
ENST00000297990 Q9H6R4
ENST00000304568 Q53R12
ENST00000272223 Q8TAX0
ENST00000270708 Q9P2S5
ENST00000297161 Q8N8U9
ENST00000294353 Q9C0D3
ENST00000309295 Q8N3D4
ENST00000260746 P36405
ENST00000323374 Q9NYA1
ENST00000292841 Q6P3V2
ENST00000294600 Q2M243
ENST00000251864 Q9BXT4
ENST00000261326 Q96EN8
ENST00000231484 Q9NPG4
ENST00000302641 Q9BQR3
ENST00000275072 Q8IYS1
ENST00000296420 Q9ULC0
ENST00000308064 O43916
ENST00000324411 P10072
ENST00000252655 Q86UC2
ENST00000249861 Q9P2Z0
ENST00000264501 Q2LD37
ENST00000265440 O14948
ENST00000290015 O14905
ENST00000305444 Q8NG95
ENST00000257940 Q96K80
ENST00000267113 Q9BSJ8
ENST00000247956 Q96PQ6
ENST00000242729 Q14714
ENST00000295926 Q9UK58
ENST00000297459 Q96NL1
ENST00000311015 Q8NE65
ENST00000296468 Q8NHS3
ENST00000242728 Q9C0J9
ENST00000311048 Q8TF32
ENST00000218089 Q8N3U4
ENST00000190165 Q9NQL9
ENST00000286063 Q9HCR9
ENST00000257910 Q12999
ENST00000264888 Q07325
ENST00000226299 P28838
ENST00000328178 Q03923
ENST00000306796 Q6P1R4
ENST00000222693 P51636
ENST00000224652 O95260
ENST00000262306 Q15370
ENST00000261560 Q9H8G1
ENST00000303210 P62879
ENST00000266643 Q86YJ5
ENST00000257981 Q9ULD8
ENST00000317216 Q06889
ENST00000297267 Q4ZHG4
ENST00000296121 Q96AT1
ENST00000254868 Q8IUN9
ENST00000239690 Q96RS6
ENST00000273450 O75891
ENST00000215770 A6NHG4
ENST00000319380 Q9C0C9
ENST00000256404 Q96S96
ENST00000265018 Q9ULE4
ENST00000327946 Q9ULK0
ENST00000261951 Q9ULM6
ENST00000275162 Q5SYC1
ENST00000297323 Q08828
ENST00000237380 Q9H204
ENST00000250615 Q16613
ENST00000287143 Q9Y2Y8
ENST00000329451 Q8IXW0
ENST00000292641 Q96QR1
ENST00000257632 Q9BT76
ENST00000240364 Q9C073
ENST00000328313 Q6UWV6
ENST00000313080 Q6PJF5
ENST00000270115 Q8IYG6
ENST00000294635 A6NM62
ENST00000310842 Q6PJE2
ENST00000275884 Q9ULE3
ENST00000262113 P54296
ENST00000286918 Q96BM1
ENST00000287380 Q96DN5
ENST00000335496 Q7Z572
ENST00000253047 Q9NX00
ENST00000296490 Q6UXN9
ENST00000223167 Q9BUA6
ENST00000297347 Q96HR3
ENST00000238823 Q8NCA5
ENST00000290167 P56705
ENST00000328550 Q7Z3V5
ENST00000253669 Q9BT25
ENST00000327791 Q8IY57
ENST00000310123 Q8N135
ENST00000307832 Q8NGV0
ENST00000304312 P56385
ENST00000328771 Q14147
ENST00000308249 Q8WY54
ENST00000229708 Q9BZM6
ENST00000279027 Q8WWT9
ENST00000278520 Q8N4S0
ENST00000333055 P26572
ENST00000264703 Q9H6D8
ENST00000293860 Q9Y2Y1
ENST00000308127 Q8TE77
ENST00000287647 Q9BXW9
ENST00000290943 A2A2Z9
ENST00000249284 Q9NYV7
ENST00000072869 Q7Z695
ENST00000293373 P55160
ENST00000310521 Q8NA61
ENST00000327157 Q9NNZ6
ENST00000234798 Q9NRR2
ENST00000245983 O43555
ENST00000312693 Q05952
ENST00000318683 Q9Y2A9
ENST00000312511 P04553
ENST00000332029 O15524
ENST00000278025 A2VDF0
ENST00000194130 Q9BZW2
ENST00000295266 P29803
ENST00000328404 Q9NTU4
ENST00000295927 P26022
ENST00000305089 P48304
ENST00000310924 Q8TBP0
ENST00000274278 Q6NUS8
ENST00000305141 Q9HB89
ENST00000313965 Q53QW1
ENST00000265753 Q15056
ENST00000253247 Q9H8H0
ENST00000258484 Q52LR7
ENST00000236877 Q9UPR5
ENST00000334534 Q5VYV7
ENST00000217073 Q4VXU2
ENST00000263354 P54920
ENST00000261837 O14775
ENST00000298705 Q96LQ0
ENST00000330070 P14652
ENST00000302392 Q69YG0
ENST00000273146 Q9UFP1
ENST00000310417 Q9HCP6
ENST00000309052 Q6UWP7
ENST00000332503 P17483
ENST00000225648 P17509
ENST00000334270 Q15361
ENST00000217386 P01178
ENST00000268919 Q8N4N8
ENST00000243501 Q9BZM1
ENST00000239151 P09067
ENST00000232766 O94889
ENST00000334268 Q13061
ENST00000320767 Q8N4G2
ENST00000263277 Q9NZN4
ENST00000295049 Q52LD8
ENST00000314520 Q13064
ENST00000282507 Q3SY77
ENST00000156626 Q9NSC7
ENST00000332349 Q9Y4A0
ENST00000246802 Q9NZM5
ENST00000220676 P56715
ENST00000316161 Q9UNU6
ENST00000275230 Q8TD20
ENST00000295206 Q05925
ENST00000328199 Q6ZS27
ENST00000327554 Q8IWA6
ENST00000264187 P14543
ENST00000334462 Q86TG1
ENST00000257905 Q13522
ENST00000299698 A8K2U0
ENST00000311042 Q13875
ENST00000335244 Q495M3
ENST00000310232 Q8IYE1
ENST00000300575 Q96LL3
ENST00000311069 Q8IVA1
ENST00000287878 Q9UGJ0
ENST00000216780 Q16822
ENST00000317060 Q8N907
ENST00000300835 Q9BWN1
ENST00000327097 Q9UEW3
ENST00000265007 O94993
ENST00000274605 O15049
ENST00000317271 Q6DKI7
ENST00000327381 Q5GH76
ENST00000264741 Q13797
ENST00000262316 Q96CC6
ENST00000229447 Q6PHW0
ENST00000222345 O60292
ENST00000264042 O94887
ENST00000267426 A5D6W6
ENST00000297056 Q8NCG7
ENST00000323833 P43897
ENST00000282276 Q96GW9
ENST00000293255 Q9NP86
ENST00000272520 Q7Z5L3
ENST00000270349 Q01959
ENST00000247226 A1L390
ENST00000296603 Q68DH5
ENST00000280527 Q9NZV1
ENST00000310256 Q9H2C2
ENST00000258739 P33947
ENST00000303372 Q96GX1
ENST00000335464 Q8NE00
ENST00000316428 Q6UY01
ENST00000228606 O15528
ENST00000217173 O94941
ENST00000253814 Q9BT67
ENST00000296422 Q4ZJI4
ENST00000229002 Q9H628
ENST00000306336 Q2NKX9
ENST00000291416 Q9BVG3
ENST00000263610 Q9BZE3
ENST00000295268 Q8N412
ENST00000229022 P11473
ENST00000274606 Q9NX24
ENST00000248248 Q7L1V2
ENST00000312648 P09564
ENST00000327705 Q6UXG8
ENST00000329734 P78415
ENST00000325157 Q8IYW4
ENST00000301480 Q96MR9
ENST00000322310 O43805
ENST00000314134 Q96A29
ENST00000282849 Q8TE60
ENST00000218176 Q9NSA2
ENST00000301246 Q9GZP8
ENST00000301242 Q96A00
ENST00000239165 P09629
ENST00000267970 O60637
ENST00000239144 P17481
ENST00000311177 P17482
ENST00000012134 P31629
ENST00000253115 Q9BUY5
ENST00000317502 Q9BT17
ENST00000312292 Q5VYM1
ENST00000333430 Q9H228
ENST00000256343 Q9H7T0
ENST00000219611 O75808
ENST00000319359 Q9HB65
ENST00000260403 Q0P6H9
ENST00000329152 O60299
ENST00000282670 Q8N7M0
ENST00000254654 Q9H0C8
ENST00000293190 Q14957
ENST00000241125 Q9Y6H8
ENST00000278060 Q6QHF9
ENST00000319327 A6NH21
ENST00000266037 Q8IZD9
ENST00000330342 Q9Y487
ENST00000290294 Q96KF2
ENST00000222248 Q92911
ENST00000257118 Q8IXK0
ENST00000274773 Q9C029
ENST00000300619 Q05481
ENST00000309469 Q86TL0
ENST00000299498 Q6BCY4
ENST00000264824 P12980
ENST00000332947 Q6ZT52
ENST00000221515 Q9HD89
ENST00000321556 Q9BXM7
ENST00000310786 Q04900
ENST00000222249 Q92952
ENST00000266673 Q96HH6
ENST00000247191 Q15398
ENST00000263897 Q9NZ43
ENST00000322329 Q8N4K4
ENST00000279022 P24844
ENST00000333407 Q8NEG4
ENST00000296978 Q86VY9
ENST00000324685 O75150
ENST00000256367 Q92623
ENST00000242848 Q5T200
ENST00000241124 O95452
ENST00000261800 Q9NYQ8
ENST00000269389 Q8WVN6
ENST00000308158 Q8IUZ5
ENST00000278070 Q5VV67
ENST00000278826 Q9NPI0
ENST00000272937 Q96HZ4
ENST00000333437 Q8NA77
ENST00000264555 Q9P1Y6
ENST00000304031 Q53T59
ENST00000305364 Q9UPQ4
ENST00000270221 P54852
ENST00000316249 Q9UJ96
ENST00000322244 A0AVT1
ENST00000272224 Q7Z4P5
ENST00000248598 Q14314
