uniprot_id,iso_id,uniprot_length,source,from,to,template,qmean,qnorm,seq_id,seq_cov
A6NHL2,A6NHL2-1,446,SWISSMODEL,1,443,6dpv.1.E,-2.0060084167,0.7038365826,75.8620681763,0.991031
A6NHQ2,,334,SWISSMODEL,91,329,5oql.1.R,-1.7808120857,0.7054538166000001,66.9456100464,0.712575
A6NHY2,,528,SWISSMODEL,70,432,5lec.1.A,-2.589375694,0.6830700224,30.5949001312,0.685606
A6NI03,,449,SWISSMODEL,130,448,4cg4.1.A,-1.3274545394000001,0.7171309253,25.1572322845,0.708241
A6NI15,,193,SWISSMODEL,119,187,2ypa.1.A,-0.4632513132,0.7649331844,29.5774650574,0.352332
A6NIK2,,292,SWISSMODEL,11,221,4u06.1.A,-3.5314776569,0.6384074797,33.0143547058,0.719178
A6NJ78,A6NJ78-1,407,SWISSMODEL,70,407,1wg8.1.A,-3.8104143403,0.6423217347,47.7031784058,0.82801
A6NJI9,,287,SWISSMODEL,44,187,5mqf.1.W,-3.0318191842,0.6283401628,27.2108840942,0.498258
A6NJW4,,275,SWISSMODEL,48,212,4xsq.1.A,-2.6998023914,0.6586654828,28.3950614929,0.596364
A6NK53,,670,SWISSMODEL,283,587,5wjq.1.C,-4.537288463,0.6086953635,46.5949821472,0.453731
A6NK58,,231,SWISSMODEL,4,225,2qhs.1.A,-3.1869431375,0.6511051188,37.4407577515,0.95671
A6NK59,A6NK59-1,587,SWISSMODEL,50,480,5leb.1.A,-2.7370782956,0.67614484,29.3827152252,0.732538
A6NK75,,572,SWISSMODEL,181,485,5v3m.1.C,-3.4797157868,0.6478372156000001,53.5714302063,0.531469
A6NKC9,,451,SWISSMODEL,45,203,4e93.1.A,-4.8192321638,0.5514810006,25.8278141022,0.350333
A6NKD2,,308,SWISSMODEL,99,291,2e50.1.A,-1.5099266604000001,0.7178120488,34.0206184387,0.623377
A6NKN8,,68,SWISSMODEL,36,68,2n77.1.B,0.0682565308,0.7692939520000001,53.6585350037,0.470588
A6NLE4,,172,SWISSMODEL,81,166,1flc.1.B,-5.550245639,0.4578643788,30.2325572968,0.494186
A6NLW8,,204,SWISSMODEL,13,157,6e8c.1.A,-2.0358994114,0.681371755,46.3768119812,0.705882
A6NLX3,,237,SWISSMODEL,99,235,7e34.1.B,-1.8559599039,0.6831378628,40.1459846497,0.57384
A6NM28,,416,SWISSMODEL,150,385,5v3j.1.C,-3.1614689634,0.6502945707000001,44.4915237427,0.564904
A6NM36,,301,SWISSMODEL,49,298,4u06.1.A,-3.8607817287,0.6167182065,29.1666660309,0.827243
A6NM45,,220,SWISSMODEL,8,188,6ov2.1.A,-5.1863989957,0.5598370792,36.216217041,0.818182
A6NMK7,,179,SWISSMODEL,1,116,6dnh.1.C,-3.9353687553,0.571563302,67.6829299927,0.642458
A6NMX2,,242,SWISSMODEL,59,242,4aza.2.A,-0.5173696160000001,0.7593448468,72.8260879517,0.756198
A6NMZ2,,147,SWISSMODEL,54,138,2y5i.1.A,-1.1653351779,0.729407177,34.1176452637,0.571429
A6NNM8,A6NNM8-1,815,SWISSMODEL,86,493,6vzu.2.A,-1.3189806318000001,0.7247748656,63.2286987305,0.499387
A6NNW6,A6NNW6-3,625,SWISSMODEL,67,582,1te6.1.A,-5.5404193471,0.5697301437,26.3657951355,0.824
A6NNZ2,,444,SWISSMODEL,1,429,3jaw.1.B,-1.1469509798,0.7311588329,86.9369354248,0.963964
A6NP11,,495,SWISSMODEL,156,488,5v3j.2.C,-4.2100769917,0.62606803,48.0286750793,0.670707
A6PVI3,,153,SWISSMODEL,4,147,1h2t.1.B,-1.5573670014,0.7029712952,67.1140975952,0.934641
A6XGL0,A6XGL0-1,299,SWISSMODEL,65,299,2o8n.1.B,-2.2794918528,0.6978113924,46.2151412964,0.782609
A7E2S9,A7E2S9-1,258,SWISSMODEL,6,255,6mok.1.A,-3.2937829119,0.6402178147,26.612903595,0.965116
A7MBM2,,1401,SWISSMODEL,157,1123,6tbu.1.A,-4.1719763111,0.6176084390000001,30.5583763123,0.689507
A8K2U0,A8K2U0-1,1454,SWISSMODEL,17,1454,6tav.1.A,-4.9411827649,0.5906958874,40.4644622803,0.988308
A8K4G0,,201,SWISSMODEL,17,125,2nms.1.A,-1.6211971909,0.7026288575,63.9639625549,0.537313
A8K8V0,A8K8V0-1,405,SWISSMODEL,171,405,5v3m.1.C,-3.2256299706,0.6484388288,37.9310340881,0.577778
A8MT65,,544,SWISSMODEL,264,539,5wjq.1.C,-3.2524128323,0.6430555948000001,45.6834526062,0.505515
A8MTJ3,,354,SWISSMODEL,6,347,1got.1.A,-0.49706779510000004,0.7579802282,74.5714263916,0.963277
A8MTL0,,148,SWISSMODEL,9,108,2dfs.1.H,-2.3709544188000002,0.6674643214,27.1739139557,0.668919
A8MTL9,A8MTL9-1,139,SWISSMODEL,1,137,4zk0.1.A,-3.2555762983,0.6091208569000001,41.1764717102,0.978417
A8MTY0,,619,SWISSMODEL,225,529,5v3m.1.C,-4.5640096348,0.6077063855,53.4201965332,0.491115
A8MUK1,,530,SWISSMODEL,76,406,5vsb.1.A,-4.1097026692,0.6197872332000001,25.705329895,0.622642
A8MUM7,,142,SWISSMODEL,1,139,6ljp.1.A,0.3028961241,0.7965192965,100.0,0.971831
A8MUP2,,240,SWISSMODEL,29,239,2pxx.1.A,-2.9300794378,0.6625006038,31.1827964783,0.875
A8MUP6,,293,SWISSMODEL,5,230,5wel.1.A,-6.9912649567,0.4951669201,46.9565200806,0.767918
A8MUZ8,,300,SWISSMODEL,95,299,5v3m.1.C,-3.879228486,0.6234995655000001,30.7317066193,0.68
A8MV81,,97,SWISSMODEL,4,91,2lom.1.A,-8.6667192857,0.2590450259,56.8181800842,0.896907
A8MX76,A8MX76-1,684,SWISSMODEL,21,683,3bow.1.A,-2.6319548348,0.6714898217,37.6132926941,0.967836
A8MXT2,,336,SWISSMODEL,95,311,2wa0.1.A,-1.1757567051,0.7323589694,47.2972984314,0.642857
A8MXY4,,864,SWISSMODEL,200,532,5v3m.1.C,-5.522731249,0.5792509352,50.3246765137,0.384259
A8MYZ5,,107,SWISSMODEL,13,80,2dfs.1.H,-1.6076059038000001,0.6858626819,26.6666660309,0.626168
A9UHW6,A9UHW6-1,222,SWISSMODEL,7,222,4jhj.1.A,-1.5627734288,0.7167721946000001,73.8738708496,0.968468
B0I1T2,B0I1T2-1,1018,SWISSMODEL,10,762,2dfs.1.H,-2.2456081161,0.6850070978,38.3333320618,0.738703
B2RNN3,B2RNN3-1,333,SWISSMODEL,196,331,6u66.1.A,-4.2839007378,0.620906138,51.4925384521,0.405405
B2RTY4,B2RTY4-1,2548,SWISSMODEL,143,1161,2dfs.1.H,-5.1042445081,0.5849907772,36.1676635742,0.399529
B2RU33,,542,SWISSMODEL,135,385,5y4d.1.A,-2.9314860111,0.6553931179,25.6097564697,0.461255
B2RV13,,164,SWISSMODEL,72,129,6dkm.1.A,-1.0149209555,0.7066879778,30.6122455597,0.347561
B3GLJ2,,98,SWISSMODEL,19,97,6oaz.1.B,-2.1053138751000002,0.6544076844000001,25.9740257263,0.795918
B4DU55,,563,SWISSMODEL,257,562,5wjq.1.C,-4.582389186,0.6070059544,55.3956832886,0.541741
B4DX44,,427,SWISSMODEL,142,420,5wjq.1.C,-3.6173874165,0.6294110491,48.0427055359,0.651054
B4DXR9,,585,SWISSMODEL,247,525,5wjq.1.C,-2.4217585445,0.6772827628,50.177936554,0.475214
B4E2M5,,251,SWISSMODEL,56,248,5le4.1.A,-2.0327584297,0.6989165810000001,26.6304340363,0.76494
B5MCN3,,397,SWISSMODEL,3,395,4tlg.1.A,1.2855906519,0.8162598759,78.7341766357,0.987406
B5ME19,,914,SWISSMODEL,47,879,6zp4.1.d,-3.8532909499,0.6287584185,99.7809448242,0.910284
B6A8C7,B6A8C7-1,271,SWISSMODEL,26,222,1b6u.1.A,-3.0282845639,0.6597028834,29.7872333527,0.723247
B7Z6K7,,855,SWISSMODEL,351,656,5v3j.2.C,-4.1643541867,0.6224664826,49.6402893066,0.356725
B7ZBB8,,358,SWISSMODEL,194,354,2m83.1.A,-6.9850926793,0.4508012437,32.0610694885,0.446927
B9A064,B9A064-1,214,SWISSMODEL,21,213,5aze.1.A,-2.729893933,0.6711994728,71.5053787231,0.897196
C9JBD0,C9JBD0-1,128,SWISSMODEL,15,60,1v65.1.A,-3.4703710122,0.3791773832,30.4347820282,0.351562
C9JDP6,,229,SWISSMODEL,8,188,6ov2.1.A,-5.6890731155,0.5383983679000001,36.0215072632,0.786026
C9JE40,,543,SWISSMODEL,299,540,2xer.1.A,-2.5482031617,0.6721365732,33.7552757263,0.443831
C9JJH3,,530,SWISSMODEL,76,407,5vsb.1.A,-4.1753407264,0.6174907267,25.0783691406,0.624528
C9JLJ4,,530,SWISSMODEL,75,402,5jtv.4.A,-4.7877446292,0.6028364037,26.1006298065,0.616981
C9JN71,,531,SWISSMODEL,224,530,5wjq.1.C,-3.8343497685,0.6352512473,50.3571434021,0.576271
C9JTQ0,,380,SWISSMODEL,6,177,5leb.1.A,-0.3661698748,0.7653574092000001,27.7108440399,0.45
C9JVI0,,530,SWISSMODEL,76,406,5vsb.1.A,-3.9289042491,0.6261129040000001,26.3322887421,0.622642
D6R9N7,,530,SWISSMODEL,75,405,2f1z.1.A,-5.647272394,0.57420954,26.0188083649,0.622642
D6RA61,,530,SWISSMODEL,76,406,5vsb.1.A,-4.1351263853,0.6188977229,26.0188083649,0.622642
D6RBQ6,,530,SWISSMODEL,76,407,5vsb.1.A,-3.9675750671000003,0.6247599117,25.9375,0.624528
D6RCP7,,530,SWISSMODEL,76,406,5vsb.1.A,-4.0909134255,0.6204446204,26.3322887421,0.622642
E0CX11,,47,SWISSMODEL,4,42,6t15.1.2,-1.0657854213,0.6354902752,28.9473686218,0.808511
E5RJM6,E5RJM6-1,399,SWISSMODEL,40,392,5le2.1.A,-1.4264197713,0.7260591554,38.2857131958,0.882206
E7ETH6,,402,SWISSMODEL,89,377,5wjq.1.C,-5.59394498,0.5492167722,37.4545440674,0.716418
E9PGG2,,379,SWISSMODEL,22,198,4egc.1.A,-0.9992006693000001,0.7374834596000001,29.6511631012,0.46438
E9PQ53,E9PQ53-1,114,SWISSMODEL,1,109,5xtc.1.O,-3.2821619327000002,0.6142688143,96.3302764893,0.947368
F5H284,,164,SWISSMODEL,1,164,4n1s.1.A,-0.28733463870000003,0.7676326918,84.1463394165,0.993902
F8VTS6,,287,SWISSMODEL,94,285,2fbe.3.A,-1.2701901329,0.7298527985000001,98.9690704346,0.665505
H3BMG3,,65,SWISSMODEL,28,55,4k90.1.A,-0.7879128629000001,0.6682759847,28.571428299,0.415385
H3BUK9,,544,SWISSMODEL,104,382,5jhq.1.A,-3.4485006742,0.6361730954,26.0869560242,0.511029
H3BV60,,316,SWISSMODEL,60,237,3qw9.1.A,-5.9034907283999996,0.5698500965000001,27.4390239716,0.560127
I1YAP6,,450,SWISSMODEL,185,450,4cg4.2.A,-3.1918770582000002,0.6637074348,28.0769233704,0.588889
O00110,,214,SWISSMODEL,86,211,5wjq.1.C,-4.0467046666,0.5677081249,37.3913040161,0.584112
O00115,O00115-1,360,SWISSMODEL,15,352,5unb.1.A,-4.4930460132,0.6063750375,27.4924468994,0.936111
O00116,,658,SWISSMODEL,81,658,4bca.1.A,-1.0674327367,0.7262284181,92.2492370605,0.8769
O00144,,591,SWISSMODEL,34,545,5l7d.1.A,-6.0309750794,0.5781036503,25.957447052,0.864636
O00148,O00148-1,427,SWISSMODEL,45,425,1xti.1.A,0.019651341000000003,0.7730678851,92.9503936768,0.88993
O00155,,361,SWISSMODEL,38,328,5vbl.1.B,-4.8339580911,0.5840742877,33.2179946899,0.803324
O00170,,330,SWISSMODEL,3,166,2lkn.1.A,-3.2799603481,0.6333146484000001,100.0,0.493939
O00178,,669,SWISSMODEL,159,580,6ra9.1.B,-3.6429940576,0.6440888319,25.8485641479,0.629297
O00186,,592,SWISSMODEL,7,584,3puk.2.A,-3.7431586977,0.6360282075,92.04737854,0.974662
O00192,O00192-1,962,SWISSMODEL,344,852,3l6x.1.A,-2.5087441818,0.687165003,52.8368797302,0.528067
O00203,O00203-1,1094,SWISSMODEL,40,634,6yaf.1.B,-4.9775906613,0.5876382617,25.142206192,0.542962
O00212,,210,SWISSMODEL,15,209,6siu.1.C,-1.3315529538,0.7264496282,43.684211731,0.92381
O00221,,500,SWISSMODEL,226,489,4rly.1.A,-3.2723428552,0.6411433662,25.8964138031,0.526
O00233,O00233-1,223,SWISSMODEL,14,108,3whj.1.A,-0.46452146910000003,0.7676659862,37.2340431213,0.421525
O00241,O00241-1,398,SWISSMODEL,30,347,2wng.1.A,0.34569891340000003,0.7893521535,88.0877761841,0.796482
O00254,O00254-1,374,SWISSMODEL,90,373,5ndd.1.A,-3.6530529457,0.6282596753,36.0424041748,0.756684
O00270,,319,SWISSMODEL,11,296,4xnw.2.A,-3.8353634505,0.6196912158,26.7796611786,0.893417
O00295,,520,SWISSMODEL,260,520,1s31.1.A,-1.6298998004,0.708649492,53.2567062378,0.5
O00305,O00305-1,520,SWISSMODEL,66,407,1t3l.1.A,-0.8884578767,0.7441093991000001,81.6023712158,0.655769
O00327,O00327-2,626,SWISSMODEL,71,442,4f3l.1.A,-1.6898902361,0.7125145567000001,98.9637298584,0.592652
O00337,O00337-1,649,SWISSMODEL,81,592,6ksw.1.A,-4.605521939,0.6024397947,46.4837036133,0.787365
O00341,O00341-1,560,SWISSMODEL,8,488,5llu.1.C,-4.9545482217,0.5902282645,64.5739898682,0.857143
O00398,,339,SWISSMODEL,20,328,6ibb.1.A,-5.9022019546,0.557878903,29.8657722473,0.908555
O00421,O00421-1,344,SWISSMODEL,28,317,5uiw.1.A,-2.9006204542000003,0.6599031019,45.1048965454,0.840116
O00425,O00425-1,579,SWISSMODEL,279,474,1j4w.1.B,-2.2868484068,0.688571512,25.0,0.336788
O00442,O00442-1,366,SWISSMODEL,5,343,4o8j.1.A,-2.8419824826,0.6756352547000001,36.3636360168,0.923497
O00443,O00443-1,1686,SWISSMODEL,363,1396,1e7u.1.A,-4.9621309700000005,0.5899629637,29.5681056976,0.612693
O00459,,728,SWISSMODEL,447,720,2y3a.1.B,-3.8183246284,0.6197792859,97.9797973633,0.375
O00469,O00469-1,737,SWISSMODEL,33,737,6fxm.1.B,-0.6678655303000001,0.740208245,59.2644996643,0.955224
O00476,O00476-1,420,SWISSMODEL,30,414,6v4d.1.A,-7.3624680172,0.5084101803000001,28.90625,0.914286
O00505,,521,SWISSMODEL,7,492,1wa5.1.B,-2.3241013934,0.6967382759,47.9423866272,0.930902
O00519,,579,SWISSMODEL,34,577,2wj1.1.A,0.3126026763,0.7745123008,85.1179656982,0.937824
O00533,O00533-1,1208,SWISSMODEL,33,924,6iaa.1.A,-6.2249443804,0.5457803768,26.7175579071,0.737583
O00541,O00541-1,588,SWISSMODEL,3,575,6em5.1.b,-5.6076873221,0.5751733944,41.0301971436,0.972789
O00555,O00555-8,2506,SWISSMODEL,79,1938,6jp8.1.D,-6.1354852968,0.5489103196,48.5364189148,0.74182
O00566,,681,SWISSMODEL,355,587,6zqf.1.K,-2.3561983772,0.6840932150000001,26.373626709,0.340675
O00567,,594,SWISSMODEL,4,455,6rxz.21.A,-6.0281287666,0.5729895688000001,38.3027534485,0.759259
O00574,,342,SWISSMODEL,19,308,6wwz.1.F,-5.7736325539,0.5458342113,40.5405387878,0.845029
O00587,O00587-1,321,SWISSMODEL,50,318,2j0a.1.A,-0.9079478995,0.7371416008,85.5595703125,0.834891
O00590,,384,SWISSMODEL,39,331,5uiw.1.A,-4.4001087968,0.6029009297,36.9863014221,0.760417
O00591,,440,SWISSMODEL,34,439,4cof.1.A,-5.499155231,0.5711738687,48.3383674622,0.920455
O00624,O00624-1,439,SWISSMODEL,13,435,6v4d.1.A,-7.6087237665,0.504807829,33.0845756531,0.961276
O00626,,93,SWISSMODEL,25,93,2q8r.1.A,-0.9430847239000001,0.7315865581000001,32.3076934814,0.731183
O00628,O00628-1,323,SWISSMODEL,16,317,3w15.1.A,-3.6290554806,0.6406682826,34.2192687988,0.931889
O00634,,580,SWISSMODEL,25,426,4ove.1.A,-1.4573941644000001,0.7195238822000001,61.3466339111,0.691379
O00635,,465,SWISSMODEL,131,464,4cg4.2.A,-1.7575528165,0.7020828950000001,31.7365264893,0.716129
O00743,O00743-1,305,SWISSMODEL,3,305,3fga.1.C,-2.3974824111,0.6866021159,57.425743103,0.990164
O00744,O00744-1,389,SWISSMODEL,46,389,6ahy.1.B,-5.2454337274,0.5903692729000001,42.6710090637,0.881748
O00748,O00748-1,559,SWISSMODEL,30,544,5fv4.1.A,-1.9525203442999999,0.7064669971,48.2625465393,0.919499
O00750,,1634,SWISSMODEL,281,1337,4zop.1.A,-4.594505156,0.6028252436,31.7931785583,0.646267
O00754,O00754-1,1011,SWISSMODEL,51,1004,6b9p.1.A,-3.3353652034,0.6468793057000001,42.8876991272,0.942631
O00755,,349,SWISSMODEL,37,349,6ahy.2.B,-2.3972800699,0.6876605963,45.6869010925,0.893983
O14521,O14521-1,159,SWISSMODEL,58,159,4ytp.1.D,-2.5097230317,0.6636452892,88.0503158569,0.63522
O14522,O14522-3,1441,SWISSMODEL,869,1441,6kr4.1.A,-1.2562564879,0.7219391634,42.3280410767,0.396947
O14543,,225,SWISSMODEL,28,224,2izv.1.A,-4.9285629799,0.5843801980000001,25.1612911224,0.871111
O14548,,114,SWISSMODEL,57,112,5z62.1.J,-1.8997462516999999,0.6226859189,60.7142868042,0.482456
O14576,O14576-1,645,SWISSMODEL,216,631,6f1t.1.b,-4.2881369423,0.6216583449,77.5577545166,0.643411
O14602,,144,SWISSMODEL,2,144,1d7q.1.B,-7.3859727957,0.4112240287,99.3006973267,0.986111
O14604,,44,SWISSMODEL,6,41,4pl7.1.A,0.2295671067,0.7883267119,90.6976776123,0.795455
O14607,O14607-1,1347,SWISSMODEL,833,1342,3avr.1.A,-0.16955849380000002,0.7613274809,92.7063369751,0.377877
O14610,,69,SWISSMODEL,5,62,7o7f.1.D,0.8132239303000001,0.8628710534,65.6716384888,0.826087
O14626,,319,SWISSMODEL,17,292,4pxz.1.A,-4.0644632779,0.6103191851,33.7931022644,0.862069
O14628,O14628-1,629,SWISSMODEL,215,573,5v3m.1.C,-6.7532387624,0.5374229852,47.077922821,0.569157
O14646,O14646-1,1710,SWISSMODEL,270,1315,5o9g.1.K,-5.4037039932,0.5745134616,38.6991882324,0.611111
O14647,O14647-1,1828,SWISSMODEL,259,1022,3mwy.1.A,-5.2966255393,0.5782598607,47.6635513306,0.417396
O14657,,336,SWISSMODEL,62,336,5j1s.1.A,-0.0917455684,0.7702521107,69.4244613647,0.815476
O14682,O14682-1,589,SWISSMODEL,294,581,6fmp.1.A,-3.8970319338,0.6171841402,26.2411346436,0.487267
O14718,,337,SWISSMODEL,22,312,4ww3.1.A,-4.0959848383,0.6132307348,29.2096214294,0.860534
O14730,O14730-1,519,SWISSMODEL,199,487,6zxg.1.a,-1.948384377,0.6961965535,45.7142868042,0.554913
O14734,,319,SWISSMODEL,24,311,4r4u.1.A,-3.4130879343,0.6471006285,41.5770606995,0.899687
O14753,,267,SWISSMODEL,116,262,2i13.1.C,-3.771240484,0.5933021384,29.9270076752,0.546816
O14756,,317,SWISSMODEL,32,281,1a27.1.B,-5.390747434,0.6001865655,33.0472106934,0.785489
O14764,,452,SWISSMODEL,44,451,6hug.1.B,-5.6409660017,0.5726679037,45.2736320496,0.900442
O14771,O14771-1,459,SWISSMODEL,290,453,5v3m.1.C,-3.2460104308,0.6348384228,43.9024391174,0.35512
O14775,O14775-1,395,SWISSMODEL,44,395,6n9g.1.B,-1.7919372214,0.7129658815000001,99.4318161011,0.888608
O14782,,793,SWISSMODEL,8,384,6wwg.1.D,-4.0266364833,0.6268256202,38.5041542053,0.474149
O14787,O14787-1,897,SWISSMODEL,3,897,2z5k.1.A,-2.0447706686,0.6920338825,85.3438568115,0.996656
