uniprot_id	n_sites	mean_d	permuted_d	p_value
A6NG13	9	32.67	31.05	0.5944
A6NGA9	1	0.00	0.00	0.0010
A6NGB7	87	23.17	33.22	0.0010
A6NGC4	5	13.33	18.76	0.0460
A6NGE4	15	18.38	26.59	0.0010
A6NGK3	4	12.66	41.52	0.0020
A6NGR9	62	26.81	40.98	0.0010
A6NGS2	7	5.73	37.97	0.0010
A6NH52	1	0.00	0.00	0.0010
A6NHN6	14	22.64	38.65	0.0010
A6NHP3	145	28.17	29.89	0.0050
A6NHR9	124	61.46	74.38	0.0010
A6NHT5	42	35.53	46.79	0.0010
A6NHZ5	15	17.93	32.06	0.0010
A6NI28	57	59.42	57.80	0.6653
A6NI61	1	0.00	0.00	0.0010
A6NI87	13	18.89	50.65	0.0010
A6NIM6	2	21.18	15.04	0.8282
A6NIR3	21	20.93	29.16	0.0010
A6NIV6	2	7.64	19.41	0.1129
A6NIX2	29	24.38	53.56	0.0010
A6NJ08	38	25.18	40.77	0.0010
A6NJ46	11	10.83	34.28	0.0010
A6NJG2	65	21.14	26.57	0.0010
A6NJT0	83	41.74	53.78	0.0010
A6NJV1	1	0.00	0.00	0.0010
A6NJZ7	630	66.07	66.05	0.5155
A6NKB5	20	20.74	45.62	0.0010
A6NKD9	108	65.13	64.54	0.5704
A6NKF2	22	14.42	47.31	0.0010
A6NKF7	56	31.20	43.53	0.0010
A6NKP2	135	28.69	28.11	0.7502
A6NKT7	69	28.93	53.24	0.0010
A6NKW6	1	0.00	0.00	0.0010
A6NL88	95	33.73	48.64	0.0010
A6NLC5	4	7.83	27.22	0.0030
A6NLJ0	80	29.33	33.63	0.0020
A6NLP5	64	20.36	26.02	0.0010
A6NLU5	23	21.91	37.39	0.0010
A6NMD2	10	21.27	60.59	0.0010
A6NMK8	11	8.23	38.86	0.0010
A6NMT0	16	22.69	46.20	0.0010
A6NN14	2	2.38	45.75	0.0020
A6NNA5	9	11.55	39.23	0.0010
A6NNE9	19	37.94	38.82	0.4366
A6NNL5	17	17.64	19.14	0.1489
A6NNP5	2	2.44	28.14	0.0030
A6NNS2	3	4.07	18.26	0.0010
A6NNT2	1	0.00	0.00	0.0010
A6NNX1	15	11.46	26.45	0.0010
A6NP61	2	7.48	14.99	0.1918
A6QL63	135	25.99	46.22	0.0010
A6QL64	46	65.65	67.17	0.3886
A7E2F4	95	49.50	60.73	0.0010
A7E2V4	264	55.76	60.02	0.0010
A7MCY6	9	36.35	59.52	0.0100
A7XYQ1	13	22.55	44.90	0.0010
A8K855	2	2.34	18.43	0.0010
A8K979	10	6.80	26.46	0.0010
A8MPS7	80	21.69	23.85	0.0020
A8MQ14	11	27.60	73.58	0.0010
A8MQ27	304	29.24	31.78	0.0010
A8MQT2	125	53.72	59.82	0.0020
A8MSI8	1	0.00	0.00	0.0010
A8MT33	3	28.57	59.70	0.1409
A8MTQ0	7	47.65	40.46	0.8442
A8MV65	2	2.79	22.22	0.0040
A8MVW0	60	47.26	41.83	0.9341
A8MW92	23	28.14	42.69	0.0010
A8MW99	44	25.02	32.77	0.0010
A8MWY0	9	38.98	47.99	0.2038
A8MXV4	30	20.21	25.92	0.0010
A8MYP8	68	43.76	59.36	0.0010
A8MYV0	91	49.65	51.89	0.0410
A8MYZ0	91	20.00	28.37	0.0010
A8MZ36	5	8.72	24.14	0.0020
B0FP48	51	37.96	53.56	0.0040
B0YJ81	6	5.75	20.96	0.0010
B1AJZ9	2	66.17	54.68	0.6793
B1AKI9	24	34.99	31.38	0.8741
B1ANS9	3	45.86	31.13	0.9481
B2CW77	3	4.11	28.55	0.0020
B2RC85	86	41.90	46.27	0.0140
B2RUY7	2	2.68	24.88	0.0080
B2RXF0	51	24.86	30.37	0.0020
B3KU38	4	12.29	33.11	0.0030
B4DS77	48	35.81	46.05	0.0010
B5MCY1	10	40.37	49.95	0.0300
B7Z1M9	74	27.65	39.34	0.0010
B7Z3J9	11	21.95	37.64	0.0020
B7ZAQ6	38	31.20	36.69	0.0240
B9A014	1	0.00	0.00	0.0010
B9EJG8	9	20.11	26.95	0.1219
C9J069	164	42.56	45.70	0.0030
C9J1S8	168	37.32	40.50	0.0010
C9J3V5	35	23.27	35.37	0.0010
C9J6K1	33	26.49	28.29	0.2368
C9J798	491	38.62	39.23	0.0280
C9JCN9	13	8.25	31.99	0.0010
C9JH25	169	26.25	33.08	0.0010
C9JI98	92	39.43	41.41	0.0789
C9JJ37	31	16.67	31.75	0.0010
C9JR72	43	25.61	29.87	0.0020
C9JUS6	9	26.86	26.09	0.5564
C9JVW0	18	37.07	45.65	0.0430
D6RGH6	23	34.13	42.63	0.0090
E2RYF6	2	28.17	52.03	0.3367
E9PI22	5	32.96	34.60	0.4326
E9PIF3	55	30.45	37.16	0.0010
E9PJ23	35	26.59	34.52	0.0010
E9PJI5	27	24.76	35.61	0.0010
E9PKD4	23	26.03	36.50	0.0010
E9PQR5	48	31.25	38.90	0.0010
E9PRG8	16	20.09	34.28	0.0030
F2Z333	147	26.55	35.70	0.0010
F5GYI3	25	29.41	40.03	0.0050
F5H4A9	38	25.62	47.33	0.0010
F8W1W9	40	30.54	41.03	0.0010
F8WBI6	124	65.18	63.54	0.7742
F8WFD2	59	30.75	37.52	0.0020
H0YL14	4	5.56	23.47	0.0020
H3BNL8	2	3.10	14.61	0.0180
H3BPF8	8	6.21	79.65	0.0010
H3BPM6	1	0.00	0.00	0.0010
H3BQB6	2	2.83	26.02	0.0040
H3BQJ8	4	13.53	20.24	0.1528
H3BQL2	21	64.89	91.81	0.0060
H3BQW9	28	32.16	39.34	0.0060
H3BRN8	1	0.00	0.00	0.0010
H3BS89	59	24.66	31.43	0.0010
H3BSY2	1	0.00	0.00	0.0010
H3BV12	39	46.95	65.47	0.0010
H7C241	27	18.87	26.11	0.0010
H7C350	34	35.95	56.08	0.0010
I6L899	42	69.03	66.26	0.7363
L0R819	19	35.26	26.63	0.9950
M0QZC1	74	25.17	48.06	0.0010
M0QZD8	451	43.13	75.00	0.0010
M0R2J8	10	27.43	56.36	0.0010
O00151	10	9.00	35.56	0.0010
O00161	5	4.95	32.09	0.0010
O00193	8	25.48	40.33	0.0100
O00213	20	18.71	35.32	0.0010
O00219	53	21.30	31.89	0.0010
O00237	3	4.96	30.44	0.0040
O00255	72	29.59	32.39	0.0150
O00257	49	29.68	45.12	0.0010
O00268	43	48.65	51.80	0.1219
O00273	1	0.00	0.00	0.0010
O00287	2	2.65	22.41	0.0040
O00291	24	32.24	62.39	0.0010
O00292	23	17.24	35.56	0.0010
O00321	21	13.21	29.75	0.0010
O00339	8	30.29	57.07	0.0090
O00358	41	38.55	36.86	0.7213
O00400	18	21.19	29.32	0.0010
O00401	33	24.79	45.60	0.0010
O00409	19	17.27	39.64	0.0010
O00418	6	34.77	33.11	0.5764
O00444	11	13.38	35.11	0.0010
O00470	70	28.04	40.13	0.0010
O00472	10	20.64	38.47	0.0010
O00507	251	64.01	67.60	0.0010
O00562	114	29.50	45.72	0.0010
O00570	80	23.76	41.70	0.0010
O00592	11	12.55	51.18	0.0010
O00622	10	10.11	33.61	0.0010
O00712	40	16.89	30.36	0.0010
O00716	24	14.49	46.20	0.0010
O00763	11	54.27	64.75	0.0989
O14494	14	25.78	29.03	0.2597
O14495	19	14.65	28.05	0.0010
O14503	16	9.64	47.91	0.0010
O14511	15	41.66	44.95	0.2547
O14514	268	66.83	66.76	0.5105
O14524	5	6.68	46.51	0.0010
O14526	5	30.10	41.73	0.1279
O14529	82	41.89	57.79	0.0010
O14530	1	0.00	0.00	0.0010
O14544	14	14.26	29.14	0.0010
O14562	12	11.28	32.84	0.0010
O14569	4	14.15	17.98	0.1908
O14578	25	67.09	69.50	0.3427
O14594	96	19.08	41.05	0.0010
O14617	40	43.49	48.20	0.0180
O14627	6	15.97	39.04	0.0040
O14639	5	12.28	42.22	0.0010
O14640	6	17.57	32.37	0.0030
O14641	5	16.23	32.01	0.0100
O14662	5	28.08	37.64	0.1598
O14668	1	0.00	0.00	0.0010
O14669	1	0.00	0.00	0.0010
O14681	14	22.38	29.63	0.0300
O14683	27	31.69	33.23	0.3127
O14715	332	46.04	53.88	0.0010
O14735	3	5.01	16.42	0.0050
O14763	7	5.78	31.35	0.0010
O14770	71	27.18	43.84	0.0010
O14776	65	48.90	62.27	0.0010
O14777	8	27.56	88.35	0.0020
O14813	48	33.28	44.01	0.0010
O14827	32	49.32	51.87	0.1858
O14828	1	0.00	0.00	0.0010
O14880	5	17.78	18.50	0.4525
O14894	3	9.64	16.93	0.0999
O14924	5	10.51	35.03	0.0010
O14974	42	30.03	49.01	0.0010
O14975	4	15.14	24.95	0.0340
O14976	29	33.75	41.85	0.0020
O14977	9	18.34	27.43	0.0040
O15015	28	38.94	49.59	0.0030
O15016	3	40.24	37.49	0.6204
O15020	51	121.20	118.78	0.5934
O15034	27	40.84	48.20	0.0200
O15037	9	19.44	32.95	0.0030
O15040	10	42.07	41.22	0.5634
O15042	91	40.37	51.17	0.0010
O15049	6	5.34	44.07	0.0010
O15050	6	14.42	44.53	0.0010
O15054	219	27.49	40.72	0.0010
O15055	2	12.27	20.78	0.2128
O15056	18	14.25	41.20	0.0010
O15061	119	65.12	72.02	0.0130
O15062	6	17.28	27.91	0.0619
O15068	25	29.70	60.06	0.0010
O15079	6	8.31	54.47	0.0010
O15083	11	43.63	96.45	0.0020
O15085	30	34.70	44.40	0.0010
O15120	4	15.79	19.48	0.2368
O15121	13	8.11	24.10	0.0010
O15127	8	34.83	32.04	0.6513
O15151	41	25.33	32.89	0.0010
O15156	36	19.02	42.79	0.0010
O15162	2	8.22	11.78	0.2677
O15164	47	35.00	60.43	0.0010
O15169	6	38.60	39.91	0.3966
O15209	41	29.87	31.69	0.1908
O15212	10	18.93	29.26	0.0110
O15226	66	35.76	42.64	0.0010
O15228	1	0.00	0.00	0.0010
O15230	59	22.67	59.53	0.0010
O15234	11	26.30	56.27	0.0010
O15240	45	30.43	49.31	0.0010
O15243	10	21.96	19.64	0.8462
O15258	17	20.04	27.12	0.0040
O15260	43	20.88	24.92	0.0010
O15266	24	21.68	36.43	0.0010
O15304	14	8.78	33.70	0.0010
O15321	20	20.82	36.16	0.0010
O15327	3	4.82	28.03	0.0010
O15344	86	77.20	69.39	0.9960
O15353	10	7.39	46.88	0.0010
O15370	82	28.91	44.11	0.0010
O15374	3	4.88	18.30	0.0020
O15391	44	21.69	30.09	0.0010
O15405	2	6.43	26.50	0.0669
O15409	35	29.77	47.29	0.0010
O15522	15	33.84	39.79	0.1119
O15534	6	26.72	34.91	0.1099
O15552	1	0.00	0.00	0.0010
O43149	27	38.98	50.29	0.0020
O43150	58	47.53	63.85	0.0010
O43151	199	34.80	42.06	0.0010
O43156	3	4.90	40.85	0.0010
O43166	43	32.99	42.60	0.0010
O43167	4	15.85	31.79	0.0180
O43182	44	30.83	32.98	0.1289
O43186	1	0.00	0.00	0.0010
O43248	6	10.35	34.18	0.0010
O43264	9	55.84	58.87	0.3526
O43272	34	19.96	31.12	0.0010
O43290	37	35.63	54.84	0.0010
O43292	17	21.12	32.83	0.0010
O43294	25	32.94	54.81	0.0010
O43298	39	27.29	30.19	0.0569
O43301	12	17.36	32.27	0.0010
O43312	9	20.63	45.27	0.0010
O43314	63	28.19	41.86	0.0010
O43364	12	22.50	46.11	0.0010
O43365	32	26.33	50.24	0.0010
O43374	473	38.84	39.25	0.1339
O43399	2	2.70	22.12	0.0030
O43422	24	20.93	39.03	0.0010
O43427	29	12.43	32.29	0.0010
O43432	46	37.62	48.26	0.0010
O43439	23	24.47	44.73	0.0010
O43462	33	37.10	39.46	0.1618
O43505	73	32.28	30.98	0.7832
O43559	8	6.36	32.29	0.0010
O43566	26	22.35	36.68	0.0010
O43567	2	9.04	25.70	0.2098
O43572	4	6.43	30.23	0.0010
O43586	21	33.38	59.92	0.0010
O43597	6	18.16	28.22	0.0320
O43612	39	31.51	34.77	0.1159
O43638	1	0.00	0.00	0.0010
O43657	9	26.19	28.93	0.2498
O43670	16	17.86	48.28	0.0010
O43683	4	13.03	29.60	0.0060
O43688	16	20.03	26.92	0.0090
O43711	63	24.66	46.12	0.0010
O43716	8	16.37	27.32	0.0050
O43719	48	40.34	46.01	0.0110
O43734	7	12.01	26.28	0.0020
O43736	5	23.04	27.56	0.3237
O43759	21	11.35	28.19	0.0010
O43760	29	15.37	32.06	0.0010
O43761	100	23.31	29.01	0.0010
O43763	45	24.13	42.73	0.0010
O43790	28	41.17	83.94	0.0010
O43805	9	6.56	52.89	0.0010
O43808	2	12.07	13.78	0.3816
O43822	11	8.99	24.61	0.0010
O43823	2	4.88	19.26	0.0340
O43829	3	12.47	23.46	0.0529
O43909	25	18.09	44.93	0.0010
O43914	2	2.69	21.26	0.0120
O43915	7	6.65	36.87	0.0010
O43916	96	22.05	29.27	0.0010
O43918	13	9.06	35.11	0.0010
O43934	2	17.94	14.23	0.7393
O60216	45	23.90	51.77	0.0010
O60220	10	21.63	27.66	0.0779
O60229	66	131.54	140.51	0.0559
O60232	9	19.10	26.38	0.0220
O60237	26	27.22	48.63	0.0010
O60238	1	0.00	0.00	0.0010
O60241	124	49.78	53.51	0.0060
O60242	9	35.29	54.25	0.0060
O60268	1	0.00	0.00	0.0010
O60271	54	45.58	54.60	0.0160
O60279	11	7.66	34.70	0.0010
O60284	8	11.39	44.88	0.0010
O60287	11	52.60	60.32	0.0639
O60290	4	4.60	33.55	0.0010
O60291	7	18.18	25.59	0.0200
O60292	23	33.36	41.15	0.0210
O60293	8	52.69	54.23	0.4006
O60294	13	23.27	33.62	0.0010
O60296	6	5.29	90.77	0.0010
O60299	71	57.13	81.94	0.0010
O60303	3	16.88	35.43	0.0410
O60307	123	30.56	40.67	0.0010
O60318	36	28.43	59.82	0.0010
O60320	63	35.21	46.37	0.0010
O60336	64	24.31	39.71	0.0010
O60337	58	43.61	46.22	0.0609
O60343	17	30.44	51.59	0.0010
O60346	38	14.97	43.79	0.0010
O60381	11	24.92	31.87	0.0400
O60403	1	0.00	0.00	0.0010
O60422	82	25.88	36.37	0.0010
O60477	9	41.59	58.17	0.0270
O60478	1	0.00	0.00	0.0010
O60479	29	14.26	45.46	0.0010
O60500	35	35.52	72.14	0.0010
O60519	19	11.69	36.85	0.0010
O60522	23	13.52	51.07	0.0010
O60524	16	29.22	49.22	0.0010
O60548	32	23.55	43.49	0.0010
O60566	1	0.00	0.00	0.0010
O60641	16	21.20	30.01	0.0090
O60645	39	68.98	67.55	0.6304
O60663	55	35.63	41.11	0.0100
O60667	16	14.65	48.10	0.0010
O60682	14	11.69	37.87	0.0010
O60683	26	13.54	35.07	0.0010
O60688	27	13.01	17.92	0.0010
O60711	1	0.00	0.00	0.0010
O60721	1	0.00	0.00	0.0010
O60784	19	11.13	31.84	0.0010
O60826	59	38.82	63.53	0.0010
O60828	43	38.48	43.20	0.0200
O60830	44	18.41	25.56	0.0010
O60831	96	21.31	21.84	0.1129
O60858	1	0.00	0.00	0.0010
O60890	79	48.50	57.25	0.0030
O60902	32	41.32	44.68	0.2248
O60906	1	0.00	0.00	0.0010
O60925	10	7.69	27.70	0.0010
O60927	1	0.00	0.00	0.0010
O60934	1	0.00	0.00	0.0010
O75030	18	29.94	49.70	0.0010
O75037	60	41.87	60.33	0.0010
O75052	28	15.83	38.16	0.0010
O75054	4	108.59	98.09	0.5974
O75056	26	27.92	53.90	0.0010
O75064	49	40.14	54.02	0.0010
O75069	13	27.81	52.54	0.0010
O75074	9	31.09	47.76	0.0460
O75081	16	22.35	45.51	0.0010
O75093	51	42.27	56.87	0.0010
O75094	37	42.51	60.72	0.0010
O75095	12	52.70	67.09	0.0310
O75096	50	45.84	58.98	0.0010
O75112	1	0.00	0.00	0.0010
O75113	45	26.44	41.05	0.0010
O75116	70	56.38	78.73	0.0010
O75121	9	8.49	40.07	0.0010
O75122	53	38.91	48.58	0.0010
O75132	33	31.03	44.90	0.0010
O75145	297	51.90	60.46	0.0010
O75146	15	18.67	63.71	0.0010
O75147	154	49.32	73.40	0.0010
O75150	52	95.96	125.20	0.0060
O75152	7	17.75	46.18	0.0010
O75153	62	43.41	43.78	0.4206
O75154	17	55.80	82.05	0.0070
O75159	9	13.17	29.71	0.0010
O75161	8	30.39	46.60	0.0090
O75164	45	35.73	41.49	0.0010
O75165	22	42.96	82.08	0.0010
O75167	5	19.76	51.14	0.0020
O75170	10	16.96	35.48	0.0010
O75175	148	44.55	44.88	0.3676
O75182	85	41.32	55.13	0.0010
O75200	35	24.53	41.60	0.0010
O75204	1	0.00	0.00	0.0010
O75298	1	0.00	0.00	0.0010
O75323	2	11.94	12.52	0.4785
O75334	94	28.55	58.51	0.0010
O75335	15	38.11	55.65	0.0070
O75364	47	15.22	45.03	0.0010
O75369	73	52.21	72.49	0.0010
O75381	4	57.72	53.77	0.6044
O75385	108	21.48	38.62	0.0010
O75387	4	22.30	22.21	0.5165
O75398	35	22.02	39.88	0.0010
O75410	12	10.52	88.38	0.0010
O75417	3	38.00	34.07	0.6394
O75426	10	13.32	30.47	0.0010
O75444	37	31.32	45.40	0.0010
O75474	37	32.57	42.83	0.0020
O75475	14	18.47	39.95	0.0010
O75477	9	12.89	66.32	0.0010
O75494	73	15.72	42.74	0.0010
O75509	1	0.00	0.00	0.0010
O75526	15	28.95	46.12	0.0120
O75528	11	24.23	48.33	0.0010
O75534	48	60.09	58.94	0.6294
O75541	22	18.56	34.31	0.0010
O75553	7	8.55	38.00	0.0010
O75593	1	0.00	0.00	0.0010
O75602	4	5.56	31.73	0.0010
O75603	2	14.38	13.16	0.6643
O75610	17	14.98	35.33	0.0010
O75618	45	25.95	35.13	0.0010
O75626	36	27.00	37.21	0.0010
O75665	8	15.91	146.42	0.0010
O75674	1	0.00	0.00	0.0010
O75718	22	20.27	31.32	0.0010
O75751	38	28.77	33.79	0.0130
O75781	16	14.94	37.86	0.0010
O75783	39	15.50	29.72	0.0010
O75800	1	0.00	0.00	0.0010
O75821	40	25.75	42.56	0.0010
O75829	7	5.72	32.97	0.0010
O75840	25	21.49	29.02	0.0020
O75864	58	35.66	36.21	0.4246
O75882	62	34.05	52.05	0.0010
O75886	1	0.00	0.00	0.0010
O75896	12	13.44	28.08	0.0010
O75901	1	0.00	0.00	0.0010
O75912	56	25.63	43.04	0.0010
O75915	2	5.85	14.70	0.1069
O75920	15	9.54	29.33	0.0010
O75923	7	62.49	54.34	0.8162
O75940	11	9.51	37.82	0.0010
O75943	1	0.00	0.00	0.0010
O75955	25	107.92	115.44	0.1548
O75962	101	140.35	147.87	0.0539
O75976	88	25.03	50.36	0.0010
O75995	22	25.58	45.99	0.0010
O76024	1	0.00	0.00	0.0010
O76041	8	7.07	57.52	0.0010
O76050	117	23.35	30.47	0.0010
O76061	5	6.52	21.67	0.0010
O76064	31	27.39	64.41	0.0010
O76076	5	5.40	31.29	0.0010
O76080	12	19.07	44.36	0.0010
O76082	8	20.78	30.62	0.0110
O94763	7	35.93	44.43	0.1009
O94772	1	0.00	0.00	0.0010
O94804	35	38.17	62.45	0.0010
O94812	1	0.00	0.00	0.0010
O94813	20	43.59	57.54	0.0040
O94818	75	31.11	40.23	0.0010
O94822	20	38.61	62.09	0.0010
O94830	1	0.00	0.00	0.0010
O94842	8	6.85	43.54	0.0010
O94844	10	26.49	44.12	0.0030
O94864	1	0.00	0.00	0.0010
O94868	14	82.71	68.74	0.9481
O94874	9	9.89	77.42	0.0010
O94875	1	0.00	0.00	0.0010
O94876	9	6.58	51.51	0.0010
O94880	20	51.04	52.50	0.3886
O94885	3	21.21	32.49	0.1159
O94886	6	6.27	32.37	0.0010
O94888	35	26.40	40.61	0.0010
O94900	11	7.38	46.55	0.0010
O94905	12	42.68	67.94	0.0410
O94907	1	0.00	0.00	0.0010
O94915	18	39.28	58.73	0.0010
O94919	24	11.39	52.26	0.0010
O94927	6	54.22	67.15	0.1688
O94929	3	42.43	30.94	0.8651
O94933	12	22.45	35.42	0.0010
O94941	3	26.46	24.42	0.6124
O94952	61	33.95	38.75	0.0020
O94955	11	24.94	34.58	0.0100
O94966	41	33.03	47.05	0.0010
O94972	7	38.18	52.38	0.0679
O94983	50	43.72	52.17	0.0030
O94985	4	65.72	49.42	0.8122
O94991	10	34.43	36.81	0.3307
O94992	54	38.76	46.46	0.0010
O95013	67	21.72	27.39	0.0010
O95047	9	16.47	24.09	0.0080
O95071	45	38.94	45.39	0.0090
O95081	49	23.68	36.61	0.0010
O95096	32	15.01	41.42	0.0010
O95104	55	21.25	42.05	0.0010
O95153	22	59.71	62.28	0.3946
O95159	2	2.92	20.27	0.0110
O95170	2	3.83	25.09	0.0140
O95196	25	31.31	48.58	0.0010
O95202	9	22.85	36.80	0.0010
O95208	1	0.00	0.00	0.0010
O95214	3	4.33	14.63	0.0050
O95218	17	34.90	45.61	0.0470
O95219	7	24.20	34.34	0.0739
O95232	66	27.24	53.29	0.0010
O95238	5	5.24	22.80	0.0010
O95239	130	45.27	77.87	0.0010
O95258	91	18.10	26.17	0.0010
O95260	11	17.51	28.37	0.0010
O95294	49	31.85	38.84	0.0010
O95295	21	53.54	64.93	0.0400
O95365	148	31.19	34.69	0.0010
O95382	94	35.96	54.81	0.0010
O95388	1	0.00	0.00	0.0010
O95402	39	13.10	43.17	0.0010
O95409	86	29.09	31.70	0.0090
O95415	6	16.30	27.92	0.0400
O95424	6	5.23	33.51	0.0010
O95425	6	15.93	44.88	0.0010
O95427	4	25.19	31.63	0.1788
O95428	7	39.38	46.43	0.1598
O95456	2	14.83	12.98	0.6603
O95503	60	36.47	51.69	0.0010
O95562	3	13.33	15.14	0.3546
O95625	54	32.99	47.78	0.0010
O95628	46	42.01	44.24	0.2168
O95644	18	15.32	35.00	0.0010
O95661	8	12.62	17.86	0.0040
O95674	29	18.60	31.88	0.0010
O95684	1	0.00	0.00	0.0010
O95696	63	36.45	65.40	0.0010
O95704	1	0.00	0.00	0.0010
O95751	61	29.10	36.37	0.0020
O95759	19	22.36	44.33	0.0010
O95772	3	7.39	20.01	0.0340
O95789	5	24.83	40.62	0.0130
O95793	8	39.52	41.44	0.3357
O95810	4	4.76	44.74	0.0010
O95817	2	3.98	25.75	0.0220
O95819	118	37.12	56.39	0.0010
O95857	2	26.83	14.85	0.9131
O95858	22	33.88	32.96	0.6264
O95859	6	20.32	29.40	0.0589
O95864	78	21.16	29.48	0.0010
O95870	40	23.72	33.31	0.0010
O95876	1	0.00	0.00	0.0010
O95905	1	0.00	0.00	0.0010
O95918	1	0.00	0.00	0.0010
O95931	31	16.66	46.89	0.0010
O95935	13	14.60	30.67	0.0010
O95948	11	20.98	33.27	0.0150
O95983	6	21.07	32.51	0.0300
O95992	2	12.38	12.48	0.5155
O96004	3	17.86	26.13	0.1878
O96005	47	34.67	39.85	0.0030
O96006	10	16.92	35.27	0.0010
P00441	2	1.91	9.66	0.0020
P00746	3	21.00	16.94	0.8182
P01100	7	5.75	44.46	0.0010
P01106	21	23.15	48.88	0.0010
P01135	5	25.59	27.52	0.3477
P01160	1	0.00	0.00	0.0010
P01189	5	5.94	32.72	0.0010
P01579	4	14.95	25.34	0.0959
P01833	5	24.12	35.36	0.0669
P02452	11	33.60	50.59	0.0210
P02489	2	3.87	14.48	0.0430
P02538	1	0.00	0.00	0.0010
P02751	23	51.11	64.32	0.0010
P02810	1	0.00	0.00	0.0010
P03971	61	22.05	41.27	0.0010
P04150	39	27.16	32.08	0.0080
P04198	37	33.46	54.62	0.0010
P04216	1	0.00	0.00	0.0010
P04217	32	24.42	35.68	0.0010
P04553	1	0.00	0.00	0.0010
P04808	4	4.57	18.80	0.0020
