uniprot_id	n_sites	mean_d	permuted_d	p_value
O15296	1	0.00	0.00	0.0010
O15342	1	0.00	0.00	0.0010
O15347	6	11.10	16.53	0.0160
O15357	9	19.43	26.72	0.0130
O15360	1	0.00	0.00	0.0010
O15371	37	17.51	53.42	0.0010
O15372	7	10.74	27.65	0.0010
O15379	111	21.31	25.48	0.0010
O15382	4	11.55	20.93	0.0190
O15389	1	0.00	0.00	0.0010
O15394	11	45.49	48.67	0.2877
O15484	2	19.39	14.24	0.7982
O15488	2	10.36	11.57	0.3996
O15496	34	16.56	18.17	0.0200
O15498	6	6.42	18.18	0.0010
O15511	8	24.31	20.17	0.8601
O15514	5	14.10	17.27	0.1978
O15519	2	6.01	10.86	0.1439
O15520	4	10.66	13.74	0.1269
O15527	3	6.82	17.23	0.0090
O15530	173	21.86	25.40	0.0010
O15533	8	23.01	31.76	0.0619
O15537	32	16.25	20.01	0.0020
O15541	51	54.91	52.14	0.9011
O15550	46	19.68	30.99	0.0010
O43143	263	28.91	34.68	0.0010
O43148	2	9.36	12.98	0.2707
O43172	19	30.86	34.16	0.2408
O43189	10	16.02	26.58	0.0010
O43237	1	0.00	0.00	0.0010
O43240	6	12.17	17.31	0.0180
O43242	39	46.49	40.42	0.9780
O43252	12	22.91	33.37	0.0030
O43255	26	16.85	22.66	0.0010
O43278	2	13.37	14.01	0.4535
O43293	23	14.81	24.12	0.0010
O43300	10	9.71	27.99	0.0010
O43318	43	19.71	25.11	0.0010
O43353	37	21.15	24.92	0.0010
O43395	18	30.58	36.90	0.0599
O43396	4	5.03	15.74	0.0010
O43402	9	13.05	18.20	0.0040
O43414	30	15.50	21.80	0.0010
O43424	1	0.00	0.00	0.0010
O43435	31	17.25	22.23	0.0010
O43447	14	9.94	18.43	0.0010
O43451	3	19.83	24.98	0.2198
O43464	48	20.62	24.82	0.0010
O43488	9	9.18	22.78	0.0010
O43497	299	35.53	43.94	0.0010
O43508	6	12.21	15.95	0.0599
O43513	4	5.81	31.09	0.0010
O43526	192	39.55	43.06	0.0010
O43570	3	4.21	15.66	0.0040
O43583	1	0.00	0.00	0.0010
O43598	31	14.89	18.29	0.0010
O43614	5	16.71	32.71	0.0190
O43660	25	16.65	24.05	0.0010
O43665	3	5.17	16.30	0.0060
O43674	6	5.43	40.38	0.0010
O43677	2	2.68	12.90	0.0420
O43678	5	4.46	12.46	0.0010
O43681	28	17.51	27.79	0.0010
O43709	3	7.24	13.95	0.0310
O43715	5	6.92	16.02	0.0030
O43739	55	20.39	19.88	0.7792
O43741	2	30.18	19.97	0.7932
O43745	2	12.74	11.72	0.6034
O43765	24	12.58	18.85	0.0010
O43776	7	11.80	29.38	0.0010
O43791	81	27.94	36.39	0.0010
O43809	72	18.58	23.94	0.0010
O43824	198	24.59	34.61	0.0010
O43837	2	2.23	13.01	0.0020
O43865	92	27.39	30.75	0.0010
O43921	39	16.72	19.85	0.0020
O43924	11	9.78	18.81	0.0010
O43929	1	0.00	0.00	0.0010
O60231	43	22.30	32.46	0.0010
O60239	12	36.50	38.22	0.3357
O60244	167	102.83	98.78	0.8292
O60256	19	18.91	24.56	0.0030
O60264	107	26.05	30.92	0.0010
O60306	111	29.36	47.19	0.0010
O60313	9	16.93	23.26	0.0070
O60341	119	28.09	44.55	0.0010
O60449	1	0.00	0.00	0.0010
O60462	11	28.13	31.17	0.1818
O60486	169	25.44	40.53	0.0010
O60493	21	25.68	25.02	0.5754
O60499	3	9.56	13.64	0.2088
O60502	46	24.00	34.75	0.0010
O60507	3	5.24	16.69	0.0010
O60508	3	16.00	34.88	0.1419
O60547	12	18.50	24.89	0.0060
O60551	5	9.96	22.73	0.0030
O60563	30	17.39	24.52	0.0010
O60565	17	10.89	27.02	0.0010
O60568	5	4.98	35.18	0.0010
O60573	30	15.32	20.97	0.0010
O60583	54	18.92	24.66	0.0010
O60609	29	16.49	21.12	0.0010
O60674	2	4.86	16.32	0.0340
O60684	53	27.96	35.17	0.0010
O60701	17	17.02	29.25	0.0010
O60704	6	11.22	21.47	0.0020
O60716	6	20.72	28.74	0.0679
O60729	8	21.47	24.09	0.2118
O60741	121	45.47	48.46	0.0050
O60763	11	23.13	34.96	0.0080
O60814	19	12.74	20.18	0.0010
O60825	34	21.86	31.24	0.0010
O60832	136	26.88	33.24	0.0010
O60869	2	24.78	12.55	0.9391
O60880	31	13.27	16.82	0.0010
O60888	5	5.62	15.68	0.0010
O60930	7	5.92	17.46	0.0010
O60936	10	8.73	14.86	0.0010
O60939	1	0.00	0.00	0.0010
O60942	7	10.72	23.93	0.0010
O75129	2	25.59	20.47	0.7283
O75140	37	27.23	41.22	0.0010
O75143	12	10.25	20.24	0.0010
O75144	13	10.43	27.69	0.0010
O75151	68	22.71	27.33	0.0010
O75173	1	0.00	0.00	0.0010
O75190	5	5.21	25.10	0.0010
O75223	4	4.87	15.17	0.0010
O75251	16	14.53	20.76	0.0010
O75306	19	20.49	35.43	0.0010
O75311	1	0.00	0.00	0.0010
O75317	43	23.64	27.00	0.0090
O75319	2	2.57	10.52	0.0120
O75326	11	33.03	33.30	0.4745
O75340	2	2.70	11.74	0.0120
O75347	4	4.43	17.94	0.0010
O75348	11	25.46	52.67	0.0010
O75351	16	17.95	30.15	0.0010
O75365	2	1.98	12.15	0.0010
O75367	13	12.91	18.85	0.0010
O75368	16	9.26	19.88	0.0010
O75380	1	0.00	0.00	0.0010
O75390	74	22.30	29.10	0.0010
O75391	3	4.01	13.18	0.0050
O75436	1	0.00	0.00	0.0010
O75448	53	34.36	47.96	0.0010
O75449	13	10.98	26.62	0.0010
O75460	19	29.28	30.69	0.2777
O75473	9	8.02	35.89	0.0010
O75525	12	23.84	22.99	0.6104
O75530	77	20.81	26.02	0.0010
O75531	12	11.39	14.25	0.0050
O75533	343	44.07	49.77	0.0010
O75581	41	15.92	36.67	0.0010
O75586	2	3.65	20.31	0.0410
O75604	5	14.16	22.18	0.0220
O75608	8	14.95	18.80	0.0360
O75628	11	16.89	18.09	0.2627
O75629	32	20.15	20.84	0.2468
O75643	216	59.69	58.68	0.7912
O75663	14	18.52	23.26	0.0120
O75688	24	10.94	22.79	0.0010
O75689	52	21.82	31.47	0.0010
O75695	14	8.76	24.53	0.0010
O75715	2	2.85	10.30	0.0230
O75746	4	18.95	21.54	0.2737
O75762	1	0.00	0.00	0.0010
O75792	6	7.41	23.57	0.0010
O75815	2	2.70	12.28	0.0090
O75817	4	8.74	18.13	0.0150
O75818	2	3.55	14.70	0.0170
O75822	1	0.00	0.00	0.0010
O75828	14	14.88	22.00	0.0010
O75832	10	15.85	23.79	0.0100
O75844	2	3.14	16.36	0.0160
O75874	3	3.68	20.11	0.0010
O75884	1	0.00	0.00	0.0010
O75888	6	6.03	22.57	0.0010
O75891	3	4.05	18.76	0.0030
O75897	1	0.00	0.00	0.0010
O75899	145	55.93	57.61	0.1359
O75909	72	18.64	24.31	0.0010
O75914	99	19.47	24.86	0.0010
O75928	14	18.73	27.50	0.0010
O75934	8	22.19	47.80	0.0010
O75936	1	0.00	0.00	0.0010
O75956	24	18.74	18.50	0.5744
O76003	4	7.75	13.77	0.0130
O76071	24	13.24	23.65	0.0010
O76083	1	0.00	0.00	0.0010
O76093	71	15.94	17.20	0.0020
O76095	2	9.15	8.64	0.5914
O94759	7	21.50	51.31	0.0010
O94760	58	17.19	22.52	0.0010
O94762	1	0.00	0.00	0.0010
O94766	9	13.03	21.63	0.0010
O94768	9	13.64	24.23	0.0010
O94782	8	6.02	25.53	0.0010
O94788	10	18.63	27.60	0.0050
O94826	12	37.07	33.82	0.8012
O94829	61	38.39	49.19	0.0010
O94855	1	0.00	0.00	0.0010
O94906	145	65.16	62.46	0.9311
O94923	6	14.79	28.94	0.0020
O94925	81	29.36	35.86	0.0010
O95057	51	16.62	19.78	0.0010
O95069	7	8.02	27.40	0.0010
O95140	20	13.86	35.92	0.0010
O95149	1	0.00	0.00	0.0010
O95150	3	4.04	15.26	0.0020
O95154	3	5.20	17.21	0.0010
O95164	3	4.06	14.09	0.0030
O95166	26	14.33	19.21	0.0010
O95167	1	0.00	0.00	0.0010
O95168	3	3.88	25.59	0.0010
O95182	5	4.84	32.37	0.0010
O95198	70	16.21	22.41	0.0010
O95251	83	21.08	26.23	0.0010
O95257	75	16.51	19.23	0.0010
O95267	24	26.30	35.32	0.0010
O95271	9	37.75	36.55	0.5774
O95273	1	0.00	0.00	0.0010
O95274	3	4.10	15.34	0.0010
O95292	5	11.37	16.47	0.0669
O95297	2	6.54	9.39	0.2547
O95298	7	25.76	26.63	0.4156
O95319	41	28.72	29.23	0.3037
O95363	3	5.54	20.05	0.0010
O95372	20	12.16	20.39	0.0010
O95391	2	19.03	24.26	0.3536
O95405	5	29.27	25.97	0.7672
O95433	2	8.92	24.66	0.1938
O95453	1	0.00	0.00	0.0010
O95470	9	21.80	26.75	0.0619
O95477	22	44.59	69.25	0.0010
O95487	18	25.75	33.26	0.0020
O95544	17	9.73	26.81	0.0010
O95551	1	0.00	0.00	0.0010
O95571	20	12.93	21.09	0.0010
O95619	21	14.81	21.07	0.0010
O95630	2	2.91	10.50	0.0240
O95631	135	34.59	43.50	0.0010
O95633	88	22.95	34.54	0.0010
O95639	38	19.42	24.98	0.0010
O95715	6	5.38	13.98	0.0010
O95747	21	15.72	24.96	0.0010
O95749	2	2.75	12.51	0.0100
O95750	45	15.98	18.22	0.0020
O95777	8	9.50	15.70	0.0010
O95786	5	20.85	29.68	0.0470
O95822	45	18.69	34.15	0.0010
O95831	137	23.83	29.65	0.0010
O95833	42	18.34	23.31	0.0010
O95838	1	0.00	0.00	0.0010
O95861	3	8.01	16.12	0.0280
O95863	8	12.51	18.46	0.0060
O95970	12	18.46	23.43	0.0080
O95985	16	18.77	36.94	0.0010
O95989	26	13.27	17.79	0.0010
O96008	13	13.15	26.14	0.0010
O96013	6	7.83	21.12	0.0010
O96019	30	20.47	26.41	0.0010
P00338	2	3.58	13.94	0.0240
P00352	9	9.41	27.34	0.0010
P00367	64	25.79	31.56	0.0010
P00374	1	0.00	nan	0.0010
P00390	19	15.56	29.72	0.0010
P00451	148	40.41	45.91	0.0010
P00480	31	20.63	24.36	0.0050
P00492	63	16.92	22.21	0.0010
P00505	8	14.61	24.60	0.0020
P00519	69	25.44	31.32	0.0010
P00533	29	28.21	42.32	0.0010
P00558	19	13.78	28.16	0.0010
P00568	2	2.89	10.54	0.0230
P00709	2	3.04	9.02	0.0440
P00734	26	30.07	33.18	0.0879
P00740	50	16.39	21.07	0.0010
P00742	8	7.55	18.92	0.0010
P00747	7	29.43	33.99	0.1718
P00748	42	13.90	21.31	0.0010
P00750	10	9.98	20.31	0.0010
P00751	9	26.55	33.50	0.0320
P00797	5	15.26	21.22	0.0559
P00813	1	0.00	0.00	0.0010
P00918	1	0.00	0.00	0.0010
P00966	2	5.42	16.03	0.0619
P01008	2	5.75	14.53	0.0729
P01023	9	39.14	45.99	0.0859
P01024	15	28.00	35.58	0.0080
P01031	4	34.73	41.60	0.2517
P01033	11	12.02	20.25	0.0010
P01034	13	8.40	18.04	0.0010
P01111	7	10.41	17.28	0.0020
P01112	37	13.34	18.76	0.0010
P01116	31	13.78	22.35	0.0010
P01127	13	13.59	22.50	0.0020
P01138	2	5.51	12.17	0.1389
P01236	2	2.85	12.01	0.0160
P01266	5	51.06	59.28	0.2577
P01303	5	10.98	14.98	0.1249
P01308	11	8.20	18.56	0.0010
P01344	24	13.58	15.22	0.0420
P01374	16	12.59	20.26	0.0010
P01375	13	13.15	20.81	0.0010
P01583	1	0.00	0.00	0.0010
P01584	2	8.34	9.83	0.3516
P01589	3	3.46	18.39	0.0010
P01730	3	40.18	28.84	0.8521
P01732	5	13.24	14.68	0.2737
P01889	8	7.08	26.87	0.0010
P01903	5	17.25	19.69	0.2557
P01911	7	22.57	26.82	0.1489
P02008	68	17.59	19.07	0.0020
P02585	5	6.99	16.84	0.0010
P02647	8	18.36	62.59	0.0010
P02649	26	21.92	25.00	0.0260
P02675	13	8.96	59.70	0.0010
P02679	17	11.00	68.50	0.0010
P02689	1	0.00	0.00	0.0010
P02708	2	4.10	13.18	0.0490
P02730	21	27.31	28.85	0.2168
P02745	12	12.80	23.59	0.0010
P02753	10	8.84	19.27	0.0010
P02760	3	3.82	13.83	0.0010
P02774	1	0.00	0.00	0.0010
P02786	1	0.00	0.00	0.0010
P02787	5	18.50	29.33	0.0240
P02792	7	6.75	20.31	0.0010
P02794	15	14.24	21.93	0.0010
P03372	19	11.50	23.22	0.0010
P04035	50	25.72	32.91	0.0010
P04040	5	4.85	26.78	0.0010
P04049	44	16.08	24.16	0.0010
P04062	6	10.21	24.59	0.0010
P04070	1	0.00	0.00	0.0010
P04075	2	10.69	12.87	0.3546
P04080	7	5.56	21.21	0.0010
P04085	12	9.70	26.75	0.0010
P04141	1	0.00	0.00	0.0010
P04179	1	0.00	0.00	0.0010
P04180	1	0.00	0.00	0.0010
P04181	2	8.68	13.90	0.2158
P04183	11	13.17	19.03	0.0030
P04234	1	0.00	0.00	0.0010
P04406	26	16.63	25.16	0.0010
P04424	10	24.74	35.03	0.0180
P04439	5	12.12	24.09	0.0040
P04440	1	0.00	0.00	0.0010
P04626	17	26.26	40.78	0.0020
P04629	2	3.64	19.72	0.0150
P04632	10	10.60	20.80	0.0010
P04637	3	11.10	29.35	0.0460
P04746	96	21.96	29.74	0.0010
P04792	19	17.09	26.53	0.0010
P04818	64	18.55	24.20	0.0010
P04843	1	0.00	0.00	0.0010
P04844	1	0.00	0.00	0.0010
P04899	48	24.48	25.06	0.3287
P04908	19	19.75	41.05	0.0010
P05019	18	9.54	15.73	0.0010
P05091	6	12.32	25.74	0.0010
P05093	4	10.38	22.63	0.0050
P05108	5	12.56	23.61	0.0060
P05155	1	0.00	0.00	0.0010
P05156	1	0.00	0.00	0.0010
P05162	1	0.00	0.00	0.0010
P05164	12	21.64	28.23	0.0030
P05181	2	2.30	14.71	0.0020
P05187	23	17.48	28.29	0.0010
P05198	25	22.42	35.29	0.0010
P05231	2	2.74	10.85	0.0160
P05387	2	2.55	18.75	0.0130
P05388	14	30.07	38.78	0.0360
P05413	1	0.00	0.00	0.0010
P05451	1	0.00	0.00	0.0010
P05452	7	13.55	19.54	0.0440
P05455	3	8.20	15.89	0.0330
P05556	29	38.57	40.93	0.2238
P05771	39	16.82	26.52	0.0010
P05937	3	20.29	17.70	0.6943
P05981	44	18.31	27.14	0.0010
P06132	9	13.78	22.92	0.0010
P06213	68	52.23	58.53	0.0200
P06239	57	19.81	24.68	0.0010
P06241	68	19.82	24.05	0.0010
P06280	73	21.56	27.83	0.0010
P06396	2	9.06	18.41	0.1279
P06400	20	27.55	34.44	0.0050
P06493	34	18.15	26.10	0.0010
P06730	51	15.77	25.77	0.0010
P06732	1	0.00	0.00	0.0010
P06733	3	3.96	18.20	0.0010
P06737	6	18.81	30.34	0.0080
P06744	13	26.92	31.32	0.1019
P06746	2	2.10	14.62	0.0010
P06748	14	10.21	17.32	0.0010
P06756	9	42.84	45.81	0.3197
P06865	3	9.71	21.03	0.0190
P07093	2	9.12	14.14	0.2448
P07098	1	0.00	0.00	0.0010
P07101	38	16.76	26.07	0.0010
P07237	8	16.31	34.81	0.0010
P07305	12	10.59	19.96	0.0010
P07306	4	8.95	13.90	0.0340
P07320	8	10.56	18.63	0.0020
P07332	18	25.64	30.21	0.0450
P07333	4	4.86	33.61	0.0010
P07355	1	0.00	0.00	0.0010
P07360	19	15.85	19.59	0.0020
P07384	5	7.88	21.53	0.0010
P07437	332	26.32	28.07	0.0010
P07451	2	3.32	11.36	0.0220
P07550	18	18.88	27.72	0.0020
P07737	55	15.00	18.05	0.0010
P07741	6	7.14	17.51	0.0010
P07900	15	34.62	32.52	0.7413
P07902	14	20.07	25.80	0.0060
P07910	50	16.02	17.67	0.0060
P07911	3	20.77	38.01	0.1868
P07948	52	17.64	24.11	0.0010
P07949	32	26.02	50.00	0.0010
P07954	6	13.77	31.67	0.0040
P08100	5	13.72	40.69	0.0010
P08133	2	2.85	18.69	0.0120
P08134	18	14.41	19.65	0.0010
P08172	23	12.00	32.78	0.0010
P08173	53	19.75	35.47	0.0010
P08174	4	17.48	37.05	0.0460
P08183	11	36.56	45.71	0.0370
P08195	3	14.56	21.75	0.1399
P08236	17	24.86	31.09	0.0100
P08238	17	24.67	43.50	0.0010
P08240	3	3.43	18.35	0.0010
P08243	3	18.09	19.94	0.3696
P08246	20	12.19	19.89	0.0010
P08294	81	16.58	19.98	0.0010
P08311	4	4.35	16.19	0.0010
P08476	25	25.86	35.88	0.0010
P08514	46	23.77	47.09	0.0010
P08559	142	20.84	27.36	0.0010
P08571	2	19.15	14.43	0.7532
P08574	1	0.00	0.00	0.0010
P08575	4	9.58	26.91	0.0020
P08579	10	36.66	45.75	0.0819
P08581	3	46.84	30.24	0.9351
P08582	1	0.00	0.00	0.0010
P08620	32	11.89	16.96	0.0010
P08621	56	37.60	48.53	0.0030
P08648	15	28.24	36.85	0.0320
P08754	13	18.38	25.48	0.0040
P08865	0	nan	nan	0.0010
P08887	2	2.24	18.80	0.0020
P08908	29	18.68	26.71	0.0010
P08912	1	0.00	0.00	0.0010
P08913	87	30.87	34.90	0.0040
P09001	2	4.67	15.63	0.0410
P09012	10	9.04	17.35	0.0010
P09104	25	17.14	26.39	0.0010
P09110	15	24.77	24.35	0.5774
P09132	3	5.33	12.50	0.0160
P09234	12	9.90	15.62	0.0010
P09417	6	5.66	18.68	0.0010
P09429	54	29.62	32.47	0.0150
P09467	23	21.32	25.06	0.0170
P09471	48	22.35	26.70	0.0060
P09486	3	16.07	17.42	0.4176
P09488	7	13.96	19.84	0.0120
P09493	34	74.15	121.38	0.0010
P09543	7	11.02	19.12	0.0010
P09622	2	5.71	15.68	0.0629
P09651	39	22.44	24.01	0.1029
P09661	21	15.53	20.75	0.0010
P09669	3	3.72	24.39	0.0010
P09871	1	0.00	0.00	0.0010
P09874	9	16.49	24.23	0.0020
P09884	103	38.54	48.39	0.0010
P09917	29	28.87	34.60	0.0040
P09936	13	11.46	20.05	0.0010
P09958	98	17.95	28.04	0.0010
P09960	9	28.76	28.80	0.4875
P09972	1	0.00	0.00	0.0010
P0C025	3	4.31	15.77	0.0010
P0C0L4	430	36.81	39.01	0.0010
P0C0L5	412	37.03	39.42	0.0010
P0C0S5	70	19.73	24.17	0.0010
P0C0S8	15	19.21	24.94	0.0310
P0C5Z0	65	20.41	20.74	0.1758
P0C6T2	5	5.37	15.36	0.0010
P0CG30	84	18.00	23.09	0.0010
P0CG47	24	14.73	24.54	0.0010
P0CG48	82	23.47	36.43	0.0010
P0DJD7	200	22.67	25.85	0.0010
P0DMM9	158	21.64	24.02	0.0010
P0DMV8	221	26.46	28.51	0.0010
P0DN86	22	15.25	22.33	0.0010
P0DP23	50	25.48	27.34	0.0200
P0DP24	0	nan	nan	0.0010
P0DP25	54	19.58	24.09	0.0010
P0DP57	5	5.63	12.96	0.0020
P0DPB6	1	0.00	0.00	0.0010
P0DPD7	1	0.00	0.00	0.0010
P0DTE8	0	nan	nan	0.0010
P10114	74	17.96	19.40	0.0020
P10253	4	6.30	27.33	0.0010
P10276	66	20.37	23.43	0.0010
P10301	12	7.61	18.31	0.0010
P10321	15	12.88	28.34	0.0010
P10415	32	16.67	20.42	0.0010
P10619	6	6.37	23.16	0.0010
P10644	29	14.01	20.58	0.0010
P10720	1	0.00	0.00	0.0010
P10721	26	22.59	59.63	0.0010
P10809	14	16.82	35.31	0.0010
P10827	61	16.45	25.04	0.0010
P10828	62	16.60	24.09	0.0010
P11021	169	22.20	36.18	0.0010
P11086	4	5.16	17.01	0.0010
P11142	160	21.52	27.44	0.0010
P11166	91	20.32	28.99	0.0010
P11169	3	6.70	19.76	0.0040
P11177	7	13.36	22.06	0.0020
P11216	5	20.48	28.83	0.0480
P11217	4	21.97	27.07	0.1858
P11229	67	19.33	27.59	0.0010
P11233	44	15.03	19.77	0.0010
P11234	6	10.77	17.58	0.0040
P11309	61	19.97	24.32	0.0010
P11362	51	14.03	25.86	0.0010
P11387	152	27.53	38.86	0.0010
P11388	78	58.17	64.32	0.0090
P11413	114	26.62	31.90	0.0010
P11441	45	13.54	15.75	0.0010
P11473	14	16.70	22.96	0.0030
P11474	15	11.61	21.16	0.0010
P11498	15	14.71	36.96	0.0010
P11509	1	0.00	0.00	0.0010
P11511	4	15.49	21.69	0.0759
P11597	2	2.70	21.48	0.0060
P11766	2	3.27	13.24	0.0200
P11802	9	14.54	23.34	0.0010
P11836	2	3.50	13.03	0.0420
P11926	7	19.80	26.47	0.0480
P12004	30	20.01	24.87	0.0030
P12081	1	0.00	0.00	0.0010
P12259	5	30.07	38.26	0.1359
P12268	53	22.23	26.97	0.0010
P12271	1	0.00	0.00	0.0010
P12277	127	20.84	28.33	0.0010
P12318	1	0.00	0.00	0.0010
P12532	93	22.81	28.62	0.0010
P12694	4	15.58	22.25	0.1019
P12821	1	0.00	0.00	0.0010
P12883	99	30.21	50.83	0.0010
P12931	110	23.37	31.16	0.0010
P12955	2	2.23	15.80	0.0010
P12956	15	41.12	41.07	0.5065
P13010	20	37.09	55.13	0.0090
P13224	90	17.83	18.19	0.0969
P13612	37	18.39	35.48	0.0010
P13631	74	18.09	23.51	0.0010
P13639	287	41.58	45.81	0.0010
P13671	1	0.00	0.00	0.0010
P13674	2	2.64	18.18	0.0120
P13686	1	0.00	0.00	0.0010
P13693	19	15.58	20.61	0.0030
P13716	13	12.34	24.37	0.0010
P13727	1	0.00	0.00	0.0010
P13747	64	20.34	29.86	0.0010
P13796	5	11.91	21.03	0.0040
P13797	22	13.08	24.37	0.0010
P13984	17	33.63	45.06	0.0050
P13995	5	9.74	20.25	0.0010
P14061	8	13.97	21.46	0.0060
P14151	2	20.00	10.94	0.9471
P14174	9	7.65	17.06	0.0010
P14210	22	36.98	48.95	0.0010
P14324	6	13.51	22.98	0.0050
P14384	8	20.11	23.56	0.1359
P14410	1	0.00	0.00	0.0010
P14416	52	15.41	26.27	0.0010
P14598	56	19.47	28.62	0.0010
P14618	11	15.27	29.08	0.0010
P14635	1	0.00	0.00	0.0010
P14678	10	10.99	17.63	0.0010
P14735	10	27.11	34.86	0.0050
P14780	16	27.09	29.13	0.1848
P14784	8	16.14	23.32	0.0200
P14854	1	0.00	0.00	0.0010
P14866	26	16.16	21.63	0.0010
P14867	72	33.63	40.17	0.0010
P14868	2	3.40	17.85	0.0130
P14923	2	36.20	21.31	0.8462
P15085	8	18.86	23.52	0.0470
P15086	2	2.87	12.29	0.0110
P15104	19	13.73	26.35	0.0010
P15121	1	0.00	0.00	0.0010
P15144	7	16.23	32.54	0.0010
P15153	64	17.22	20.52	0.0010
P15169	4	7.92	20.20	0.0010
P15170	67	22.19	28.73	0.0010
P15291	2	18.43	11.85	0.9061
P15311	11	19.85	26.58	0.0160
P15374	3	10.96	14.46	0.1688
P15391	1	0.00	0.00	0.0010
P15428	5	6.79	18.83	0.0010
P15498	75	23.97	34.96	0.0010
P15509	1	0.00	0.00	0.0010
P15529	1	0.00	0.00	0.0010
P15559	2	2.79	13.13	0.0070
P15692	1	0.00	0.00	0.0010
P15735	7	17.99	22.22	0.0929
P15813	2	3.73	15.76	0.0180
