ENST00000393469 A0/AV/02/swissmodel/41_636_7d10.1.A
ENST00000444555 A6/NH/57/swissmodel/2_177_1zj6.1.A
ENST00000366872 A6/NH/C0/swissmodel/23_702_3bow.1.A
ENST00000215770 A6/NH/G4/swissmodel/2_116_4q3f.2.C
ENST00000380419 A6/NH/L2/swissmodel/1_443_6dpv.1.E
ENST00000338333 A6/NH/Q2/swissmodel/91_329_5oql.1.R
ENST00000426327 A6/NH/X0/swissmodel/1_325_5gs9.1.A
ENST00000601380 A6/NH/Y2/swissmodel/70_432_5lec.1.A
ENST00000301219 A6/NI/73/swissmodel/34_264_7khf.1.C
ENST00000344651 A6/NI/H7/swissmodel/67_249_7ok6.2.A
ENST00000378075 A6/NI/K2/swissmodel/11_221_4u06.1.A
ENST00000407364 A6/NJ/78/swissmodel/70_407_1wg8.1.A
ENST00000310109 A6/NK/58/swissmodel/4_225_2qhs.1.A
ENST00000487349 A6/NK/59/swissmodel/49_450_5le2.1.A
ENST00000357774 A6/NK/75/swissmodel/181_485_5v3m.1.C
ENST00000320701 A6/NK/D2/swissmodel/99_291_2e50.1.A
ENST00000301407 A6/NK/Q9/swissmodel/52_161_1hcn.2.B
ENST00000554048 A6/NL/W8/swissmodel/13_157_6e8c.1.A
ENST00000328794 A6/NL/X3/swissmodel/99_235_7e34.1.B
ENST00000338647 A6/NM/28/swissmodel/150_385_5v3j.1.C
ENST00000541814 A6/NM/45/swissmodel/8_188_6ov2.1.A
ENST00000344935 A6/NM/K7/swissmodel/1_116_6dnh.1.C
ENST00000318682 A6/NM/X2/swissmodel/59_242_4aza.2.A
ENST00000343837 A6/NM/Z2/swissmodel/54_138_2y5i.1.A
ENST00000508866 A6/NN/Y8/swissmodel/2_418_6tbm.1.P
ENST00000308911 A6/NN/Z2/swissmodel/1_429_3jaw.1.B
ENST00000420713 A6/NP/11/swissmodel/156_488_5v3j.2.C
ENST00000433387 A6/PV/C2/swissmodel/35_585_5vlq.2.A
ENST00000509000 A6/PV/I3/swissmodel/4_147_1h2t.1.B
ENST00000514277 A6/XG/L0/swissmodel/65_299_2o8n.1.B
ENST00000262873 A7/E2/Y1/swissmodel/66_1715_6xe9.1.D
ENST00000267889 A7/MB/M2/swissmodel/157_1123_6tbu.1.A
ENST00000299698 A8/K2/U0/swissmodel/17_1454_6tav.1.A
ENST00000392621 A8/K4/G0/swissmodel/17_125_2nms.1.A
ENST00000395216 A8/K8/V0/swissmodel/171_405_5v3m.1.C
ENST00000537226 A8/MT/65/swissmodel/264_539_5wjq.1.C
ENST00000398291 A8/MT/J3/swissmodel/6_347_1got.1.A
ENST00000408945 A8/MT/L9/swissmodel/1_137_4zk0.1.A
ENST00000454061 A8/MT/Z0/swissmodel/26_80_6xt9.1.E
ENST00000507227 A8/MU/K1/swissmodel/48_372_4fip.1.A
ENST00000392051 A8/MU/M7/swissmodel/1_139_6ljp.1.A
ENST00000532971 A8/MU/P2/swissmodel/29_239_2pxx.1.A
ENST00000399363 A8/MU/P6/swissmodel/5_230_5wel.1.A
ENST00000550760 A8/MU/V8/swissmodel/146_447_5v3m.1.C
ENST00000400156 A8/MU/Z8/swissmodel/95_299_5v3m.1.C
ENST00000521255 A8/MV/23/swissmodel/23_402_3cvm.1.A
ENST00000398455 A8/MV/81/swissmodel/4_91_2lom.1.A
ENST00000403897 A8/MX/76/swissmodel/21_683_3bow.1.A
ENST00000400004 A8/MX/T2/swissmodel/95_311_2wa0.1.A
ENST00000399881 A8/MY/U2/swissmodel/23_1039_5tji.1.D
ENST00000327442 A9/QM/74/swissmodel/4_493_1wa5.1.B
ENST00000577542 A9/UH/W6/swissmodel/7_222_4jhj.1.A
ENST00000258787 B0/I1/T2/swissmodel/10_762_2dfs.1.H
ENST00000444149 B4/DU/55/swissmodel/257_562_5wjq.1.C
ENST00000423484 B4/DX/44/swissmodel/142_420_5wjq.1.C
ENST00000565422 B4/E2/M5/swissmodel/60_248_4qfv.2.A
ENST00000402034 B5/MC/N3/swissmodel/3_395_4tlg.1.A
ENST00000398943 B5/ME/19/swissmodel/47_879_6zp4.1.d
ENST00000432826 B6/A8/C7/swissmodel/26_219_6grs.1.B
ENST00000456464 C9/J2/P7/swissmodel/48_372_4fip.1.A
ENST00000453129 C9/JD/P6/swissmodel/8_188_6ov2.1.A
ENST00000417945 C9/JJ/H3/swissmodel/48_372_4fip.1.A
ENST00000429667 C9/JL/J4/swissmodel/48_372_3m99.1.A
ENST00000547628 C9/JN/71/swissmodel/224_530_5wjq.1.C
ENST00000415041 C9/JP/N9/swissmodel/48_372_4fip.1.A
ENST00000457545 C9/JR/Z8/swissmodel/1_316_4gab.1.A
ENST00000457736 C9/JV/I0/swissmodel/48_372_3m99.1.A
ENST00000506414 D6/R9/01/swissmodel/48_372_3m99.1.A
ENST00000504209 D6/R9/N7/swissmodel/48_372_3m99.1.A
ENST00000511280 D6/RA/61/swissmodel/48_372_3m99.1.A
ENST00000506619 D6/RB/M5/swissmodel/75_178_2y5b.2.A
ENST00000511568 D6/RB/Q6/swissmodel/48_372_3m99.1.A
ENST00000515566 D6/RC/P7/swissmodel/48_372_3m99.1.A
ENST00000506151 D6/RJ/B6/swissmodel/48_372_3m99.1.A
ENST00000463091 E5/RG/02/swissmodel/33_172_5ce1.1.A
ENST00000537107 E5/RJ/M6/swissmodel/40_392_5le2.1.A
ENST00000442832 E7/ET/H6/swissmodel/89_377_5wjq.1.C
ENST00000414155 E7/EU/14/swissmodel/7_122_4ja7.1.A
ENST00000530054 E9/PQ/53/swissmodel/1_109_5xtc.1.O
ENST00000544708 F5/H2/84/swissmodel/1_164_4n1s.1.A
ENST00000341750 F8/VT/S6/swissmodel/94_285_2fbe.3.A
ENST00000264167 O0/01/16/swissmodel/81_658_4bca.1.A
ENST00000407818 O0/01/39/swissmodel/157_552_6bbn.1.F
ENST00000367858 O0/01/41/swissmodel/43_398_4x6r.1.A
ENST00000451102 O0/01/42/swissmodel/49_256_2ocp.1.A
ENST00000242776 O0/01/48/swissmodel/45_425_1xti.1.A
ENST00000377855 O0/01/54/swissmodel/54_367_4zv3.1.A
ENST00000304244 O0/01/55/swissmodel/38_328_5vbl.1.B
ENST00000359786 O0/01/59/swissmodel/6_805_2dfs.1.H
ENST00000338257 O0/01/60/swissmodel/20_833_3jbh.1.A
ENST00000370008 O0/01/86/swissmodel/7_584_3puk.2.A
ENST00000263207 O0/01/92/swissmodel/344_852_3l6x.1.A
ENST00000308831 O0/02/12/swissmodel/15_209_6siu.1.C
ENST00000526589 O0/02/14/swissmodel/1_317_3vkm.1.A
ENST00000440890 O0/02/38/swissmodel/174_502_3mdy.1.A
ENST00000381605 O0/02/41/swissmodel/30_347_2wng.1.A
ENST00000296641 O0/02/54/swissmodel/90_373_5ndd.1.A
ENST00000333781 O0/02/58/swissmodel/5_172_6so5.1.C
ENST00000599117 O0/02/67/swissmodel/176_754_5oik.1.Q
ENST00000221399 O0/02/95/swissmodel/260_520_1s31.1.A
ENST00000539935 O0/03/05/swissmodel/66_407_1t3l.1.A
ENST00000389707 O0/03/27/swissmodel/71_442_4f3l.1.A
ENST00000394573 O0/03/37/swissmodel/81_592_6ksw.1.A
ENST00000326853 O0/03/38/swissmodel/9_296_2gwh.1.A
ENST00000371494 O0/03/41/swissmodel/8_488_5llu.1.C
ENST00000367602 O0/03/91/swissmodel/33_543_3t58.1.A
ENST00000171757 O0/03/98/swissmodel/31_315_5xsz.1.A
ENST00000261574 O0/04/10/swissmodel/3_1097_6xu2.1.A
ENST00000357392 O0/04/21/swissmodel/28_317_5uiw.1.A
ENST00000382533 O0/04/22/swissmodel/2_140_4a90.2.A
ENST00000334192 O0/04/23/swissmodel/176_815_4ci8.1.A
ENST00000260563 O0/04/42/swissmodel/5_343_4o8j.1.A
ENST00000265970 O0/04/43/swissmodel/364_1383_4ykn.1.A
ENST00000354308 O0/04/45/swissmodel/108_385_5ccg.1.G
ENST00000403825 O0/04/58/swissmodel/78_448_6mtc.44.A
ENST00000226578 O0/04/62/swissmodel/22_879_6ddt.1.A
ENST00000282903 O0/04/69/swissmodel/33_737_6fxm.1.B
ENST00000413566 O0/04/71/swissmodel/195_708_5h11.1.A
ENST00000367362 O0/04/82/swissmodel/84_538_4iqr.2.A
ENST00000406028 O0/05/01/swissmodel/5_186_6ov2.1.A
ENST00000261667 O0/05/05/swissmodel/7_492_1wa5.1.B
ENST00000243167 O0/05/19/swissmodel/34_577_2wj1.1.A
ENST00000354694 O0/05/41/swissmodel/3_575_6em5.1.b
ENST00000366756 O0/05/48/swissmodel/22_442_4xbm.2.A
ENST00000360228 O0/05/55/swissmodel/79_1938_6jp8.1.D
ENST00000329276 O0/05/67/swissmodel/4_455_6rxz.21.A
ENST00000399959 O0/05/71/swissmodel/133_584_5e7j.1.A
ENST00000458629 O0/05/74/swissmodel/19_308_6wwz.1.F
ENST00000356998 O0/05/87/swissmodel/50_318_2j0a.1.A
ENST00000422265 O0/05/90/swissmodel/39_331_5uiw.1.A
ENST00000518525 O0/05/91/swissmodel/34_439_4cof.1.A
ENST00000360488 O0/06/24/swissmodel/13_435_6v4d.1.A
ENST00000219235 O0/06/26/swissmodel/25_93_2q8r.1.A
ENST00000318471 O0/06/28/swissmodel/16_317_3w15.1.A
ENST00000293973 O0/06/34/swissmodel/25_426_4ove.1.A
ENST00000357085 O0/06/35/swissmodel/131_464_4cg4.2.A
ENST00000451402 O0/07/43/swissmodel/3_305_3fga.1.C
ENST00000301061 O0/07/44/swissmodel/46_389_6ahy.1.B
ENST00000317091 O0/07/48/swissmodel/30_544_5fv4.1.A
ENST00000367187 O0/07/50/swissmodel/281_1337_4zop.1.A
ENST00000456935 O0/07/54/swissmodel/51_1004_6b9p.1.A
ENST00000285018 O0/07/55/swissmodel/37_349_6ahy.2.B
ENST00000338432 O0/07/63/swissmodel/244_2449_6g2d.1.A
ENST00000261692 O1/45/19/swissmodel/54_115_2m1l.1.A
ENST00000375549 O1/45/21/swissmodel/58_159_4ytp.1.D
ENST00000330871 O1/45/43/swissmodel/30_225_6i5j.2.A
ENST00000592984 O1/45/58/swissmodel/3_154_2ygd.1.A
ENST00000324972 O1/45/76/swissmodel/216_631_6f1t.1.b
ENST00000361365 O1/46/02/swissmodel/2_144_1d7q.1.B
ENST00000284856 O1/46/04/swissmodel/6_41_4pl7.1.A
ENST00000511277 O1/46/10/swissmodel/5_62_7o7f.1.D
ENST00000309180 O1/46/26/swissmodel/17_292_4pxz.1.A
ENST00000399602 O1/46/28/swissmodel/215_573_5v3m.1.C
ENST00000296218 O1/46/45/swissmodel/94_245_7ju4.1.u
ENST00000284049 O1/46/46/swissmodel/270_1315_5o9g.1.K
ENST00000259339 O1/46/57/swissmodel/62_336_5j1s.1.A
ENST00000339486 O1/47/30/swissmodel/199_487_6zxg.1.a
ENST00000217455 O1/47/34/swissmodel/24_311_4r4u.1.A
ENST00000310581 O1/47/46/swissmodel/11_1132_7bg9.1.A
ENST00000335987 O1/47/53/swissmodel/116_259_5v3m.1.C
ENST00000554643 O1/47/56/swissmodel/32_281_1a27.1.B
ENST00000378585 O1/47/64/swissmodel/44_451_6hug.1.B
ENST00000261837 O1/47/75/swissmodel/44_395_6n9g.1.B
ENST00000265371 O1/47/86/swissmodel/26_585_2qqk.2.A
ENST00000425528 O1/47/87/swissmodel/3_897_2z5k.1.A
ENST00000378495 O1/47/95/swissmodel/453_1395_5ue8.2.A
ENST00000372371 O1/48/02/swissmodel/3_1390_7a6h.1.A
ENST00000258034 O1/48/04/swissmodel/34_322_6ibl.2.A
ENST00000289104 O1/48/07/swissmodel/9_178_3kkq.1.A
ENST00000271971 O1/48/15/swissmodel/16_688_1df0.1.A
ENST00000397404 O1/48/17/swissmodel/1_233_6wvg.1.A
ENST00000361511 O1/48/29/swissmodel/99_463_7obe.1.A
ENST00000286719 O1/48/30/swissmodel/105_546_5jjt.1.A
ENST00000261867 O1/48/63/swissmodel/103_426_6xpd.1.A
ENST00000394951 O1/48/74/swissmodel/68_404_3tz0.1.B
ENST00000371818 O1/48/79/swissmodel/5_448_5w5h.2.G
ENST00000308317 O1/48/93/swissmodel/23_279_5xjt.1.A
ENST00000272164 O1/49/04/swissmodel/57_364_6ahy.1.B
ENST00000290015 O1/49/05/swissmodel/53_356_6ahy.1.B
ENST00000393033 O1/49/08/swissmodel/52_327_5v6b.1.A
ENST00000377918 O1/49/17/swissmodel/20_685_6vg4.1.A
ENST00000391995 O1/49/21/swissmodel/21_152_2a72.1.A
ENST00000334850 O1/49/26/swissmodel/10_492_6i17.1.A
ENST00000264108 O1/49/29/swissmodel/23_341_2p0w.1.A
ENST00000581193 O1/49/50/swissmodel/20_168_6z47.1.E
ENST00000395909 O1/49/65/swissmodel/126_394_2j4z.2.A
ENST00000325617 O1/49/67/swissmodel/51_446_1jhn.1.A
ENST00000265990 O1/49/81/swissmodel/3_1801_6g7e.1.A
ENST00000357084 O1/49/83/swissmodel/1_994_4bew.2.A
ENST00000265382 O1/49/86/swissmodel/19_394_3wzz.1.A
ENST00000307792 O1/50/41/swissmodel/28_674_1olz.1.A
ENST00000314666 O1/50/67/swissmodel/3_1334_6lyk.1.A
ENST00000399451 O1/50/84/swissmodel/9_878_4rlv.1.A
ENST00000311351 O1/51/16/swissmodel/2_127_4m75.2.A
ENST00000325203 O1/51/23/swissmodel/122_493_3ghg.2.E
ENST00000368564 O1/51/31/swissmodel/4_508_1wa5.1.B
ENST00000372389 O1/51/60/swissmodel/2_344_7ae1.1.C
ENST00000283122 O1/51/82/swissmodel/18_165_4mbe.1.A
ENST00000283713 O1/51/95/swissmodel/7_712_3ffn.1.A
ENST00000392957 O1/51/97/swissmodel/30_581_4m4p.1.A
ENST00000256412 O1/52/04/swissmodel/211_465_2erq.1.B
ENST00000377050 O1/52/05/swissmodel/5_160_5h07.1.A
ENST00000497454 O1/52/11/swissmodel/54_514_5cm8.1.A
ENST00000374617 O1/52/13/swissmodel/105_588_6rxz.6.A
ENST00000262554 O1/52/69/swissmodel/18_472_6m4n.1.A
ENST00000216484 O1/52/70/swissmodel/53_544_7k0j.1.B
ENST00000378643 O1/52/87/swissmodel/12_611_7kzp.1.F
ENST00000231188 O1/53/03/swissmodel/31_845_7epc.1.A
ENST00000399107 O1/53/18/swissmodel/23_223_7d59.1.Q
ENST00000519374 O1/53/42/swissmodel/4_80_6wm2.1.5
ENST00000325307 O1/53/47/swissmodel/9_156_6cij.1.G
ENST00000344034 O1/53/55/swissmodel/2_506_2i0o.1.A
ENST00000389301 O1/53/60/swissmodel/19_1443_7kzs.1.A
ENST00000450736 O1/53/75/swissmodel/12_411_7bp3.1.A
ENST00000281701 O1/53/81/swissmodel/263_848_6mat.1.A
ENST00000398585 O1/53/93/swissmodel/148_491_7meq.1.A
ENST00000256079 O1/53/97/swissmodel/284_997_6n88.1.A
ENST00000263269 O1/53/99/swissmodel/48_869_5uow.1.D
ENST00000327268 O1/54/03/swissmodel/21_470_7ckr.1.A
ENST00000581287 O1/54/27/swissmodel/18_405_7ckr.1.A
ENST00000374212 O1/54/31/swissmodel/45_182_6m98.1.C
ENST00000259392 O1/54/32/swissmodel/3_140_6m98.1.C
ENST00000285238 O1/54/38/swissmodel/29_1520_5ywc.1.B
ENST00000376887 O1/54/39/swissmodel/4_1277_7mpe.1.A
ENST00000334444 O1/54/40/swissmodel/93_1431_7mpe.1.A
ENST00000417669 O1/54/42/swissmodel/43_323_3rl5.1.A
ENST00000293275 O1/54/67/swissmodel/31_98_5ltl.1.A
ENST00000378988 O1/54/79/swissmodel/97_313_2wa0.1.A
ENST00000361644 O1/54/80/swissmodel/97_313_2wa0.1.A
ENST00000378982 O1/54/81/swissmodel/95_310_2wa0.1.A
ENST00000278559 O1/54/84/swissmodel/4_500_3bow.1.A
ENST00000340368 O1/55/03/swissmodel/79_270_7etw.1.A
ENST00000294742 O1/55/11/swissmodel/9_150_1k8k.1.G
ENST00000336079 O1/55/23/swissmodel/132_578_6o5f.1.A
ENST00000332029 O1/55/24/swissmodel/59_211_6c5x.1.C
ENST00000357736 O1/55/25/swissmodel/24_118_2wty.1.A
ENST00000302036 O1/55/27/swissmodel/10_325_2xhi.1.A
ENST00000228606 O1/55/28/swissmodel/33_508_3k9v.3.A
ENST00000530507 O1/55/39/swissmodel/44_180_2crp.1.A
ENST00000413302 O1/55/47/swissmodel/22_379_5svk.1.C
ENST00000395145 O1/55/51/swissmodel/4_185_6ov2.1.A
ENST00000262888 O1/55/54/swissmodel/9_386_6cnn.1.A
ENST00000358536 O4/31/57/swissmodel/25_1471_5l56.1.A
ENST00000374198 O4/31/72/swissmodel/81_519_6ahd.50.A
ENST00000224356 O4/31/74/swissmodel/40_493_2ve3.1.A
ENST00000369409 O4/31/75/swissmodel/5_523_3ddn.1.C
ENST00000368679 O4/31/84/swissmodel/211_691_5y2z.1.A
ENST00000218721 O4/31/93/swissmodel/37_371_6ko5.1.A
ENST00000329321 O4/31/94/swissmodel/12_360_7l0r.1.A
ENST00000457347 O4/32/36/swissmodel/141_413_3ftq.1.A
ENST00000382932 O4/32/46/swissmodel/28_418_5oqt.1.A
ENST00000264029 O4/32/80/swissmodel/26_564_5z66.1.A
ENST00000371711 O4/32/86/swissmodel/110_381_4l41.1.B
ENST00000301244 O4/32/91/swissmodel/32_183_5h7v.1.A
ENST00000251170 O4/33/04/swissmodel/233_658_4tlg.1.A
ENST00000307885 O4/33/06/swissmodel/243_1164_6r3q.1.A
ENST00000253401 O4/33/07/swissmodel/11_432_4mt6.1.A
ENST00000219919 O4/33/15/swissmodel/15_271_6f7h.1.A
ENST00000439435 O4/33/20/swissmodel/50_206_1g82.2.A
ENST00000303790 O4/34/48/swissmodel/77_402_3lut.1.A
ENST00000376687 O4/34/63/swissmodel/115_412_2r3a.1.A
ENST00000359106 O4/34/97/swissmodel/80_1860_6kzo.1.A
ENST00000337432 O4/35/02/swissmodel/17_349_2zub.1.A
ENST00000256389 O4/35/06/swissmodel/204_669_5y31.1.A
ENST00000557233 O4/35/08/swissmodel/105_249_4ht1.1.A
ENST00000265715 O4/35/11/swissmodel/16_733_7ch1.1.A
ENST00000286317 O4/35/13/swissmodel/10_175_7ena.58.A
ENST00000536015 O4/35/20/swissmodel/89_1217_6roh.1.A
ENST00000388996 O4/35/25/swissmodel/100_581_7cr7.1.A
ENST00000359125 O4/35/26/swissmodel/70_595_7cr3.1.A
ENST00000220420 O4/35/48/swissmodel/3_719_1f13.1.A
ENST00000540677 O4/35/81/swissmodel/135_403_6ank.2.A
ENST00000329003 O4/36/03/swissmodel/25_304_5dhg.1.A
ENST00000396822 O4/36/23/swissmodel/126_264_2gli.1.C
ENST00000304523 O4/36/79/swissmodel/25_243_6tyd.1.A
ENST00000591090 O4/36/81/swissmodel/24_344_2woj.1.A
ENST00000368865 O4/36/84/swissmodel/6_324_7byf.1.A
ENST00000260113 O4/36/92/swissmodel/60_252_3q2u.1.A
ENST00000252699 O4/37/07/swissmodel/44_911_1sjj.1.A
ENST00000216465 O4/37/08/swissmodel/5_212_1fw1.1.B
ENST00000423497 O4/37/09/swissmodel/16_207_6g4w.1.3
ENST00000409006 O4/37/31/swissmodel/1_212_6zxr.1.A
ENST00000350796 O4/37/39/swissmodel/13_400_6u3e.1.A
ENST00000393512 O4/37/47/swissmodel/2_588_4p6z.1.A
ENST00000261434 O4/37/66/swissmodel/71_366_5exk.1.A
ENST00000393331 O4/37/91/swissmodel/28_329_3hqi.1.A
ENST00000392318 O4/37/95/swissmodel/12_860_2dfs.1.H
ENST00000336307 O4/38/20/swissmodel/22_412_2pe4.1.A
ENST00000326153 O4/38/24/swissmodel/94_515_7of4.1.M
ENST00000367434 O4/38/25/swissmodel/131_405_7jhk.4.A
ENST00000376819 O4/38/27/swissmodel/79_341_2xnx.1.C
ENST00000354831 O4/38/47/swissmodel/96_1149_3e4z.1.A
ENST00000296591 O4/38/54/swissmodel/91_476_4bxs.1.B
ENST00000368174 O4/38/66/swissmodel/22_346_5a2e.1.A
ENST00000347644 O4/38/68/swissmodel/76_587_6ksw.1.A
ENST00000371106 O4/38/95/swissmodel/47_648_3ctz.1.B
ENST00000061240 O4/38/97/swissmodel/462_1001_3kq4.1.B
ENST00000283916 O6/02/35/swissmodel/132_414_3nxp.1.A
ENST00000259241 O6/02/43/swissmodel/65_384_5t03.2.A
ENST00000324817 O6/02/44/swissmodel/51_1444_7lbm.1.l
ENST00000543491 O6/02/45/swissmodel/33_734_6vg4.1.A
ENST00000359441 O6/02/58/swissmodel/33_180_2fdb.1.A
ENST00000391806 O6/02/59/swissmodel/33_260_5ms3.1.A
ENST00000382159 O6/02/62/swissmodel/3_65_2bcj.1.C
ENST00000283131 O6/02/64/swissmodel/85_703_5jxr.1.A
ENST00000260600 O6/02/66/swissmodel/175_1121_6r3q.1.A
ENST00000261402 O6/02/85/swissmodel/30_376_4yzb.1.A
ENST00000356865 O6/03/12/swissmodel/23_1316_7kyc.1.A
ENST00000252085 O6/03/30/swissmodel/30_666_6e6b.1.A
ENST00000335312 O6/03/31/swissmodel/74_445_6cmw.1.B
ENST00000400181 O6/03/41/swissmodel/172_836_3zms.1.A
ENST00000005284 O6/03/59/swissmodel/5_214_7oce.1.D
ENST00000310127 O6/04/23/swissmodel/130_1266_6roh.1.A
ENST00000554112 O6/04/49/swissmodel/30_1383_7jpt.1.A
ENST00000356554 O6/04/76/swissmodel/156_628_1nxc.1.A
ENST00000258526 O6/04/86/swissmodel/37_935_6vxk.1.B
ENST00000294016 O6/05/03/swissmodel/97_1244_6r3q.1.A
ENST00000319769 O6/05/12/swissmodel/74_346_1tvy.1.A
ENST00000483209 O6/05/13/swissmodel/72_343_6fwt.1.A
ENST00000259569 O6/05/18/swissmodel/11_1105_6xu2.1.A
ENST00000245810 O6/05/42/swissmodel/60_155_5mr9.1.A
ENST00000300177 O6/05/65/swissmodel/72_184_5aej.1.A
ENST00000379721 O6/05/75/swissmodel/30_86_1pce.1.A
ENST00000540964 O6/06/02/swissmodel/23_845_3j0a.1.A
ENST00000369516 O6/06/36/swissmodel/2_218_6k4j.1.A
ENST00000284669 O6/06/62/swissmodel/291_606_2woz.1.A
ENST00000221957 O6/06/64/swissmodel/202_427_1szi.1.A
ENST00000381652 O6/06/74/swissmodel/535_1130_4oli.1.A
ENST00000343242 O6/06/75/swissmodel/24_118_2wty.1.A
ENST00000246012 O6/06/76/swissmodel/32_142_1g96.1.B
ENST00000261200 O6/07/06/swissmodel/2_1549_6c3o.1.H
ENST00000399050 O6/07/16/swissmodel/358_852_3l6x.1.A
ENST00000343813 O6/07/25/swissmodel/10_282_5v7p.1.A
ENST00000332509 O6/07/33/swissmodel/81_806_6aun.1.A
ENST00000232905 O6/07/39/swissmodel/1_113_2if1.1.A
ENST00000379516 O6/07/49/swissmodel/140_519_7d6e.1.A
ENST00000371588 O6/07/62/swissmodel/25_244_5mlz.1.A
ENST00000335815 O6/07/65/swissmodel/211_517_5wjq.1.C
ENST00000236166 O6/07/74/swissmodel/3_537_6se3.1.A
ENST00000396891 O6/08/14/swissmodel/28_126_3x1v.1.F
ENST00000369550 O6/08/32/swissmodel/36_400_7bgb.1.J
ENST00000376265 O6/08/40/swissmodel/73_1580_3jbr.1.A
ENST00000289371 O6/08/41/swissmodel/596_1219_4ujc.1.A
ENST00000400752 O6/08/44/swissmodel/22_162_7o4p.1.A
ENST00000432992 O6/08/61/swissmodel/172_475_6iko.1.A
ENST00000379562 O6/08/70/swissmodel/60_393_7abi.1.Y
ENST00000260228 O6/08/82/swissmodel/38_482_1su3.2.A
ENST00000317089 O6/08/84/swissmodel/4_358_4j80.2.A
ENST00000374500 O6/08/88/swissmodel/61_169_2zfh.1.A
ENST00000217964 O6/09/07/swissmodel/218_576_5naf.1.A
ENST00000309519 O6/09/09/swissmodel/94_366_1tvy.1.A
ENST00000233826 O6/09/28/swissmodel/16_340_3spg.1.D
ENST00000266719 O6/09/38/swissmodel/44_349_5yq5.1.A
ENST00000251372 O7/50/19/swissmodel/25_420_6zdx.1.B
ENST00000245620 O7/50/22/swissmodel/25_419_6zdx.1.B
ENST00000449561 O7/50/23/swissmodel/25_418_6zdx.1.B
ENST00000253577 O7/50/27/swissmodel/79_705_6v9z.1.A
ENST00000449969 O7/50/38/swissmodel/41_889_4gnk.2.B
ENST00000367033 O7/50/51/swissmodel/36_1039_5l5g.1.A
ENST00000263733 O7/50/63/swissmodel/57_403_5xoo.1.B
ENST00000264377 O7/50/77/swissmodel/296_774_5y2z.1.A
ENST00000200557 O7/50/78/swissmodel/234_716_5y2z.1.A
ENST00000499869 O7/50/83/swissmodel/3_606_1nr0.1.A
ENST00000253799 O7/51/06/swissmodel/51_756_1us1.1.A
ENST00000501748 O7/51/23/swissmodel/149_454_5wjq.1.C
ENST00000521271 O7/51/31/swissmodel/4_523_6kxk.3.A
ENST00000407780 O7/51/44/swissmodel/19_230_6x4g.1.B
ENST00000456430 O7/51/55/swissmodel/4_1221_4a0c.1.A
ENST00000367996 O7/51/73/swissmodel/217_805_6qig.1.C
