ENST00000322209 A0/A0/24RBG1/swissmodel/9_147_2duk.1.A
ENST00000399816 A1/L1/67/swissmodel/1_150_5a31.1.Q
ENST00000406915 A1/L1/90/swissmodel/12_85_4r3q.1.A
ENST00000402988 A1/L1/A6/swissmodel/20_128_5xwu.1.B
ENST00000366757 A1/L4/53/swissmodel/50_297_5ce1.1.A
ENST00000304195 A2/A2/Y4/swissmodel/21_358_6cds.1.A
ENST00000368236 A2/A3/L6/swissmodel/35_412_1w3b.1.B
ENST00000370425 A2/PY/H4/swissmodel/219_1054_5yzg.1.D
ENST00000335968 A2/RT/X5/swissmodel/160_795_1nyq.1.B
ENST00000388988 A2/RU/49/swissmodel/19_364_4ocj.1.A
ENST00000373861 A2/RU/U4/swissmodel/33_113_1pco.1.A
ENST00000278025 A2/VD/F0/swissmodel/1_148_2wcu.1.A
ENST00000222511 A4/D1/E9/swissmodel/14_347_1udx.1.A
ENST00000537763 A4/D1/S5/swissmodel/11_207_3gj7.1.A
ENST00000350549 A4/D1/T9/swissmodel/17_234_4wxv.1.A
ENST00000614228 A4/D1/Z8/swissmodel/2_138_5nle.2.B
ENST00000439741 A4/FU/01/swissmodel/52_538_2yf0.1.A
ENST00000568449 A4/GX/A9/swissmodel/57_375_4p0q.1.B
ENST00000610821 A4/QP/B2/swissmodel/1_246_5gje.1.A
ENST00000408907 A5/LH/X3/swissmodel/50_249_5gjq.1.A
ENST00000440596 A5/X5/Y0/swissmodel/41_455_6dg7.1.A
ENST00000412678 A6/H8/M9/swissmodel/22_651_6e6b.1.A
ENST00000370370 A6/NC/42/swissmodel/4_104_3v69.1.A
ENST00000612042 A6/NC/86/swissmodel/19_203_3bt1.1.C
ENST00000556529 A6/NC/E7/swissmodel/5_124_5gmv.1.A
ENST00000639673 A6/NC/K2/swissmodel/131_444_4cg4.1.A
ENST00000530484 A6/NC/W0/swissmodel/48_372_3mhs.1.A
ENST00000526929 A6/NC/W7/swissmodel/48_372_3mhs.1.A
ENST00000389208 A6/ND/91/swissmodel/7_272_1j5p.1.A
ENST00000538192 A6/ND/A9/swissmodel/19_347_2xot.1.A
ENST00000333503 A6/ND/G6/swissmodel/11_319_4bkm.2.A
ENST00000622138 A6/ND/I0/swissmodel/131_450_4cg4.1.A
ENST00000611257 A6/ND/S4/swissmodel/45_342_4p17.1.A
ENST00000419291 A6/ND/Y0/swissmodel/86_228_2m70.1.A
ENST00000375366 A6/NE/02/swissmodel/39_299_3i3n.1.B
ENST00000322564 A6/NE/E1/swissmodel/130_393_6f1t.1.h
ENST00000360464 A6/NF/H5/swissmodel/1_133_4azm.1.B
ENST00000378919 A6/NF/U8/swissmodel/4_174_1ioi.1.A
ENST00000332715 A6/NG/E7/swissmodel/2_166_2o70.1.A
ENST00000409061 A6/NG/H8/swissmodel/23_368_5y4f.1.A
ENST00000533122 A6/NG/J6/swissmodel/130_446_4cg4.1.A
ENST00000370359 A6/NG/Q2/swissmodel/35_132_3v69.1.A
ENST00000641945 A6/NH/00/swissmodel/30_309_3vg9.1.A
ENST00000331264 A6/NH/11/swissmodel/79_291_4k85.1.A
ENST00000269586 A6/NH/57/swissmodel/6_173_1yzg.1.A
ENST00000215770 A6/NH/G4/swissmodel/2_95_3kan.1.A
ENST00000380419 A6/NH/L2/swissmodel/1_443_6e88.1.A
ENST00000338333 A6/NH/Q2/swissmodel/99_327_2ipx.1.A
ENST00000616305 A6/NH/X0/swissmodel/1_323_5i2c.1.A
ENST00000601380 A6/NH/Y2/swissmodel/103_448_1n11.1.A
ENST00000329862 A6/NI/03/swissmodel/130_446_4cg4.1.A
ENST00000547889 A6/NI/47/swissmodel/140_429_1n11.1.A
ENST00000378075 A6/NI/K2/swissmodel/4_222_5a5c.1.A
ENST00000407364 A6/NJ/78/swissmodel/73_407_3tka.1.A
ENST00000343905 A6/NJ/G2/swissmodel/81_296_5ma9.1.B
ENST00000401542 A6/NJ/I9/swissmodel/27_187_5mqf.1.W
ENST00000377924 A6/NJ/W4/swissmodel/46_213_5xnq.1.A
ENST00000503032 A6/NK/02/swissmodel/135_468_4cg4.1.A
ENST00000310109 A6/NK/58/swissmodel/4_225_1w66.1.A
ENST00000487349 A6/NK/59/swissmodel/52_509_4rlv.1.A
ENST00000320701 A6/NK/D2/swissmodel/103_290_5day.1.B
ENST00000602312 A6/NK/P2/swissmodel/33_383_3enk.1.A
ENST00000301407 A6/NK/Q9/swissmodel/52_161_1qfw.1.B
ENST00000617704 A6/NL/I5/swissmodel/130_447_4cg4.1.A
ENST00000302783 A6/NL/P5/swissmodel/48_172_4i2w.1.A
ENST00000554048 A6/NL/W8/swissmodel/12_157_6e8c.1.A
ENST00000328794 A6/NL/X3/swissmodel/98_235_5uq1.2.B
ENST00000338647 A6/NM/28/swissmodel/102_371_5v3m.1.C
ENST00000383467 A6/NM/36/swissmodel/8_282_4eco.1.A
ENST00000541814 A6/NM/45/swissmodel/3_185_5b2g.2.A
ENST00000344935 A6/NM/K7/swissmodel/1_116_6dnh.1.C
ENST00000647833 A6/NM/X2/swissmodel/59_242_4tqb.1.A
ENST00000343837 A6/NM/Z2/swissmodel/54_138_2y5i.1.A
ENST00000438251 A6/NN/M8/swissmodel/87_506_4ylr.1.A
ENST00000503173 A6/NN/P5/swissmodel/14_136_4xa3.1.A
ENST00000330255 A6/NN/S2/swissmodel/31_302_4hfr.1.A
ENST00000621775 A6/NN/Y8/swissmodel/19_423_4zux.1.K
ENST00000308911 A6/NN/Z2/swissmodel/1_420_5ij9.1.B
ENST00000420713 A6/NP/11/swissmodel/154_431_5wjq.1.C
ENST00000266182 A6/PV/C2/swissmodel/29_585_5vlq.2.A
ENST00000639756 A6/PV/I3/swissmodel/5_151_1n52.1.B
ENST00000514277 A6/XG/L0/swissmodel/67_299_2o8n.1.A
ENST00000409867 A7/E2/S9/swissmodel/37_257_5le4.1.A
ENST00000299698 A8/K2/U0/swissmodel/19_1452_5i5k.1.A
ENST00000392621 A8/K4/G0/swissmodel/17_123_2nms.1.A
ENST00000395216 A8/K8/V0/swissmodel/171_405_5v3m.1.C
ENST00000292778 A8/MP/S7/swissmodel/5_299_2i5i.1.A
ENST00000472788 A8/MP/Y1/swissmodel/53_354_4cof.1.A
ENST00000378644 A8/MT/33/swissmodel/49_184_4xa6.1.A
ENST00000398291 A8/MT/J3/swissmodel/23_354_3v00.1.A
ENST00000446461 A8/MT/L0/swissmodel/10_94_4r8g.1.A
ENST00000408945 A8/MT/L9/swissmodel/1_129_4zk0.1.A
ENST00000507227 A8/MU/K1/swissmodel/48_372_4fip.1.A
ENST00000392051 A8/MU/M7/swissmodel/1_139_6kjx.1.A
ENST00000532971 A8/MU/P2/swissmodel/29_239_2pxx.1.A
ENST00000456806 A8/MU/V8/swissmodel/140_419_5wjq.1.C
ENST00000400156 A8/MU/Z8/swissmodel/61_299_5v3m.1.C
ENST00000521255 A8/MV/23/swissmodel/24_402_3r4l.1.A
ENST00000398455 A8/MV/81/swissmodel/1_89_2lon.1.A
ENST00000525199 A8/MW/A4/swissmodel/60_299_5wjq.1.C
ENST00000403897 A8/MX/76/swissmodel/22_683_3df0.1.A
ENST00000400004 A8/MX/T2/swissmodel/85_311_2wa0.1.A
ENST00000397061 A8/MX/V4/swissmodel/11_284_3qsj.1.A
ENST00000398186 A8/MZ/26/swissmodel/7_166_2aao.2.A
ENST00000327442 A9/QM/74/swissmodel/5_490_1wa5.1.B
ENST00000258787 B0/I1/T2/swissmodel/3_842_4anj.1.A
ENST00000314994 B2/RD/01/swissmodel/17_148_1hlv.1.C
ENST00000358970 B2/RU/33/swissmodel/111_395_5vkq.1.A
ENST00000312504 B2/RU/Y7/swissmodel/84_216_2mhp.1.A
ENST00000343959 B3/EW/G3/swissmodel/26_86_5cwc.1.A
ENST00000617224 B3/EW/G5/swissmodel/26_86_5cwc.1.A
ENST00000452267 B3/EW/G6/swissmodel/26_86_5cwc.1.A
ENST00000355095 B4/DX/44/swissmodel/142_420_5wjq.1.C
ENST00000565422 B4/E2/M5/swissmodel/14_212_6mok.1.A
ENST00000402034 B5/MC/N3/swissmodel/3_395_4tlg.1.A
ENST00000619998 B5/MD/39/swissmodel/37_225_4gdx.1.B
ENST00000398944 B5/ME/19/swissmodel/321_877_5a5t.1.B
ENST00000567955 B7/U5/40/swissmodel/42_372_3sph.1.A
ENST00000612727 B9/A6/J9/swissmodel/45_342_4p17.1.A
ENST00000530311 C9/J1/S8/swissmodel/131_450_4cg4.1.A
ENST00000623787 C9/J1/S8/swissmodel/131_450_4cg4.1.A
ENST00000451882 C9/JC/N9/swissmodel/14_54_3ci9.1.B
ENST00000453129 C9/JD/P6/swissmodel/2_187_6akf.2.A
ENST00000450269 C9/JJ/37/swissmodel/13_263_3i3n.1.B
ENST00000547628 C9/JN/71/swissmodel/140_418_5wjq.1.C
ENST00000415041 C9/JP/N9/swissmodel/48_372_4fip.1.A
ENST00000432196 C9/JR/72/swissmodel/171_421_5yy8.1.A
ENST00000457545 C9/JR/Z8/swissmodel/1_316_4xzm.1.A
ENST00000507606 E0/CX/11/swissmodel/1_37_6bd4.1.A
ENST00000537107 E5/RJ/M6/swissmodel/40_388_6mol.1.A
ENST00000622774 E5/RQ/L4/swissmodel/8_138_1qd1.1.A
ENST00000414155 E7/EU/14/swissmodel/22_139_4ja9.1.A
ENST00000544708 F5/H2/84/swissmodel/1_164_4n1s.1.A
ENST00000341750 F8/VT/S6/swissmodel/94_285_2fbe.3.A
ENST00000532798 H3/BU/77/swissmodel/13_50_6nf8.1.Z
ENST00000454856 H3/BU/K9/swissmodel/74_358_5vkq.1.A
ENST00000565886 H3/BV/60/swissmodel/60_237_3qw9.1.A
ENST00000445307 H7/C2/41/swissmodel/5_199_6akg.1.A
ENST00000398290 I1/YA/P6/swissmodel/131_448_4cg4.1.A
ENST00000585332 O0/01/10/swissmodel/89_212_5v3m.1.C
ENST00000222219 O0/01/15/swissmodel/15_350_5unb.1.A
ENST00000264167 O0/01/16/swissmodel/81_658_4bc7.1.A
ENST00000407818 O0/01/39/swissmodel/157_552_6bbn.1.F
ENST00000367858 O0/01/41/swissmodel/43_398_4x6r.1.A
ENST00000451102 O0/01/42/swissmodel/49_257_2zi4.1.B
ENST00000242776 O0/01/48/swissmodel/37_422_6o5f.1.A
ENST00000304244 O0/01/55/swissmodel/30_327_5vbl.1.B
ENST00000644032 O0/01/60/swissmodel/13_760_1m8q.1.J
ENST00000279146 O0/01/70/swissmodel/8_329_1qz2.1.A
ENST00000216044 O0/01/78/swissmodel/159_576_4c0s.1.B
ENST00000370008 O0/01/86/swissmodel/7_584_3puk.1.A
ENST00000263207 O0/01/92/swissmodel/344_855_3l6x.1.A
ENST00000255194 O0/02/03/swissmodel/45_635_4p6z.1.D
ENST00000308831 O0/02/12/swissmodel/16_207_4f38.1.A
ENST00000527974 O0/02/14/swissmodel/1_317_4han.1.A
ENST00000275015 O0/02/21/swissmodel/211_485_5jhq.1.A
ENST00000440890 O0/02/38/swissmodel/174_502_3mdy.1.A
ENST00000296641 O0/02/54/swissmodel/67_363_4n6h.1.A
ENST00000366834 O0/02/70/swissmodel/5_296_4xnw.2.A
ENST00000394573 O0/03/37/swissmodel/177_591_3tij.1.A
ENST00000261574 O0/04/10/swissmodel/3_1095_3w3t.1.A
ENST00000357392 O0/04/21/swissmodel/25_311_5uiw.1.A
ENST00000382533 O0/04/22/swissmodel/6_149_2hde.1.A
ENST00000553257 O0/04/29/swissmodel/1_736_5wp9.1.A
ENST00000260563 O0/04/42/swissmodel/5_345_4o89.1.A
ENST00000005558 O0/04/58/swissmodel/78_448_6mtc.44.A
ENST00000282903 O0/04/69/swissmodel/37_737_6fxm.1.A
ENST00000261667 O0/05/05/swissmodel/10_489_1wa5.1.B
ENST00000243167 O0/05/19/swissmodel/34_577_2wj1.1.A
ENST00000256509 O0/05/33/swissmodel/123_1008_6iaa.1.A
ENST00000329276 O0/05/67/swissmodel/4_424_6rxz.21.A
ENST00000438735 O0/05/74/swissmodel/17_306_5uiw.1.A
ENST00000356998 O0/05/87/swissmodel/50_318_2j0a.1.A
ENST00000422265 O0/05/90/swissmodel/35_331_5uiw.1.A
ENST00000518525 O0/05/91/swissmodel/37_438_4cof.1.A
ENST00000219235 O0/06/26/swissmodel/25_93_2q8r.1.A
ENST00000318471 O0/06/28/swissmodel/9_317_3w15.1.A
ENST00000293973 O0/06/34/swissmodel/27_425_4plm.1.A
ENST00000357085 O0/06/35/swissmodel/131_465_4cg4.1.A
ENST00000451402 O0/07/43/swissmodel/4_305_5w0w.4.C
ENST00000301061 O0/07/44/swissmodel/46_389_6ahy.1.B
ENST00000317091 O0/07/48/swissmodel/30_544_5fv4.1.A
ENST00000367187 O0/07/50/swissmodel/316_1334_4l1b.1.A
ENST00000456935 O0/07/54/swissmodel/50_1004_6b9o.1.A
ENST00000249842 O1/44/98/swissmodel/17_344_3zyi.1.A
ENST00000375549 O1/45/21/swissmodel/58_159_3sfd.1.D
ENST00000264255 O1/45/30/swissmodel/39_188_1a0r.1.C
ENST00000330871 O1/45/43/swissmodel/30_185_2bbu.1.A
ENST00000395878 O1/45/62/swissmodel/84_245_3shq.1.A
ENST00000425346 O1/45/69/swissmodel/21_184_4o6y.1.A
ENST00000324972 O1/45/76/swissmodel/216_628_6f1t.1.c
ENST00000642123 O1/45/81/swissmodel/23_306_2z73.1.A
ENST00000361365 O1/46/02/swissmodel/2_122_6fyx.1.b
ENST00000284856 O1/46/04/swissmodel/6_41_4pl7.1.A
ENST00000309180 O1/46/26/swissmodel/6_292_4pxz.1.A
ENST00000259339 O1/46/57/swissmodel/59_336_6oif.1.A
ENST00000371141 O1/46/62/swissmodel/72_286_3c98.1.B
ENST00000317735 O1/47/18/swissmodel/22_310_2z73.1.A
ENST00000339486 O1/47/30/swissmodel/234_504_4otp.1.A
ENST00000397983 O1/47/33/swissmodel/103_419_5y90.1.A
ENST00000217455 O1/47/34/swissmodel/28_311_4r4u.1.A
ENST00000419343 O1/47/37/swissmodel/2_112_2k6b.1.A
ENST00000335987 O1/47/53/swissmodel/94_253_5und.1.A
ENST00000555159 O1/47/56/swissmodel/28_308_1a27.1.A
ENST00000261837 O1/47/75/swissmodel/43_395_2pbi.2.B
ENST00000425528 O1/47/87/swissmodel/3_897_2z5k.1.A
ENST00000372371 O1/48/02/swissmodel/3_1382_6eu1.1.A
ENST00000258034 O1/48/04/swissmodel/36_321_6ibl.1.A
ENST00000289104 O1/48/07/swissmodel/9_178_3kkq.1.A
ENST00000361511 O1/48/29/swissmodel/101_462_1wao.1.A
ENST00000618853 O1/48/41/swissmodel/5_725_5l9w.2.A
ENST00000327809 O1/48/43/swissmodel/12_291_5ndd.1.A
ENST00000394951 O1/48/74/swissmodel/68_408_1gjv.1.A
ENST00000272164 O1/49/04/swissmodel/57_364_6ahy.1.B
ENST00000290015 O1/49/05/swissmodel/53_356_6ahy.1.B
ENST00000393033 O1/49/08/swissmodel/59_327_5v6b.1.A
ENST00000543215 O1/49/21/swissmodel/24_154_2ode.1.B
ENST00000334850 O1/49/26/swissmodel/8_492_3p53.1.A
ENST00000264108 O1/49/29/swissmodel/23_341_2p0w.1.A
ENST00000648965 O1/49/50/swissmodel/16_163_4i2y.1.A
ENST00000395914 O1/49/65/swissmodel/126_394_2j4z.2.A
ENST00000309117 O1/49/72/swissmodel/4_296_3lh9.1.A
ENST00000267842 O1/49/75/swissmodel/52_581_3a9v.1.A
ENST00000295470 O1/49/79/swissmodel/79_313_6r5k.1.E
ENST00000265990 O1/49/81/swissmodel/3_1801_6g7e.1.A
ENST00000357084 O1/49/83/swissmodel/1_994_1t5t.1.A
ENST00000478500 O1/49/86/swissmodel/15_393_3wzz.1.A
ENST00000378131 O1/49/90/swissmodel/12_165_2o8a.1.B
ENST00000643230 O1/50/41/swissmodel/27_674_1olz.1.B
ENST00000314666 O1/50/67/swissmodel/5_1334_4lgy.1.A
ENST00000399451 O1/50/84/swissmodel/7_969_5vkq.1.A
ENST00000311351 O1/51/16/swissmodel/3_133_4m75.1.A
ENST00000371696 O1/51/20/swissmodel/60_263_5kym.1.A
ENST00000356348 O1/51/31/swissmodel/9_506_1wa5.1.B
ENST00000315717 O1/51/44/swissmodel/1_282_4xei.1.D
ENST00000642195 O1/51/60/swissmodel/51_332_2pa8.1.A
ENST00000283713 O1/51/95/swissmodel/2_723_3ffn.1.A
ENST00000256412 O1/52/04/swissmodel/209_467_2erq.1.A
ENST00000497454 O1/52/11/swissmodel/63_514_5cm8.1.A
ENST00000374617 O1/52/13/swissmodel/99_588_6rxz.6.A
ENST00000300098 O1/52/18/swissmodel/41_335_4yay.1.A
ENST00000356406 O1/52/54/swissmodel/21_690_5ys9.1.A
ENST00000262554 O1/52/69/swissmodel/82_471_4bmk.1.A
ENST00000216484 O1/52/70/swissmodel/116_556_5txr.1.A
ENST00000305921 O1/52/97/swissmodel/5_376_2i44.1.A
ENST00000231188 O1/53/03/swissmodel/34_850_6n52.1.A
ENST00000216190 O1/53/71/swissmodel/162_527_5k4b.2.A
ENST00000398585 O1/53/93/swissmodel/146_491_5ce1.1.A
ENST00000263269 O1/53/99/swissmodel/49_870_5uow.1.B
ENST00000367941 O1/54/00/swissmodel/10_221_3c98.1.B
ENST00000392341 O1/54/27/swissmodel/17_403_6g9x.1.A
ENST00000259392 O1/54/32/swissmodel/3_140_6m97.1.A
ENST00000285238 O1/54/38/swissmodel/202_1526_6bhu.1.A
ENST00000645237 O1/54/39/swissmodel/8_1278_6bhu.1.A
ENST00000334444 O1/54/40/swissmodel/96_1432_6bhu.1.A
ENST00000417669 O1/54/42/swissmodel/43_323_3rl5.1.A
ENST00000390669 O1/54/44/swissmodel/26_114_6cws.1.A
ENST00000263187 O1/54/57/swissmodel/150_913_3thw.1.B
ENST00000538168 O1/54/66/swissmodel/92_374_5cxy.1.A
ENST00000378988 O1/54/79/swissmodel/89_313_2wa0.1.A
ENST00000361644 O1/54/80/swissmodel/87_313_2wa0.1.A
ENST00000378982 O1/54/81/swissmodel/85_310_2wa0.1.A
ENST00000340368 O1/55/03/swissmodel/87_264_4xu6.1.A
ENST00000294742 O1/55/11/swissmodel/9_150_1k8k.1.G
ENST00000360160 O1/55/23/swissmodel/132_578_6o5f.1.A
ENST00000332029 O1/55/24/swissmodel/59_211_6c5x.1.C
ENST00000357736 O1/55/25/swissmodel/21_112_3a5t.1.B
ENST00000302036 O1/55/27/swissmodel/12_325_1lww.1.C
ENST00000228606 O1/55/28/swissmodel/34_508_3n9y.1.A
ENST00000454971 O1/55/29/swissmodel/13_291_5ndd.1.A
ENST00000356535 O1/55/40/swissmodel/2_132_1fdq.1.A
ENST00000413302 O1/55/47/swissmodel/22_379_5svk.1.A
ENST00000395145 O1/55/51/swissmodel/4_185_6ov2.1.A
ENST00000599180 O1/55/52/swissmodel/3_288_5nj6.1.A
ENST00000592764 O4/31/48/swissmodel/167_476_5e8j.1.A
ENST00000374199 O4/31/72/swissmodel/224_522_5nnz.2.A
ENST00000224356 O4/31/74/swissmodel/41_494_6a16.1.A
ENST00000368679 O4/31/84/swissmodel/209_694_3g5c.1.A
ENST00000329321 O4/31/94/swissmodel/11_361_4bv0.2.A
ENST00000375703 O4/31/96/swissmodel/13_780_3thw.1.B
ENST00000264029 O4/32/80/swissmodel/29_560_5z66.1.A
ENST00000371711 O4/32/86/swissmodel/110_381_4l41.1.B
ENST00000251170 O4/33/04/swissmodel/233_668_4tlg.1.A
ENST00000219919 O4/33/15/swissmodel/15_271_6f7h.1.A
ENST00000439435 O4/33/20/swissmodel/50_204_3f1r.1.A
ENST00000303790 O4/34/48/swissmodel/80_402_6ebk.1.A
ENST00000337852 O4/34/63/swissmodel/115_411_2r3a.1.A
ENST00000337432 O4/35/02/swissmodel/13_349_2zub.1.A
ENST00000286317 O4/35/13/swissmodel/8_176_5u0p.1.J
ENST00000648908 O4/35/20/swissmodel/63_1234_6roh.1.A
ENST00000554913 O4/35/42/swissmodel/1_341_5np7.1.C
ENST00000359321 O4/35/43/swissmodel/8_278_1xu4.1.A
ENST00000220420 O4/35/48/swissmodel/2_719_1f13.1.B
ENST00000539008 O4/35/81/swissmodel/134_403_2r83.1.A
ENST00000332707 O4/35/92/swissmodel/5_962_3icq.1.A
ENST00000329003 O4/36/03/swissmodel/25_310_4n6h.1.A
ENST00000020945 O4/36/23/swissmodel/124_263_5v3m.1.C
ENST00000600118 O4/36/33/swissmodel/15_221_6e8g.2.A
ENST00000373020 O4/36/57/swissmodel/13_239_5tcx.1.A
ENST00000591090 O4/36/81/swissmodel/24_345_3h84.1.B
ENST00000368865 O4/36/84/swissmodel/6_324_4owr.1.A
ENST00000649643 O4/36/92/swissmodel/64_252_3q2u.1.A
ENST00000423497 O4/37/09/swissmodel/16_207_6g4w.1.3
ENST00000409006 O4/37/31/swissmodel/1_203_6i6b.1.A
ENST00000393512 O4/37/47/swissmodel/1_589_1w63.1.A
ENST00000640888 O4/37/66/swissmodel/71_365_5exk.1.A
ENST00000319017 O4/37/72/swissmodel/8_295_6gci.1.A
ENST00000392318 O4/37/95/swissmodel/15_860_2dfs.1.A
ENST00000435456 O4/38/08/swissmodel/8_296_6gci.1.A
ENST00000621157 O4/38/20/swissmodel/21_412_2pe4.1.A
ENST00000397956 O4/38/22/swissmodel/1_136_5mqf.1.W
ENST00000326153 O4/38/24/swissmodel/175_451_3kxi.1.A
ENST00000376819 O4/38/27/swissmodel/40_345_1lwu.1.C
ENST00000354831 O4/38/47/swissmodel/94_1150_3p7o.1.A
ENST00000426216 O4/38/61/swissmodel/115_1147_6roj.1.A
ENST00000368174 O4/38/66/swissmodel/22_346_5a2e.1.A
ENST00000347644 O4/38/68/swissmodel/172_586_3tij.1.A
ENST00000371106 O4/38/95/swissmodel/50_648_3ctz.1.A
ENST00000533551 O4/39/30/swissmodel/43_273_3x2u.1.A
ENST00000248633 O4/39/33/swissmodel/405_1065_5g4f.1.B
ENST00000372902 O6/02/20/swissmodel/27_84_3cjh.1.B
ENST00000283916 O6/02/35/swissmodel/132_414_3nxp.1.A
ENST00000259241 O6/02/43/swissmodel/67_355_5t03.1.A
ENST00000543491 O6/02/45/swissmodel/33_734_6e6b.1.A
ENST00000359441 O6/02/58/swissmodel/33_180_2fdb.1.A
ENST00000391806 O6/02/59/swissmodel/33_260_5ms4.2.A
ENST00000382159 O6/02/62/swissmodel/6_64_4kfm.1.C
ENST00000261402 O6/02/85/swissmodel/48_387_4ieb.1.A
ENST00000305641 O6/02/94/swissmodel/8_680_2zzk.1.A
ENST00000361510 O6/03/13/swissmodel/272_768_5uot.1.A
ENST00000252085 O6/03/30/swissmodel/30_666_6e6b.1.A
ENST00000589578 O6/03/31/swissmodel/74_445_6cmw.1.A
ENST00000400181 O6/03/41/swissmodel/172_836_3zms.1.A
ENST00000005284 O6/03/59/swissmodel/3_207_5weo.1.B
ENST00000234389 O6/03/91/swissmodel/35_859_6ira.1.B
ENST00000248072 O6/04/12/swissmodel/21_306_4qkx.1.A
ENST00000310127 O6/04/23/swissmodel/105_1216_6k7k.1.A
ENST00000641398 O6/04/31/swissmodel/20_307_6mxt.1.A
ENST00000356554 O6/04/76/swissmodel/156_627_5kkb.1.A
ENST00000278937 O6/04/87/swissmodel/27_182_5xsy.1.B
ENST00000469796 O6/04/88/swissmodel/56_701_5bsm.1.A
ENST00000319769 O6/05/12/swissmodel/73_346_4l41.1.B
ENST00000483209 O6/05/13/swissmodel/69_340_6fwt.1.A
ENST00000259569 O6/05/18/swissmodel/13_1103_3w3u.1.A
ENST00000372003 O6/06/35/swissmodel/4_241_5tcx.1.A
ENST00000267970 O6/06/37/swissmodel/5_239_5tcx.1.A
ENST00000512944 O6/06/45/swissmodel/120_736_5b86.1.A
ENST00000284669 O6/06/62/swissmodel/289_606_2woz.1.A
ENST00000221957 O6/06/64/swissmodel/202_427_1szi.1.A
ENST00000343242 O6/06/75/swissmodel/24_112_3a5t.1.B
ENST00000246012 O6/06/76/swissmodel/25_140_2ch9.1.A
ENST00000373004 O6/06/87/swissmodel/57_327_5o35.1.C
ENST00000261200 O6/07/06/swissmodel/2_1549_6c3o.1.H
ENST00000343813 O6/07/25/swissmodel/10_282_5v7p.1.A
ENST00000232905 O6/07/39/swissmodel/1_113_2if1.1.A
ENST00000379516 O6/07/49/swissmodel/141_517_2rak.1.A
ENST00000249041 O6/07/55/swissmodel/13_308_4djh.1.B
ENST00000264904 O6/07/63/swissmodel/18_632_3grl.1.A
ENST00000335815 O6/07/65/swissmodel/211_517_5wjq.1.C
ENST00000369550 O6/08/32/swissmodel/48_408_3uai.1.A
ENST00000400752 O6/08/44/swissmodel/36_159_3apa.1.A
ENST00000317089 O6/08/84/swissmodel/4_357_4j80.2.A
ENST00000587142 O6/08/95/swissmodel/58_170_6e3y.1.G
ENST00000258052 O6/09/06/swissmodel/6_281_2uyr.1.A
ENST00000309519 O6/09/09/swissmodel/104_365_6fwt.1.A
ENST00000233826 O6/09/28/swissmodel/16_335_5kuk.1.A
ENST00000266719 O6/09/38/swissmodel/42_350_5yq5.3.A
ENST00000251372 O7/50/19/swissmodel/27_420_6aed.1.A
ENST00000449561 O7/50/23/swissmodel/26_425_6grs.1.B
ENST00000291560 O7/50/31/swissmodel/121_332_3zhp.1.A
ENST00000378486 O7/50/38/swissmodel/39_900_4qj3.1.B
ENST00000263733 O7/50/63/swissmodel/18_404_4kqb.1.A
ENST00000264377 O7/50/77/swissmodel/294_775_5y31.1.A
