TRAJ23 A0A075B6U7
C20orf144 Q9BQM9
NAT9 Q9BTE0
FAAP24 Q9BTP7
TRAF4 Q9BUZ4
DSCC1 Q9BVC3
SLC2A11 Q9BYW1
PITHD1 Q9GZP4
MIS12 Q9H081
IQCG Q9H095
GLT8D2 Q9H1C3
DOCK5 Q9H7D0
MANSC1 Q9H8J5
CYP3A43 Q9HB55
CHD8 Q9HCK8
GPR108 Q9NPR9
SPTLC3 Q9NUV7
PKD2L2 Q9NZM6
GULP1 Q9UBP9
FBLN5 Q9UBX5
HCN2 Q9UL51
TPCN1 Q9ULQ1
UNC13A Q9UPW8
TNFSF13B Q9Y275
YBX2 Q9Y2T7
PRG3 Q9Y2Y8
SIT1 Q9Y3P8
PKP3 Q9Y446
CMAHP Q9Y471
INSL5 Q9Y5Q6
AK5 Q9Y6K8
TRAJ2 A0A075B6U9
FAM240C A0A1B0GVR7
CPHXL A0A1W2PPM1
FAM246A A0A494C0Y3
FAM234B A2RU67
LRRC72 A6NJI9
SAC3D1 A6NKF1
GOLGA8A A7E2F4
FADS2B A8MWK0
SLN O00631
MGAM O43451
CHST10 O43529
KRT86 O43790
PLCH2 O75038
NOS1AP O75052
SDC3 O75056
SOAT2 O75908
UBXN7 O94888
CLDN7 O95471
TTLL1 O95922
PTTG1 O95997
F12 P00748
CYP2E1 P05181
UQCRH P07919
ROS1 P08922
MMP7 P09237
GNAO1 P09471
TMEM191B P0C7N4
PGC P20142
GPD1 P21695
RPL21 P46778
PPOX P50336
ALDH18A1 P54886
PPP4C P60510
SPCS3 P61009
GRB2 P62993
PHC1 P78364
ARG2 P78540
SLC7A9 P82251
EWSR1 Q01844
TNFAIP2 Q03169
TROAP Q12815
ITPR3 Q14573
PON2 Q15165
C3AR1 Q16581
KIF26B Q2KJY2
VWA3B Q502W6
GPAT3 Q53EU6
CCDC157 Q569K6
NHSL2 Q5HYW2
TOR2A Q5JU69
NHSL1 Q5SYE7
FAM74A4 Q5TZK3
KRTAP5-6 Q6L8G9
FAM117B Q6P1L5
ZNF613 Q6PF04
KLHL17 Q6TDP4
ZNF66 Q6ZN08
NYAP1 Q6ZVC0
USP17L1 Q7RTZ2
RPAIN Q86UA6
GTSCR1 Q86UQ5
P2RY8 Q86VZ1
ZNF280B Q86YH2
MRPL41 Q8IXM3
DCP1B Q8IZD4
RDH10 Q8IZV5
LYG1 Q8N1E2
SLC15A4 Q8N697
FBXO36 Q8NEA4
TENT5D Q8NEK8
TSPAN14 Q8NG11
OR5L1 Q8NGL2
MFSD8 Q8NHS3
TYMSOS Q8TAI1
ZCCHC10 Q8TBK6
STK32A Q8WU08
MYO3B Q8WXR4
ERGIC1 Q969X5
ZSCAN31 Q96LW9
NECAB3 Q96P71
SIGLEC12 Q96PQ1
BBS4 Q96RK4
BEGAIN Q9BUH8
ABHD14A Q9BUJ0
SFXN3 Q9BWM7
SLC25A2 Q9BXI2
SELENOI Q9C0D9
OTOR Q9NRC9
SLTM Q9NWH9
PPP1R14D Q9NXH3
CNIH4 Q9P003
IP6K2 Q9UHH9
TCEAL9 Q9UHQ7
PLXNA1 Q9UIW2
BARX2 Q9UMQ3
NPIPA1 Q9UND3
FAM50B Q9Y247
TIMM10B Q9Y5J6
SNX14 Q9Y5W7
SPEGNB A0A087WV53
PIGBOS1 A0A0B4J2F0
THSD8 A0A1W2PP97
TMEM217 A0A494BZU4
LINC00634 A0A590UK83
IGSF23 A1L1A6
GPX6 A3KN74
PINLYP A6NC86
ERVK3-1 B3KNS4
FAM227A F5H4B4
TP53I11 O14683
ABCC5 O15440
SSNA1 O43805
FCGR3B O75015
MITF O75030
LYPLA1 O75608
LTN1 O94822
SNAI1 O95863
OLFM2 O95897
IGHV4-59 P01825
CYBB P04839
INHA P05111
PIM1 P11309
MYL6B P14649
FOSL1 P15407
SELE P16581
GAP43 P17677
ZP3 P21754
AADAC P22760
ACP1 P24666
FOXN2 P32314
NEDD4 P46934
CSNK1D P48730
MMP14 P50281
PCBD1 P61457
SIM1 P81133
ZBED6 P86452
PTK2 Q05397
MGAT5 Q09328
ORC1 Q13415
CUL2 Q13617
GRB14 Q14449
IL17A Q16552
SMTNL2 Q2TAL5
MAJIN Q3KP22
KRTAP20-2 Q3LI61
MMEL1 Q495T6
ERFE Q4G0M1
PLEKHG4 Q58EX7
COQ5 Q5HYK3
ANKRD20A2P Q5SQ80
LIPN Q5VXI9
ZNF518A Q6AHZ1
CAVIN1 Q6NZI2
FIP1L1 Q6UN15
MUC6 Q6W4X9
PP632 Q6XCG6
RINL Q6ZS11
NEK10 Q6ZWH5
TAFA1 Q7Z5A9
VTCN1 Q7Z7D3
PLCZ1 Q86YW0
TGIF2LX Q8IUE1
NPAS4 Q8IUM7
LIX1L Q8IVB5
ZBED8 Q8IZ13
RBFA Q8N0V3
CGAS Q8N884
IRF1-AS1 Q8N8D9
MFI Q8NCR3
SMG8 Q8ND04
MYRIP Q8NFW9
OR5B3 Q8NH48
C11orf45 Q8TAV5
MIPOL1 Q8TD10
PPP2R3C Q969Q6
TMEM106A Q96A25
STAMBPL1 Q96FJ0
SIPA1 Q96FS4
CAPNS2 Q96L46
CEP63 Q96MT8
SPATA33 Q96N06
ZNF582 Q96NG8
METTL26 Q96S19
CCDC77 Q9BR77
TIMM21 Q9BVV7
SUCNR1 Q9BXA5
CNTNAP4 Q9C0A0
OR8D2 Q9GZM6
VCX2 Q9H322
PDRG1 Q9NUG6
MIS18A Q9NYP9
MAT2B Q9NZL9
OR5V1 Q9UGF6
ADGRE2 Q9UHX3
FBXW2 Q9UKT8
CFAP45 Q9UL16
PCDHGB3 Q9Y5G1
CLIC4 Q9Y696
TRAV6 A0A075B6T7
TRAV34 A0A0B4J273
LOC107984156 A0A0G2JMH3
TRAJ10 A0N4Z7
CCDC78 A2IDD5
OR5K3 A6NET4
WIPF3 A6NGB9
URAD A6NGE7
SAGE2P A6NJ88
SRRM4 A7MD48
ADARB2-AS1 A8MUL3
GOLGA6L22 H0YM25
PIK3C2A O00443
UNC13B O14795
CLDN3 O15551
TBX1 O43435
DUX1 O43812
PRKY O43930
RTN3 O95197
GNA14 O95837
TBX18 O95935
GAS8 O95995
C1R P00736
INS P01308
PRM1 P04553
IGKV5-2 P06315
NEFM P07197
COX6C P09669
METTL15P1 P0C7V9
IGHV4-38-2 P0DP08
TMDD1 P0DPE3
TRAV35 P0DPF4
HSPA5 P11021
RCC1 P18754
CNR1 P21554
EVI2A P22794
GSTT1 P30711
ETV3 P41162
AVPR1B P47901
GLRB P48167
NR2C2 P49116
HMGA2 P52926
PMS2 P54278
PRSS12 P56730
PSMA6 P60900
DYNLT1 P63172
MAP2K1 Q02750
ZBTB17 Q13105
ZNF146 Q15072
RAB35 Q15286
ALG10 Q5BKT4
CT45A2 Q5DJT8
CENPW Q5EE01
PLEKHS1 Q5SXH7
NUGGC Q68CJ6
ARID2 Q68CP9
DARS2 Q6PI48
MDGA2 Q7Z553
EMSY Q7Z589
FRMD5 Q7Z6J6
RBM23 Q86U06
DTX2 Q86UW9
NRAP Q86VF7
RELL1 Q8IUW5
SULF1 Q8IWU6
OR2L5 Q8NG80
OR9A2 Q8NGT5
CHD6 Q8TD26
LINC00476 Q8WZB0
TOMM6 Q96B49
TUBGCP3 Q96CW5
PTCD3 Q96EY7
CFAP36 Q96G28
ZNF521 Q96K83
OR2A5 Q96R48
SLC30A2 Q9BRI3
C1orf50 Q9BV19
SPATA5L1 Q9BVQ7
GSX2 Q9BZM3
UBE2O Q9C0C9
SEMA6A Q9H2E6
WNK1 Q9H4A3
DPEP2 Q9H4A9
JPT2 Q9H910
BCL2L10 Q9HD36
MMP25 Q9NPA2
KCNH7 Q9NS40
FGFR1OP2 Q9NVK5
COMMD8 Q9NX08
TLR7 Q9NYK1
SPG21 Q9NZD8
EHD3 Q9NZN3
GNG13 Q9P2W3
C11orf21 Q9P2W6
JPT1 Q9UK76
DNM3 Q9UQ16
HDAC5 Q9UQL6
AKT3 Q9Y243
GPR55 Q9Y2T6
ZNF281 Q9Y2X9
TRDJ3 A0A075B6W1
TRAJ53 A0A075B6W9
PMIS2 A0A1W2PS18
LOC112577516 A0A494C103
C5orf63 A6NC05
RBMY1E A6NEQ0
GOLGA6L6 A8MZA4
FTCDNL1 E5RQL4
SUMO1P1 G2XKQ0
PGRMC1 O00264
EDIL3 O43854
TECTA O75443
STAM2 O75886
TRPM2 O94759
ECM2 O94769
DBI P07108
LIPC P11150
CDH1 P12830
LAMP2 P13473
LIG1 P18858
NEB P20929
IVD P26440
STX2 P32856
SFTPD P35247
ADH7 P40394
GCLC P48506
CDC34 P49427
RGS4 P49798
ADPRH P54922
SESN2 P58004
TAS2R38 P59533
TAS2R41 P59536
TUSC3 Q13454
PRKG1 Q13976
SELPLG Q14242
TAF1C Q15572
ZNF239 Q16600
DGUOK Q16854
MPV17L Q2QL34
TUBB8 Q3ZCM7
SGO1 Q5FBB7
RNASE12 Q5GAN4
EPHA10 Q5JZY3
LIN9 Q5TKA1
ATF7IP2 Q5U623
YOD1 Q5VVQ6
FCRLB Q6BAA4
OR4F16 Q6IEY1
CRACDL Q6NV74
TMEM154 Q6P9G4
IL17REL Q6ZVW7
ARMCX2 Q7L311
WDR86 Q86TI4
MARCHF3 Q86UD3
IFNLR1 Q8IU57
PARP9 Q8IXQ6
DMRTC2 Q8IXT2
SLC38A6 Q8IZM9
ARL14EP Q8N8R7
PRSS33 Q8NF86
OR2M7 Q8NG81
OR4B1 Q8NGF8
OR51Q1 Q8NH59
CLDND2 Q8NHS1
PPP1R14C Q8TAE6
GRIN3A Q8TCU5
HPSE2 Q8WWQ2
PPDPFL Q8WWR9
MYLIP Q8WY64
THAP4 Q8WY91
TNR Q92752
ESAM Q96AP7
SDSL Q96GA7
TRMT2B Q96GJ1
ZNF578 Q96N58
ZNF385A Q96PM9
OSBPL9 Q96SU4
HNRNPAB Q99729
TM9SF2 Q99805
DPH2 Q9BQC3
DCUN1D5 Q9BTE7
IMUP Q9GZP8
SRMS Q9H3Y6
CHMP4B Q9H444
ARMC7 Q9H6L4
NOL6 Q9H6R4
SEBOX Q9HB31
SYTL2 Q9HCH5
TM9SF3 Q9HD45
DAZ1 Q9NQZ3
SIRT7 Q9NRC8
ARHGAP35 Q9NRY4
RIC8B Q9NVN3
SLC52A1 Q9NWF4
PCDH10 Q9P2E7
ZNF580 Q9UK33
OGDHL Q9ULD0
LZTS1 Q9Y250
AP4S1 Q9Y587
SNCAIP Q9Y6H5
TRAJ61 A0A075B708
TRAJ1 A0A075B713
TRAV17 A0A0B4J275
FAM168B A1KXE4
FAM187A A6NFU0
TRIM64 A6NGJ6
MANSC4 A6NHS7
LINC01549 A6NIU2
FAM170B A6NMN3
EFCAB8 A8MWE9
GGTLC3 B5MD39
ZNF195 O14628
CLGN O14967
PER2 O15055
PJA2 O43164
OR2T1 O43869
NDUFB1 O75438
TADA2A O75478
SLC25A12 O75746
PIK3C2G O75747
STARD3NL O95772
HAND1 O96004
SLC4A1 P02730
CFI P05156
SRP19 P09132
COX4I1 P13073
ENO3 P13929
CREB1 P16220
PTPN2 P17706
RAB6A P20340
HLA-DMA P28067
MC4R P32245
CDKN2B P42772
ARSF P54793
CDKN2D P55273
KRTAP10-9 P60411
RELN P78509
SKOR1 P84550
GABPA Q06546
MGAT2 Q10469
TEF Q10587
ELAVL2 Q12926
BFSP1 Q12934
SP140 Q13342
NEDD9 Q14511
OR1Q1 Q15612
WHAMMP3 Q1A5X7
C5orf64 Q2M2E5
ABCB5 Q2M3G0
PWWP3A Q2TAK8
FAM106A Q4KMX7
ARID4B Q4LE39
PIK3CD-AS1 Q5SR53
MYOM3 Q5VTT5
NUTM2G Q5VZR2
KRTAP5-11 Q6L8G4
FAHD2B Q6P2I3
GSG1L Q6UXU4
TMPRSS11A Q6ZMR5
ARHGAP36 Q6ZRI8
LRRC55 Q6ZSA7
CYP2G1P Q6ZSU1
DCXR Q7Z4W1
SLC51B Q86UW2
CASZ1 Q86V15
SCUBE1 Q8IWY4
ASCC3 Q8N3C0
SLC25A45 Q8N413
LINC00471 Q8N535
IPMK Q8NFU5
OR8G5 Q8NG78
OR1J1 Q8NGS3
CABLES1 Q8TDN4
GAB3 Q8WWW8
LCN9 Q8WX39
DPF1 Q92782
FGF14 Q92915
SPTSSA Q969W0
GBP4 Q96PP9
HS3ST6 Q96QI5
KRTAP4-12 Q9BQ66
NAA38 Q9BRA0
INPP5K Q9BT40
WAC Q9BTA9
OXCT2 Q9BYC2
SPRR2G Q9BYE4
LSG1 Q9H089
LINC00574 Q9H8X3
FGF22 Q9HCT0
ASIC5 Q9NY37
SELENON Q9NZV5
CCDC39 Q9UFE4
PADI2 Q9Y2J8
PPP2R2C Q9Y2T4
CDIN1 Q9Y2V0
KLK5 Q9Y337
PCDHGA10 Q9Y5H3
WIF1 Q9Y5W5
PTCH2 Q9Y6C5
USH1C Q9Y6N9
UHRF1BP1L A0JNW5
ZSCAN5B A6NJL1
FAM74A7 A6NL05
CAPN14 A8MX76
TRIM49D1 C9J1S8
STMND1 H3BQB6
RHOD O00212
DLGAP1 O14490
GAPDHS O14556
SLC16A4 O15374
MEGF6 O75095
GCAT O75600
SLC34A2 O95436
PPP1R3D O95685
APOC2 P02655
LINC00032 P0C843
NR2F1 P10589
NCAM1 P13591
TRIM27 P14373
RAG1 P15918
ZNF37A P17032
GOT1 P17174
CHRM3 P20309
NTF3 P20783
ACHE P22303
CCND2 P30279
GABRA3 P34903
IL13 P35225
PTGER4 P35408
GRM5 P41594
ATP5MJ P56378
CCL8 P80075
FABP5 Q01469
COX6A2 Q02221
GUCY2D Q02846
PRKD1 Q15139
CYTH1 Q15438
TNXA Q16473
GEN1 Q17RS7
SWI5 Q1ZZU3
ADPRM Q3LIE5
BBS9 Q3SYG4
RILPL1 Q5EBL4
DOCK11 Q5JSL3
SYDE2 Q5VT97
CTRB2 Q6GPI1
PMF1 Q6P1K2
CLEC2A Q6UVW9
SLC49A3 Q6UXD7
SEPTIN14 Q6ZU15
UBE3B Q7Z3V4
RALYL Q86SE5
RTN4RL1 Q86UN2
ALYREF Q86V81
PDZD9 Q8IXQ8
CLASRP Q8N2M8
ANKRD36B Q8N2N9
D2HGDH Q8N465
RNF152 Q8N8N0
OR14K1 Q8NGZ2
GADD45GIP1 Q8TAE8
ZNF461 Q8TAF7
FIBIN Q8TAL6
ARRDC2 Q8TBH0
RNF139 Q8WU17
SMPDL3A Q92484
GCN1 Q92616
HPS3 Q969F9
SLC45A3 Q96JT2
SNX27 Q96L92
CXorf58 Q96LI9
FCRL4 Q96PJ5
LYST Q99698
COL12A1 Q99715
EPAS1 Q99814
RAB5IF Q9BUV8
C1QTNF6 Q9BXI9
HEMGN Q9BXL5
NUF2 Q9BZD4
PBOV1 Q9GZY1
UBTD1 Q9HAC8
GNB4 Q9HAV0
SPACA1 Q9HBV2
OSTC Q9NRP0
C20orf141 Q9NUB4
ANO10 Q9NW15
OXSM Q9NWU1
DUS2 Q9NX74
KLHL28 Q9NXS3
HAO2 Q9NYQ3
TMOD4 Q9NZQ9
CCDC167 Q9P0B6
CC2D2A Q9P2K1
ZNF777 Q9ULD5
NDRG2 Q9UN36
APOBEC2 Q9Y235
VDAC3 Q9Y277
WDR83OS Q9Y284
TOGARAM1 Q9Y4F4
PCDHGA1 Q9Y5H4
TRAJ57 A0A075B704
TRBJ2-2 A0A0A0MT94
TRBV4-2 A0A539
SLC22A23 A1A5C7
MAGEA13P A6NCF6
GNAT3 A8MTJ3
FAM220BP B1ANY3
TLR4 O00206
CEP290 O15078
OGT O15294
SH3BP5 O60239
DTNB O60941
SERPINI2 O75830
TOX4 O94842
USP19 O94966
NXPH2 O95156
IGHV1-69 P01742
HMGN1 P05114
HPN P05981
C8B P07358
CSN3 P07498
CD3E P07766
NUDT17 P0C025
ZNF286B P0CG31
GAGE12F P0CL80
FABP2 P12104
ZSCAN20 P17040
HNRNPA2B1 P22626
PSMA4 P25789
IQGAP1 P46940
OR3A1 P47881
IFNAR2 P48551
RAB27A P51159
BCAP31 P51572
CCR3 P51677
ACLY P53396
OR2B8P P59922
ERVK11-1 P61568
HBG2 P69892
CSNK1G2 P78368
BEX3 Q00994
ROR1 Q01973
MBTD1 Q05BQ5
CHRND Q07001
HSPA14 Q0VDF9
RPS6KA2 Q15349
SURF2 Q15527
EXOC3L2 Q2M3D2
ARHGAP21 Q5T5U3
ELP2 Q6IA86
GOLM2 Q6P4E1
TTC37 Q6PGP7
FOXR1 Q6PIV2
KYAT3 Q6YP21
PRR23C Q6ZRP0
TMPRSS7 Q7RTY8
PABIR2 Q7Z309
ADSS1 Q8N142
AGGF1 Q8N302
PHTF2 Q8N3S3
GTPBP8 Q8N3Z3
PIP4P2 Q8N4L2
POU5F2 Q8N7G0
ZNF680 Q8NEM1
GEMIN5 Q8TEQ6
SLC22A17 Q8WUG5
TMEM239 Q8WW34
IGFBPL1 Q8WX77
AUTS2 Q8WXX7
RNF34 Q969K3
TMEM159 Q96B96
FAM89A Q96GI7
MARK4 Q96L34
TRERF1 Q96PN7
AGAP2 Q99490
EPYC Q99645
TSG101 Q99816
SLF1 Q9BQI6
UPK3B Q9BT76
CADM1 Q9BY67
INTS2 Q9H0H0
UPF3A Q9H1J1
RSPH9 Q9H1X1
TASL Q9HAI6
PCDH18 Q9HCL0
RBM22 Q9NW64
GSKIP Q9P0R6
C5AR2 Q9P296
ABCD2 Q9UBJ2
OR14J1 Q9UGF5
RWDD2A Q9UIY3
ADAMTS6 Q9UKP5
CBLC Q9ULV8
COG5 Q9UP83
AP4E1 Q9UPM8
CHTOP Q9Y3Y2
FAM32A Q9Y421
ICOS Q9Y6W8
MORC2 Q9Y6X9
TRAV12-1 A0A0B4J245
TRBJ1-4 A0A0J9YXG5
TRBJ1-5 A0A0J9YXM7
TRBV5-8 A0A5A2
SLC66A1L A1A4F0
MEGF11 A6BM72
CDHR4 A6H8M9
CEACAM18 A8MTB9
LEUTX A8MZ59
FAM25A B3EWG3
GRM8 O00222
LEFTY2 O00292
FPGT O14772
HAT1 O14929
SLC16A6 O15403
SLC31A2 O15432
EPB41L2 O43491
CHMP2A O43633
CALU O43852
TPST1 O60507
PIAS1 O75925
KDM4B O94953
TNKS O95271
CD2 P06729
USP17L7 P0C7H9
FAM228B P0C875
CKB P12277
TAL1 P17542
MAOA P21397
MDK P21741
G0S2 P27469
RPL4 P36578
OPRK1 P41145
VEGFC P49767
MMP15 P51511
CDR1 P51861
GTF2A1 P52655
PLK1 P53350
GNG2 P59768
GPR85 P60893
IFT88 Q13099
SNX1 Q13596
KCNC3 Q14003
ZNF266 Q14584
KRT31 Q15323
CHI3L2 Q15782
CSPP1 Q1MSJ5
CLEC16A Q2KHT3
MRPL51 Q4U2R6
ZNF789 Q5FWF6
IBA57 Q5T440
GPRC6A Q5T6X5
CCDC181 Q5TID7
HAUS3 Q68CZ6
RNF19B Q6ZMZ0
XIRP1 Q702N8
HOGA1 Q86XE5
RHPN2 Q8IUC4
MMAA Q8IVH4
RHOT2 Q8IXI1
CCDC170 Q8IYT3
BBS5 Q8N3I7
ZC3H8 Q8N5P1
ST20-AS1 Q8NBB2
PSD4 Q8NDX1
OR6B3 Q8NGW1
GAS2L2 Q8NHY3
USP33 Q8TEY7
CHAC2 Q8WUX2
CAVIN3 Q969G5
SPSB1 Q96BD6
SKA1 Q96BD8
PHYHIPL Q96FC7
LINC00052 Q96N35
LMF2 Q9BU23
LRRC3 Q9BY71
DOCK9 Q9BZ29
IL25 Q9H293
KCNF1 Q9H3M0
SCAF1 Q9H7N4
GBA2 Q9HCG7
TP53AIP1 Q9HCN2
CYP4F12 Q9HCS2
PREB Q9HCU5
SAYSD1 Q9NPB0
SLC22A11 Q9NSA0
C1orf112 Q9NSG2
OLA1 Q9NTK5
ARL15 Q9NXU5
USE1 Q9NZ43
JCAD Q9P266
ZNF319 Q9P2F9
TRPC4 Q9UBN4
HERC5 Q9UII4
NUDT5 Q9UKK9
NAP1L2 Q9ULW6
CIAO2B Q9Y3D0
CABIN1 Q9Y6J0
SPACA6 W5XKT8
ETDC A0A1B0GVM5
TAF11L3 A0A1W2PRV1
FER1L5 A0AVI2
GSAP A4D1B5
VSTM2B A6NLU5
TSPAN4 O14817
DEFB4A O15263
OR1F1 O43749
UTS2 O95399
ZMYM6 O95789
CYB5A P00167
NEFL P07196
ATXN1L P0C7T5
UGT2A1 P0DTE4
ACP2 P11117
IMPDH2 P12268
COL9A1 P20849
CBL P22681
CANX P27824
TTC3 P53804
ELL P55199
NLRP11 P59045
RPS14 P62263
PLIN5 Q00G26
GALK2 Q01415
LRP1 Q07954
TLE5 Q08117
NCBP1 Q09161
SLA Q13239
SGCG Q13326
ERV3-1 Q14264
SLC39A14 Q15043
TAF5 Q15542
MAPKAPK3 Q16644
CYP1B1 Q16678
SUPT20HL1 Q3ZLR7
AARD Q4LEZ3
LCE1A Q5T7P2
FNDC7 Q5VTL7
SPATA31A5 Q5VU36
TIGD7 Q6NT04
CORO6 Q6QEF8
UNQ5815/PRO19632 Q6UWF5
ZNF782 Q6ZMW2
ZNF813 Q6ZN06
ACAD11 Q709F0
NLRC3 Q7RTR2
ZNF551 Q7Z340
TMEM144 Q7Z5S9
SAPCD2 Q86UD0
PLA2G4D Q86XP0
TMEM25 Q86YD3
BBS7 Q8IWZ6
REM2 Q8IYK8
RBIS Q8N0T1
TMEM61 Q8N0U2
SMIM20 Q8N5G0
C2orf73 Q8N5S3
ARL10 Q8N8L6
FER1L6-AS1 Q8NA97
MLKL Q8NB16
OR9Q1 Q8NGQ5
RHOXF1 Q8NHV9
IL1F10 Q8WWZ1
MUC16 Q8WXI7
STARD8 Q92502
LPP Q93052
ARSG Q96EG1
PPP1R16A Q96I34
ANKRD36BP1 Q96IX9
SIGLEC10 Q96LC7
CCDC17 Q96LX7
ZNF599 Q96NL3
OR5B12 Q96R08
TRIB3 Q96RU7
SLC25A33 Q9BSK2
HGH1 Q9BTY7
ADGRE3 Q9BY15
YTHDF1 Q9BYJ9
ASXL3 Q9C0F0
DDX47 Q9H0S4
TAF1D Q9H5J8
TUFT1 Q9NNX1
MRPL17 Q9NRX2
AGPAT3 Q9NRZ7
TCP11L1 Q9NUJ3
MARCHF5 Q9NX47
BARHL2 Q9NY43
ANAPC11 Q9NYG5
UNC79 Q9P2D8
HHLA2 Q9UM44
PLAGL1 Q9UM63
TNRC6B Q9UPQ9
RPH3A Q9Y2J0
GDA Q9Y2T3
MAP3K2 Q9Y2U5
SLC45A1 Q9Y2W3
SHANK1 Q9Y566
RAI2 Q9Y5P3
TRAJ13 A0A075B709
OR2A25 A0A126GWI2
TEX51 A0A1B0GUA7
USP27X A6NNY8
ZNF705F A8MVS1
ACOT7 O00154
SYNJ2 O15056
LSM1 O15116
LAMA5 O15230
FIBP O43427
TLX2 O43763
SLIT1 O75093
MED6 O75586
ATP6AP2 O75787
KCNK2 O95069
ESRRB O95718
WNT11 O96014
COL1A1 P02452
HLA-DOA P06340
GLI1 P08151
FAM163B P0C2L3
IGKV1-13 P0DP09
SNHG28 P0DPA3
SPDYE14 P0DUD3
IDE P14735
COMT P21964
IDS P22304
CD82 P27701
PTPN6 P29350
PRKAR2B P31323
H2BC3 P33778
EPHX2 P34913
RFX3 P48380
ZNF135 P52742
TAS2R60 P59551
SCN7A Q01118
PLCB3 Q01970
GOLGA3 Q08378
RBBP4 Q09028
STX4 Q12846
ALCAM Q13740
BYSL Q13895
SCARB2 Q14108
EFR3A Q14156
SCARF1 Q14162
GSE1 Q14687
PCBP2 Q15366
ZFHX3 Q15911
SMIM43 Q4W5P6
NMS Q5H8A3
CALHM6 Q5R3K3
LRCH2 Q5VUJ6
CHADL Q6NUI6
UFSP1 Q6NVU6
C6orf89 Q6UWU4
CD300LG Q6UXG3
CYP26C1 Q6V0L0
SCGB1D4 Q6XE38
ADGRA1 Q86SQ6
ILDR1 Q86SU0
GPHB5 Q86YW7
IFNL1 Q8IU54
SLITRK4 Q8IW52
VKORC1L1 Q8N0U8
LRRC47 Q8N1G4
C17orf78 Q8N4C9
CARNMT1 Q8N4J0
KIF2B Q8N4N8
BMPER Q8N8U9
