enst_id	length	syn_prob	syn_count	mis_prob	mis_count	syn_exp	mis_exp
ENST00000020673	1024	4.089e-5	263	9.898e-5	496	256.2367150067407	619.0947523877587
ENST00000020926	426	1.829e-5	113	3.858e-5	232	115.0662614895948	241.80734564282005
ENST00000020945	268	8.659e-6	61	1.953e-5	101	54.906410258460625	122.81189699230546
ENST00000023064	487	2.255e-5	136	4.316e-5	248	141.6762673295524	270.41622516089654
ENST00000023939	336	1.14e-5	55	2.657e-5	119	72.02801260759766	166.78711791092084
ENST00000024061	798	4.613e-5	295	8.767e-5	484	288.96827148593735	548.4470608267445
ENST00000025008	1594	3.596e-5	315	1.026e-4	699	225.4415674032217	641.7070108714785
ENST00000025301	1901	4.559e-5	375	1.218e-4	935	285.59517215411176	761.6394315586114
ENST00000025399	363	9.925e-6	55	2.617e-5	107	62.81445424751845	164.28852581327223
ENST00000026218	760	3.675e-5	268	7.652e-5	489	230.3762867960777	478.7988061047898
ENST00000027335	832	2.392e-5	192	6.112e-5	427	150.23394526399886	382.60301034531864
ENST00000029410	327	1.573e-5	100	3.539e-5	224	99.07527206464377	221.88107366407246
ENST00000033079	915	2.027e-5	149	6.088e-5	397	127.43429237295538	381.1038550867295
ENST00000035307	772	2.92e-5	210	8.074e-5	528	183.2153609529604	505.1589527349825
ENST00000035383	1537	4.233e-5	320	1.121e-4	529	265.2316465582757	701.0485731906327
ENST00000037243	117	4.437e-6	26	9.641e-6	38	28.533770667779656	61.04045385818794
ENST00000037502	504	1.595e-5	122	4.037e-5	253	100.4494977183505	252.98854527979753
ENST00000037869	138	3.932e-6	28	1.19e-5	81	25.379298144498296	75.15125272965841
ENST00000039007	354	9.863e-6	51	2.577e-5	85	62.427172472382914	161.78993371562362
ENST00000039989	1141	3.248e-5	235	8.691e-5	518	203.7038161536789	543.6997358412121
ENST00000040584	242	1.255e-5	75	2.468e-5	112	79.21146488833739	154.9812702495312
ENST00000040663	369	1.965e-5	95	4.24e-5	204	123.56147462160004	265.6689001753642
ENST00000040738	3051	8.33e-5	568	2.134e-4	1434	521.1499421599335	1333.8170219201406
ENST00000040877	1621	6.399e-5	271	1.415e-4	730	400.5304086459474	884.6950923678048
ENST00000043402	473	2.405e-5	149	5.344e-5	264	151.04598769573462	334.63004207046555
ENST00000044462	261	5.857e-6	41	1.784e-5	52	37.403772614432185	112.25534537974012
ENST00000046087	351	1.006e-5	84	3.051e-5	158	63.65772908047485	191.39825007275954
ENST00000046794	533	1.899e-5	100	4.373e-5	232	119.43879766047985	273.9767189000458
ENST00000052754	359	1.049e-5	81	2.646e-5	166	66.3437155854471	166.10000508406748
ENST00000053243	184	6.295e-6	53	1.431e-5	141	40.1397309613574	90.20527011799123
ENST00000053468	201	5.746e-6	46	1.546e-5	111	36.7104133073347	97.38872239873096
ENST00000053469	201	9.483e-6	51	1.97e-5	110	60.05350997961675	123.87379863380613
ENST00000053867	593	2.466e-5	168	5.668e-5	339	154.85634064464875	354.8686380614192
ENST00000054650	239	9.94e-6	64	2.441e-5	132	62.90815145118027	153.29472058361839
ENST00000054666	100	3.55e-6	32	8.926e-6	54	22.993142691243886	56.57422048364107
ENST00000054668	139	4.085e-6	22	1.044e-5	72	26.335009621848886	66.03139157324102
ENST00000054950	331	1.319e-5	67	3.127e-5	159	83.20921224457516	196.14557505829185
ENST00000055077	354	1.427e-5	92	2.988e-5	150	89.95541090822637	187.46296751896298
ENST00000055335	799	4.643e-5	147	8.836e-5	284	290.84221555917384	552.7571321951883
ENST00000055682	1516	3.726e-5	218	1.029e-4	467	233.56199172057967	643.5809549447149
ENST00000056217	1597	5.195e-5	141	1.298e-4	377	325.3227865067245	811.6112735115834
ENST00000056233	694	2.936e-5	196	6.054e-5	520	184.21479779201982	378.9800518037282
ENST00000061240	1013	2.779e-5	217	7.693e-5	465	174.40782380874904	481.35986300487957
ENST00000062104	81	4.297e-6	17	9.389e-6	36	27.659263433602643	59.46634083666932
ENST00000064571	201	1.112e-5	56	2.019e-5	61	70.27899813924365	126.93457395342567
ENST00000064724	207	1.032e-5	50	2.074e-5	73	65.28181394394645	130.37013808769248
ENST00000064778	244	9.88e-6	63	2.048e-5	86	62.53336263653298	128.74605322422087
ENST00000064780	430	1.82e-5	131	4.299e-5	287	114.50407826762385	269.35432351939585
ENST00000070846	881	3.47e-5	211	7.808e-5	515	217.57100229562863	488.5433152856193
ENST00000072644	306	8.171e-6	47	2.237e-5	160	51.85812789932934	140.55190088561054
ENST00000072869	626	2.73e-5	147	5.841e-5	308	171.34704848912952	365.6750488837494
ENST00000074304	977	3.989e-5	236	9.173e-5	345	249.9902347626192	573.8077706178778
ENST00000075120	496	1.723e-5	131	3.953e-5	233	108.444992430826	247.7415018747355
ENST00000075503	422	1.136e-5	80	3.277e-5	230	71.77815339783281	205.51529542447412
ENST00000078429	359	2.179e-5	123	4.319e-5	84	136.92894234402004	270.60361956822015
ENST00000078445	461	2.069e-5	155	4.177e-5	253	130.0578140754864	261.73361762156765
ENST00000078527	493	1.447e-5	108	3.576e-5	241	91.20470695705067	224.19227135439743
ENST00000080059	991	4.195e-5	262	9.609e-5	399	262.8579840655095	601.0424244822475
ENST00000081029	323	1.045e-5	68	2.438e-5	176	66.09385637568224	153.10732617629475
ENST00000083182	585	1.504e-5	117	4.222e-5	151	94.76520069619993	264.5445337314223
ENST00000084798	328	1.3e-5	70	3.211e-5	115	82.02238099819206	201.39261846335395
ENST00000085068	221	9.162e-6	59	2.144e-5	138	58.04838982125374	134.74267425857755
ENST00000085219	847	3.182e-5	223	6.979e-5	438	199.58113919255868	436.759994061852
ENST00000086933	205	1.824e-5	28	3.412e-5	74	114.75393747738873	213.94804375403814
ENST00000155093	801	1.935e-5	46	5.541e-5	84	121.6875305483636	346.9356081513849
ENST00000155840	676	4.121e-5	214	7.896e-5	297	258.2355886848596	494.04021790044624
ENST00000155858	1165	5.921e-5	377	1.224e-4	719	370.6722330790466	765.3873197050841
ENST00000155926	343	1.573e-5	94	3.333e-5	141	99.07527206464377	209.01332436118219
ENST00000156084	571	3.135e-5	81	6.593e-5	45	196.6452934778216	412.6485803195431
ENST00000156109	476	1.763e-5	81	4.527e-5	166	110.9435845284746	283.59629847599285
ENST00000156471	1485	3.549e-5	273	1.089e-4	495	222.5057216884846	681.059836409444
ENST00000156626	600	2.095e-5	143	4.984e-5	337	131.681898938958	312.1427131916281
ENST00000156825	259	1.731e-5	123	3.147e-5	140	108.94471085035572	197.3948711071162
ENST00000157600	365	1.446e-5	80	3.517e-5	205	91.14224215460946	220.5068480103657
ENST00000157812	418	1.623e-5	112	3.907e-5	100	102.1985121867045	244.86812096243955
ENST00000158009	324	1.128e-5	83	2.525e-5	170	71.2784349783031	158.54176398868046
ENST00000158166	520	2.192e-5	126	4.636e-5	238	137.74098477575586	290.4049619420853
ENST00000158762	740	2.789e-5	150	7.142e-5	290	175.0324718331612	446.9417568597701
ENST00000158771	239	7.216e-6	56	2.011e-5	75	45.8927392661933	126.43485553389593
ENST00000159060	568	1.899e-5	145	4.574e-5	322	119.43879766047985	286.53214419073
ENST00000159087	1232	7.27e-5	278	1.509e-4	494	454.93725157224566	943.412006662547
ENST00000159111	1096	6.385e-5	364	1.25e-4	460	399.65590141177034	781.6281683398001
ENST00000160262	547	2.843e-5	164	5.745e-5	310	178.4055711649868	359.67842784939273
ENST00000160373	1663	5.009e-5	338	1.242e-4	819	313.70433325265856	776.6309841445029
ENST00000160382	426	2.008e-5	115	4.178e-5	111	126.24746112657229	261.7960824240089
ENST00000160827	665	2.378e-5	190	6.493e-5	388	149.35943802982183	406.4021000754216
ENST00000161006	317	1.423e-5	84	3.107e-5	151	89.7055516984615	194.89627900946758
ENST00000161559	526	1.607e-5	116	3.854e-5	254	101.19907534764508	241.55748643305517
ENST00000161863	1430	3.496e-5	302	1.063e-4	698	219.19508715910018	664.818987774728
ENST00000162023	368	1.796e-5	87	3.94e-5	146	113.00492300903471	246.9294594429997
ENST00000162044	479	2.207e-5	123	4.713e-5	252	138.67795681237408	295.2147517300589
ENST00000162391	574	1.637e-5	122	4.613e-5	283	103.07301942088152	288.96827148593735
ENST00000162749	455	2.12e-5	117	4.415e-5	169	133.24351899998837	276.60024060257683
ENST00000163416	731	1.859e-5	136	5.385e-5	344	116.94020556283125	337.19109897055534
ENST00000164024	3312	1.552e-4	826	3.586e-4	1559	970.2718717122694	2240.805953366583
ENST00000164133	497	1.828e-5	119	4.569e-5	178	115.0037966871536	286.2198201785239
ENST00000164139	842	3.607e-5	226	8.739e-5	485	226.12868023007508	546.6980463583905
ENST00000164227	454	2.988e-5	73	5.81e-5	140	187.46296751896298	363.73864000807174
ENST00000164305	554	1.329e-5	89	3.907e-5	235	83.8338602689873	244.86812096243955
ENST00000164640	769	4.221e-5	169	9.405e-5	238	264.48206892898105	588.2996047842396
ENST00000165524	87	3.753e-6	34	1.016e-5	75	24.26117818080055	64.282377104887
ENST00000166139	263	1.905e-5	60	3.631e-5	77	119.81358647512714	227.62783548866426
ENST00000166244	1005	5.392e-5	275	1.184e-4	631	337.62835258764386	740.4013987285982
ENST00000166345	432	1.629e-5	114	3.471e-5	132	102.57330100135181	217.63346709806981
ENST00000167106	365	1.825e-5	83	4.193e-5	158	114.81640227982994	262.73305446062705
ENST00000167586	472	2.004e-5	151	4.7e-5	252	125.99760191680744	294.40270929832303
ENST00000167588	424	1.363e-5	108	3.547e-5	227	85.95766355198862	222.38079208360216
ENST00000168148	211	6.625e-6	48	1.672e-5	134	42.2010694419175	105.25928750632404
ENST00000168216	261	1e-5	41	2.421e-5	35	63.28294026582756	152.04542453479408
ENST00000168712	206	1.644e-5	47	2.783e-5	68	103.51027303797002	174.65768301851392
ENST00000168977	230	1.127e-5	75	2.357e-5	150	71.21597017586187	148.0476771785563
ENST00000169298	406	1.193e-5	86	2.999e-5	174	75.33864713698206	188.15008034581635
ENST00000169551	248	8.646e-6	55	2.129e-5	130	54.825206015287044	133.8057022219593
ENST00000170150	458	1.948e-5	129	3.907e-5	238	122.49957298009939	244.86812096243955
ENST00000170168	1221	6.942e-5	451	1.395e-4	757	434.44879637152707	872.2021318795619
ENST00000170447	416	1.38e-5	107	3.536e-5	215	87.01956519348927	221.69367925674882
ENST00000170564	931	3.185e-5	195	7.547e-5	466	199.76853359988235	472.24000184846216
ENST00000171111	624	3.3e-5	182	6.999e-5	205	206.9519858806221	438.0092901106764
ENST00000171757	339	8.875e-6	52	2.595e-5	91	56.25564999119087	162.9143001595655
ENST00000171887	1735	6.727e-5	442	1.567e-4	986	421.01886384666585	979.6415920784516
ENST00000172229	427	2.673e-5	123	4.945e-5	215	167.78655474998027	309.7065858964208
ENST00000173229	604	4.419e-5	152	8.503e-5	247	276.8500998123417	531.9563529822638
ENST00000173527	298	1.548e-5	76	2.974e-5	149	97.51365200361339	186.58846028478598
ENST00000173898	1431	4.153e-5	205	1.048e-4	478	260.23446236297843	655.4492674085458
ENST00000174618	582	2.864e-5	189	5.661e-5	285	179.71733201625233	354.4313844443307
ENST00000175091	233	7.29e-6	47	1.922e-5	127	46.354978804258295	120.87548811662779
ENST00000175238	754	1.948e-5	149	5.238e-5	408	122.49957298009939	328.00877301169675
ENST00000175506	561	1.514e-5	101	4.225e-5	206	95.38984872061208	264.73192813874596
ENST00000175756	460	2.557e-5	100	5.349e-5	228	160.54063766679934	334.9423660826716
ENST00000176183	419	3.705e-5	179	6.35e-5	314	232.25023086931415	397.4696333263278
ENST00000176195	121	7.179e-6	36	1.515e-5	60	45.66161949716081	95.45231352305329
ENST00000176763	968	3.936e-5	253	9.462e-5	477	246.67960023323482	591.860098523389
ENST00000177648	1244	3.869e-5	265	8.959e-5	688	242.4944584696734	560.4403028954578
ENST00000177694	535	3.001e-5	110	6.006e-5	220	188.27500995069877	375.98174128654983
ENST00000177742	225	1.551e-5	58	3.356e-5	143	97.70104641093702	210.4500148173301
ENST00000178638	354	1.555e-5	100	3.082e-5	193	97.95090562070189	193.3346589484372
ENST00000178640	448	1.396e-5	90	3.465e-5	153	88.01900203254871	217.25867828342257
ENST00000179259	270	7.513e-6	49	1.995e-5	100	47.747943898697386	125.4354186948365
ENST00000180166	211	1.068e-5	53	2.21e-5	121	67.53054683183018	138.86535121969771
ENST00000180173	660	1.968e-5	185	5.342e-5	449	123.74886902892369	334.5051124655831
ENST00000181383	423	1.237e-5	101	3.149e-5	188	78.08709844439552	197.51980071199858
ENST00000181796	306	1.092e-5	76	2.522e-5	199	69.02970209041935	158.3543695813568
ENST00000181839	1512	5.739e-5	299	1.446e-4	507	359.30363903474546	904.0591811245814
ENST00000182290	320	1.391e-5	83	3.07e-5	195	87.70667802034264	192.58508131914263
ENST00000182527	370	1.353e-5	86	3.145e-5	137	85.33301552757646	197.26994150223373
ENST00000183605	261	1.088e-5	62	2.296e-5	136	68.77984288065448	144.2373242296422
ENST00000184183	212	8.053e-6	56	1.869e-5	113	51.121043230523	117.56485358724339
ENST00000184266	129	5.047e-6	27	1.304e-5	80	32.34412361669377	82.27224020795693
ENST00000184956	1181	3.591e-5	230	8.924e-5	567	225.12924339101565	558.2540348100152
ENST00000185150	483	1.453e-5	102	3.61e-5	216	91.57949577169796	226.31607463739874
ENST00000185206	410	1.403e-5	108	3.217e-5	213	88.45625564963721	201.76740727800123
ENST00000186436	1883	6.052e-5	363	1.432e-4	744	378.8551221988458	895.3141087828114
ENST00000187762	299	1.373e-5	91	2.73e-5	136	86.58231157640077	171.34704848912952
ENST00000188312	396	9.494e-6	61	2.78e-5	122	60.12222126230208	174.47028861119028
ENST00000188790	760	1.994e-5	147	5.325e-5	352	125.37295389239527	333.4432108240824
ENST00000190165	472	2.804e-5	157	5.26e-5	342	175.96944386977944	329.3829986654035
ENST00000192314	398	2.833e-5	98	5.517e-5	222	177.78092314057469	345.4364528927957
ENST00000192788	1440	3.777e-5	274	1.06e-4	698	236.74769664508162	662.9450437014916
ENST00000193322	334	1.296e-5	75	2.878e-5	138	81.7725217884272	180.59183925042933
ENST00000193391	1241	3.077e-5	238	8.267e-5	630	193.02233493623112	517.214659606137
ENST00000194118	515	1.774e-5	135	4.241e-5	260	111.63069735532798	265.7313649778054
ENST00000194130	595	1.592e-5	111	4.208e-5	283	100.26210331102685	263.67002649724526
ENST00000194152	795	4.022e-5	276	7.572e-5	493	252.0515732431793	473.80162190949255
ENST00000194155	798	4.556e-5	229	7.956e-5	482	285.4077777467881	497.78810604691915
ENST00000194214	144	3.905e-6	32	9.37e-6	57	25.210643177907016	59.347657712031015
ENST00000194530	418	9.982e-6	79	2.744e-5	142	63.170503621433376	172.22155572330655
ENST00000194900	849	3.037e-5	131	7.44e-5	191	190.5237428385825	465.5562679872522
ENST00000196061	727	3.29e-5	206	7.235e-5	405	206.32733785620994	452.7509834868031
ENST00000196371	520	1.468e-5	113	4.06e-5	166	92.5164678083162	254.42523573594545
ENST00000196489	594	1.623e-5	122	4.12e-5	261	102.1985121867045	258.17312388241834
ENST00000196548	575	2.057e-5	136	4.856e-5	262	129.30823644619184	304.1472184791526
ENST00000197268	622	2.155e-5	173	4.973e-5	317	135.4297870854309	311.4556003647748
ENST00000198536	303	9.848e-6	84	2.458e-5	153	62.33347526872109	154.35662222511903
ENST00000198767	651	2.052e-5	162	4.935e-5	374	128.99591243398575	309.0819378720086
ENST00000198801	334	1.23e-5	81	3.027e-5	217	77.64984482730702	189.89909481417038
ENST00000198939	927	4.765e-5	248	1.021e-4	286	298.46292145700204	638.5837707494178
ENST00000199280	271	1.418e-5	95	2.821e-5	136	89.39322768625543	177.03134551128008
ENST00000199320	313	8.704e-6	59	2.498e-5	155	55.187501869446095	156.85521432276764
ENST00000199389	630	2.172e-5	146	5.011e-5	308	136.49168872693153	313.8292628575409
ENST00000199447	588	1.527e-5	132	4.078e-5	309	96.20189115234788	255.54960217988733
ENST00000199448	224	1.048e-5	54	2.253e-5	131	66.28125078300589	141.55133772466996
ENST00000199706	256	1.096e-5	127	2.515e-5	201	69.27956130018421	157.9171159642683
ENST00000199708	142	1.156e-5	41	1.772e-5	62	73.0274494466571	111.50576775044554
ENST00000199764	344	1.259e-5	95	2.716e-5	199	79.46132409810225	170.47254125495252
ENST00000199814	420	1.066e-5	65	3.321e-5	101	67.40561722694775	208.2637467318876
ENST00000199936	387	1.283e-5	129	2.855e-5	274	80.96047935669142	179.1551487942814
ENST00000200135	779	2.02e-5	137	5.452e-5	374	126.99703875586687	341.3762407341168
ENST00000200181	1822	9.067e-5	520	1.959e-4	1055	567.1865015591089	1224.5036176480144
ENST00000200453	674	2.091e-5	170	5.622e-5	408	131.43203972919315	351.9952571491233
ENST00000200457	476	2.332e-5	134	4.837e-5	278	146.48605711752595	302.9603872327695
ENST00000200557	769	3.599e-5	166	7.959e-5	285	225.62896181054535	497.97550045424276
ENST00000200652	551	2.183e-5	145	4.879e-5	253	137.17880155378492	305.58390893530054
ENST00000200676	493	1.817e-5	131	3.926e-5	286	114.31668386030023	246.05495220882267
ENST00000200691	68	2.472e-6	17	5.299e-6	26	16.259436988080907	33.918236638212385
ENST00000201031	450	2.372e-5	108	4.433e-5	133	148.98464921517456	277.72460704651866
ENST00000201586	365	1.748e-5	106	3.856e-5	190	110.00661249185637	241.6824160379376
ENST00000201647	723	4.644e-5	213	9.307e-5	420	290.9046803616151	582.1780541450006
ENST00000201979	298	1.223e-5	74	3.42e-5	170	77.2125912102185	214.44776217356787
ENST00000202017	133	4.251e-6	23	1.11e-5	56	27.371925342373054	70.15406853436122
ENST00000202556	1090	4.419e-5	276	9.828e-5	542	276.8500998123417	614.7222162168736
ENST00000202625	706	2.989e-5	190	6.715e-5	463	187.5254323214042	420.26928621737136
ENST00000202677	1873	5.601e-5	396	1.418e-4	858	350.6834962978578	886.5690364410414
ENST00000202773	288	8.878e-6	67	2.395e-5	128	56.27438943192324	150.4213396713225
ENST00000202816	851	1.936e-5	148	5.688e-5	389	121.74999535080481	356.1179341102435
ENST00000202831	584	2.392e-5	155	5.001e-5	317	150.23394526399886	313.2046148331288
ENST00000202967	314	1.128e-5	73	2.862e-5	159	71.2784349783031	179.5924024113699
ENST00000203001	497	1.417e-5	109	3.857e-5	218	89.33076288381422	241.7448808403788
ENST00000203166	633	2.554e-5	157	6.324e-5	330	160.35324325947568	395.84554846285624
ENST00000203407	480	1.93e-5	133	4.869e-5	262	121.37520653615753	304.9592609108884
ENST00000203556	970	4.578e-5	240	1.019e-4	433	286.78200340049483	637.3344747005934
ENST00000203629	525	2.255e-5	127	5.271e-5	246	141.6762673295524	330.07011149225684
ENST00000203630	248	8.129e-6	49	2.834e-5	109	51.59577572907623	177.84338794301587
ENST00000203664	234	9.871e-6	69	2.044e-5	120	62.47714431433588	128.49619401445602
ENST00000204517	338	1.557e-5	98	3.665e-5	150	98.07583522558431	229.75163877166557
ENST00000204549	485	3.074e-5	67	6.435e-5	150	192.83494052890748	402.77914153383114
ENST00000204566	308	8.581e-6	67	2.275e-5	124	54.41918479941915	142.9255633783767
ENST00000204604	955	4.432e-5	247	1.013e-4	447	277.6621422440775	633.5865865541206
ENST00000204615	353	1.107e-5	105	2.673e-5	172	69.96667412703758	167.78655474998027
ENST00000204679	305	1.668e-5	135	3.141e-5	238	105.00942829655918	197.02008229246889
ENST00000204726	1498	6.857e-5	450	1.373e-4	877	429.13928816402387	858.4598753424946
ENST00000204961	346	1.447e-5	67	3.364e-5	102	91.20470695705067	210.94973323685986
ENST00000205061	1203	4.06e-5	335	1.068e-4	526	254.42523573594545	667.9422278967887
ENST00000205143	618	4.546e-5	182	8.581e-5	316	284.783129722376	536.8286075726785
ENST00000205194	206	1.194e-5	49	2.556e-5	82	75.40111193942327	160.4781728643581
ENST00000205214	1098	2.713e-5	196	7.115e-5	532	170.28514684762885	445.2552071938573
ENST00000205386	1761	5.253e-5	342	1.318e-4	935	328.94574504831496	824.1042339998263
ENST00000205402	509	1.223e-5	100	3.482e-5	206	77.2125912102185	218.3205799249232
ENST00000205557	1503	6.101e-5	415	1.328e-4	915	381.9158975184653	830.3507142439478
ENST00000205636	183	6.067e-6	35	1.448e-5	72	38.715533465697696	91.26717175949189
ENST00000205890	3530	1.692e-4	854	3.721e-4	1951	1057.7225951299702	2325.1334366622227
ENST00000205948	345	1.042e-5	80	2.575e-5	182	65.9064619683586	161.6650041107412
ENST00000206020	227	7.289e-6	68	2.039e-5	108	46.34873232401417	128.18387000224993
ENST00000206380	257	1.245e-5	70	2.76e-5	116	78.58681686392524	173.22099256236598
ENST00000206423	950	3.081e-5	223	8.01e-5	525	193.27219414599597	501.1612053787447
ENST00000206474	363	1.008e-5	61	2.701e-5	163	63.782658685357276	169.5355692183343
ENST00000206513	281	1.286e-5	92	3.014e-5	180	81.14787376401506	189.0870523824346
ENST00000206542	335	1.161e-5	61	3.117e-5	169	73.33977345886319	195.52092703387973
ENST00000206595	706	1.563e-5	95	4.717e-5	236	98.45062404023162	295.46461093982373
ENST00000206765	817	3.243e-5	240	8.176e-5	499	203.3914921414728	511.53036258398646
ENST00000207157	496	1.348e-5	86	3.63e-5	220	85.02069151537039	227.56537068622302
ENST00000207457	430	1.617e-5	102	4.064e-5	265	101.82372337205722	254.67509494571033
ENST00000207549	1090	4.737e-5	283	1.051e-4	631	296.71390698864803	657.3232114817822
ENST00000207870	536	1.854e-5	119	4.438e-5	294	116.62788155062518	278.03693105872475
ENST00000209540	355	1.212e-5	78	2.752e-5	229	76.52547838336514	172.72127414283625
ENST00000209668	375	1.04e-5	78	2.681e-5	203	65.78153236347617	168.28627316950997
ENST00000209718	422	1.406e-5	91	3.54e-5	238	88.64365005696085	221.94353846651367
ENST00000209728	560	1.322e-5	99	3.804e-5	242	83.39660665189881	238.43424631099444
