ENST00000390247 A0/A0/75B6H7/swissmodel/18_116_5wt9.1.B
ENST00000484817 A0/A0/C4DH68/swissmodel/20_120_5drx.2.B
ENST00000493819 A0/A0/C4DH69/swissmodel/23_117_3bn9.1.B
ENST00000464162 A0/A0/C4DH72/swissmodel/23_117_6cyf.4.B
ENST00000480492 A0/A0/C4DH73/swissmodel/23_117_6i04.1.C
ENST00000390364 A0/A0/K0K1A3/swissmodel/20_114_3qeq.1.D
ENST00000390368 A0/A0/K0K1A5/swissmodel/21_114_5men.1.D
ENST00000417977 A0/A0/K0K1B3/swissmodel/18_111_3hg1.1.E
ENST00000390367 A0/A0/K0K1C0/swissmodel/21_115_5wkf.1.E
ENST00000390399 A0/A0/K0K1C4/swissmodel/20_113_3w0w.1.E
ENST00000390353 A0/A0/K0K1D8/swissmodel/21_114_4l8s.1.B
ENST00000390377 A0/A0/K0K1E9/swissmodel/20_115_5d2n.1.B
ENST00000426318 A0/A0/K0K1G8/swissmodel/20_114_3qeq.1.D
ENST00000390374 A0/A1/B0GX31/swissmodel/20_115_5d2n.1.B
ENST00000390360 A0/A1/B0GX49/swissmodel/22_114_5d5m.3.B
ENST00000390452 A0/A1/B0GX56/swissmodel/21_115_6d7g.1.B
ENST00000455382 A0/A1/B0GX68/swissmodel/21_114_6cqn.1.E
ENST00000390369 A0/A1/B0GX95/swissmodel/21_115_5wki.1.D
ENST00000390392 A0/A5/39/swissmodel/20_113_3vxm.1.E
ENST00000390387 A0/A5/76/swissmodel/20_113_3vxm.1.E
ENST00000390357 A0/A5/77/swissmodel/20_113_3vxm.1.E
ENST00000390381 A0/A5/78/swissmodel/19_114_6fr3.1.B
ENST00000390372 A0/A5/97/swissmodel/21_113_4jry.1.E
ENST00000390375 A0/A5/99/swissmodel/20_113_5nme.1.D
ENST00000390400 A0/A5/B6/swissmodel/21_113_5d7k.1.B
ENST00000422143 A0/A5/B7/swissmodel/17_110_4wo4.1.D
ENST00000322244 A0/AV/T1/swissmodel/38_1047_6dc6.2.A
ENST00000390465 A0/JD/32/swissmodel/16_114_5jzi.2.D
ENST00000390469 A0/JD/36/swissmodel/20_115_1hxm.1.A
ENST00000535880 A0/JD/37/swissmodel/19_113_1tvd.1.B
ENST00000288861 A0/PJ/X0/swissmodel/9_180_2l4h.1.A
ENST00000217320 A0/PJ/X2/swissmodel/50_215_4acj.1.A
ENST00000522154 A1/A4/Y4/swissmodel/2_179_1tq6.1.A
ENST00000332826 A1/A5/B4/swissmodel/31_744_6p47.1.A
ENST00000406915 A1/L1/90/swissmodel/12_85_4r3q.1.A
ENST00000366757 A1/L4/53/swissmodel/50_297_5ce1.1.A
ENST00000399989 A2/A3/68/swissmodel/92_315_2wa0.1.A
ENST00000335968 A2/RT/X5/swissmodel/160_795_1nyq.1.B
ENST00000354611 A2/RU/C4/swissmodel/1_311_3al5.1.B
ENST00000373861 A2/RU/U4/swissmodel/33_113_1pco.1.A
ENST00000368552 A2/VD/F0/swissmodel/1_148_2wcu.1.A
ENST00000407010 A4/D1/26/swissmodel/43_451_4cvh.1.A
ENST00000222511 A4/D1/E9/swissmodel/14_347_1udx.1.A
ENST00000537763 A4/D1/S5/swissmodel/11_207_3gj7.1.A
ENST00000350549 A4/D1/T9/swissmodel/17_234_4wxv.1.A
ENST00000398075 A4/D2/B0/swissmodel/2_239_4v0h.1.A
ENST00000568449 A4/GX/A9/swissmodel/57_375_4p0q.1.B
ENST00000402859 A4/QP/B2/swissmodel/1_246_5gje.1.A
ENST00000408907 A5/LH/X3/swissmodel/50_249_5gjq.1.A
ENST00000440596 A5/X5/Y0/swissmodel/41_455_6dg7.1.A
ENST00000530484 A6/NC/W0/swissmodel/48_372_3mhs.1.A
ENST00000526929 A6/NC/W7/swissmodel/48_372_3mhs.1.A
ENST00000440961 A6/ND/01/swissmodel/20_228_5f4e.1.B
ENST00000333503 A6/ND/G6/swissmodel/11_319_4bkm.2.A
ENST00000360464 A6/NF/H5/swissmodel/1_133_4azm.1.B
ENST00000332715 A6/NG/E7/swissmodel/2_166_2o70.1.A
ENST00000370359 A6/NG/Q2/swissmodel/35_132_3v69.1.A
ENST00000331264 A6/NH/11/swissmodel/79_291_4k85.1.A
ENST00000366872 A6/NH/C0/swissmodel/2_699_1kfu.1.A
ENST00000215770 A6/NH/G4/swissmodel/2_95_3kan.1.A
ENST00000380419 A6/NH/L2/swissmodel/1_443_6e88.1.A
ENST00000338333 A6/NH/Q2/swissmodel/99_327_2ipx.1.A
ENST00000378075 A6/NI/K2/swissmodel/4_222_5a5c.1.A
ENST00000407364 A6/NJ/78/swissmodel/73_407_3tka.1.A
ENST00000377924 A6/NJ/W4/swissmodel/46_213_5xnq.1.A
ENST00000503032 A6/NK/02/swissmodel/135_468_4cg4.1.A
ENST00000377462 A6/NK/06/swissmodel/4_461_6r6u.1.A
ENST00000303227 A6/NK/44/swissmodel/34_157_3zw5.1.A
ENST00000310109 A6/NK/58/swissmodel/4_225_1w66.1.A
ENST00000320701 A6/NK/D2/swissmodel/103_290_5day.1.B
ENST00000434937 A6/NL/U0/swissmodel/94_285_2fbe.3.A
ENST00000554048 A6/NL/W8/swissmodel/12_157_6e8c.1.A
ENST00000338647 A6/NM/28/swissmodel/102_371_5v3m.1.C
ENST00000541814 A6/NM/45/swissmodel/3_185_5b2g.2.A
ENST00000344935 A6/NM/K7/swissmodel/1_116_6dnh.1.C
ENST00000318682 A6/NM/X2/swissmodel/59_242_4tqb.1.A
ENST00000308911 A6/NN/Z2/swissmodel/1_420_5ij9.1.B
ENST00000509000 A6/PV/I3/swissmodel/5_151_1n52.1.B
ENST00000514277 A6/XG/L0/swissmodel/67_299_2o8n.1.A
ENST00000392359 A8/MT/69/swissmodel/8_81_4ne1.8.B
ENST00000398291 A8/MT/J3/swissmodel/23_354_3v00.1.A
ENST00000408945 A8/MT/L9/swissmodel/1_129_4zk0.1.A
ENST00000507227 A8/MU/K1/swissmodel/48_372_4fip.1.A
ENST00000392051 A8/MU/M7/swissmodel/1_139_6kjx.1.A
ENST00000532971 A8/MU/P2/swissmodel/29_239_2pxx.1.A
ENST00000400156 A8/MU/Z8/swissmodel/61_299_5v3m.1.C
ENST00000521255 A8/MV/23/swissmodel/24_402_3r4l.1.A
ENST00000398455 A8/MV/81/swissmodel/1_89_2lon.1.A
ENST00000403897 A8/MX/76/swissmodel/22_683_3df0.1.A
ENST00000400004 A8/MX/T2/swissmodel/85_311_2wa0.1.A
ENST00000399881 A8/MY/U2/swissmodel/22_1037_5tj6.1.A
ENST00000327442 A9/QM/74/swissmodel/5_490_1wa5.1.B
ENST00000577542 A9/UH/W6/swissmodel/7_217_2i2o.1.A
ENST00000258787 B0/I1/T2/swissmodel/3_842_4anj.1.A
ENST00000450979 B2/RX/H2/swissmodel/9_346_5fjh.1.A
ENST00000343959 B3/EW/G3/swissmodel/26_86_5cwc.1.A
ENST00000423484 B4/DX/44/swissmodel/142_420_5wjq.1.C
ENST00000565422 B4/E2/M5/swissmodel/14_212_6mok.1.A
ENST00000402034 B5/MC/N3/swissmodel/3_395_4tlg.1.A
ENST00000432826 B6/A8/C7/swissmodel/26_219_6grs.1.B
ENST00000526893 B9/A0/64/swissmodel/21_213_5aze.1.A
ENST00000456464 C9/J2/P7/swissmodel/48_372_4fip.1.A
ENST00000453129 C9/JD/P6/swissmodel/2_187_6akf.2.A
ENST00000417945 C9/JJ/H3/swissmodel/48_372_4fip.1.A
ENST00000429667 C9/JL/J4/swissmodel/48_372_4fip.1.A
ENST00000415041 C9/JP/N9/swissmodel/48_372_4fip.1.A
ENST00000457545 C9/JR/Z8/swissmodel/1_316_4xzm.1.A
ENST00000457736 C9/JV/I0/swissmodel/48_372_4fip.1.A
ENST00000506414 D6/R9/01/swissmodel/48_372_4fip.1.A
ENST00000504209 D6/R9/N7/swissmodel/48_372_4fip.1.A
ENST00000511280 D6/RA/61/swissmodel/48_372_4fip.1.A
ENST00000506619 D6/RB/M5/swissmodel/48_183_4fip.1.A
ENST00000511568 D6/RB/Q6/swissmodel/48_372_3mhs.1.A
ENST00000515566 D6/RC/P7/swissmodel/48_372_3mhs.1.A
ENST00000506151 D6/RJ/B6/swissmodel/48_372_4fip.1.A
ENST00000507606 E0/CX/11/swissmodel/1_37_6bd4.1.A
ENST00000537107 E5/RJ/M6/swissmodel/40_388_6mol.1.A
ENST00000442832 E7/ET/H6/swissmodel/119_377_5v3m.1.C
ENST00000414155 E7/EU/14/swissmodel/22_139_4ja9.1.A
ENST00000530054 E9/PQ/53/swissmodel/1_109_5xtc.1.O
ENST00000544708 F5/H2/84/swissmodel/1_164_4n1s.1.A
ENST00000341750 F8/VT/S6/swissmodel/94_285_2fbe.3.A
ENST00000264167 O0/01/16/swissmodel/81_658_4bc7.1.A
ENST00000367858 O0/01/41/swissmodel/43_398_4x6r.1.A
ENST00000451102 O0/01/42/swissmodel/49_257_2zi4.1.B
ENST00000242776 O0/01/48/swissmodel/37_422_6o5f.1.A
ENST00000377855 O0/01/54/swissmodel/54_367_4zv3.1.A
ENST00000304244 O0/01/55/swissmodel/30_327_5vbl.1.B
ENST00000249647 O0/01/61/swissmodel/12_209_3j98.1.M
ENST00000588081 O0/01/68/swissmodel/21_92_2jo1.1.A
ENST00000416943 O0/01/75/swissmodel/27_99_1eig.1.A
ENST00000366621 O0/01/80/swissmodel/19_281_3ukm.1.A
ENST00000395473 O0/01/82/swissmodel/5_355_3wv6.1.A
ENST00000370008 O0/01/86/swissmodel/7_584_3puk.1.A
ENST00000262094 O0/01/94/swissmodel/5_190_2f7s.1.A
ENST00000201586 O0/02/04/swissmodel/27_311_1q1q.1.A
ENST00000355622 O0/02/06/swissmodel/23_627_4g8a.1.B
ENST00000308831 O0/02/12/swissmodel/16_207_4f38.1.A
ENST00000526589 O0/02/14/swissmodel/1_317_4han.1.A
ENST00000313468 O0/02/17/swissmodel/35_210_5gup.8.A
ENST00000339582 O0/02/22/swissmodel/34_848_6n52.1.A
ENST00000261712 O0/02/31/swissmodel/1_422_6epe.1.W
ENST00000356126 O0/02/32/swissmodel/1_456_5vhf.1.J
ENST00000440890 O0/02/38/swissmodel/174_502_3mdy.1.A
ENST00000381605 O0/02/41/swissmodel/30_347_2wng.1.A
ENST00000524142 O0/02/44/swissmodel/1_68_1fe4.1.B
ENST00000296641 O0/02/54/swissmodel/67_363_4n6h.1.A
ENST00000337652 O0/02/55/swissmodel/2_613_3u84.3.A
ENST00000375780 O0/02/99/swissmodel/22_234_1rk4.1.A
ENST00000533626 O0/03/03/swissmodel/86_357_5a5t.1.D
ENST00000539935 O0/03/05/swissmodel/70_407_4zw2.1.A
ENST00000359154 O0/03/08/swissmodel/300_865_5xmc.1.A
ENST00000377346 O0/03/29/swissmodel/17_1032_6pyr.1.A
ENST00000394573 O0/03/37/swissmodel/177_591_3tij.1.A
ENST00000326853 O0/03/38/swissmodel/9_296_2gwh.1.B
ENST00000371494 O0/03/41/swissmodel/8_480_6gct.1.A
ENST00000367602 O0/03/91/swissmodel/34_543_4p2l.1.A
ENST00000221114 O0/03/99/swissmodel/8_159_3tv0.1.A
ENST00000334456 O0/04/08/swissmodel/223_900_3ibj.1.A
ENST00000588649 O0/04/11/swissmodel/122_1230_6erp.1.D
ENST00000357392 O0/04/21/swissmodel/25_311_5uiw.1.A
ENST00000382533 O0/04/22/swissmodel/6_149_2hde.1.A
ENST00000334192 O0/04/23/swissmodel/176_815_4ci8.1.A
ENST00000549701 O0/04/29/swissmodel/1_736_5wp9.1.A
ENST00000260563 O0/04/42/swissmodel/5_345_4o89.1.A
ENST00000354308 O0/04/45/swissmodel/108_385_5ccg.1.E
ENST00000524240 O0/04/51/swissmodel/36_359_5mr4.1.C
ENST00000403825 O0/04/58/swissmodel/78_448_6mtc.44.A
ENST00000282903 O0/04/69/swissmodel/37_737_6fxm.1.A
ENST00000339600 O0/04/83/swissmodel/3_81_5z62.1.N
ENST00000409682 O0/04/87/swissmodel/18_310_5l4k.1.B
ENST00000374266 O0/04/88/swissmodel/16_118_3jct.1.I
ENST00000261667 O0/05/05/swissmodel/10_489_1wa5.1.B
ENST00000316586 O0/05/06/swissmodel/3_291_2xik.1.A
ENST00000243167 O0/05/19/swissmodel/34_577_2wj1.1.A
ENST00000394507 O0/05/22/swissmodel/288_730_5d68.1.A
ENST00000354694 O0/05/41/swissmodel/4_575_6em5.1.b
ENST00000329276 O0/05/67/swissmodel/4_424_6rxz.21.A
ENST00000458629 O0/05/74/swissmodel/17_306_5uiw.1.A
ENST00000508775 O0/05/84/swissmodel/34_252_3t0o.1.A
ENST00000356998 O0/05/87/swissmodel/50_318_2j0a.1.A
ENST00000422265 O0/05/90/swissmodel/35_331_5uiw.1.A
ENST00000518525 O0/05/91/swissmodel/37_438_4cof.1.A
ENST00000371806 O0/06/02/swissmodel/110_326_2jhi.1.A
ENST00000380421 O0/06/25/swissmodel/3_290_6n0j.1.A
ENST00000219235 O0/06/26/swissmodel/25_93_2q8r.1.A
ENST00000318471 O0/06/28/swissmodel/9_317_3w15.1.A
ENST00000334256 O0/06/29/swissmodel/11_489_1wa5.1.B
ENST00000531293 O0/06/31/swissmodel/1_31_1jdm.1.A
ENST00000293973 O0/06/34/swissmodel/27_425_4plm.1.A
ENST00000357085 O0/06/35/swissmodel/131_465_4cg4.1.A
ENST00000451402 O0/07/43/swissmodel/4_305_5w0w.4.C
ENST00000301061 O0/07/44/swissmodel/46_389_6ahy.1.B
ENST00000219479 O0/07/46/swissmodel/36_175_1ehw.1.A
ENST00000317091 O0/07/48/swissmodel/30_544_5fv4.1.A
ENST00000367187 O0/07/50/swissmodel/316_1334_4l1b.1.A
ENST00000456935 O0/07/54/swissmodel/50_1004_6b9o.1.A
ENST00000285018 O0/07/55/swissmodel/36_349_6ahy.1.B
ENST00000375337 O0/07/57/swissmodel/9_336_5q0c.1.A
ENST00000356455 O0/07/62/swissmodel/29_173_5a31.1.Q
ENST00000338432 O0/07/63/swissmodel/244_2449_6g2d.1.B
ENST00000291565 O0/07/64/swissmodel/3_312_2yxu.1.A
ENST00000370355 O0/07/67/swissmodel/53_350_4zyo.1.A
ENST00000435050 O1/44/93/swissmodel/1_183_5b2g.2.A
ENST00000249842 O1/44/98/swissmodel/17_344_3zyi.1.A
ENST00000340600 O1/45/08/swissmodel/30_198_6i5j.2.A
ENST00000297988 O1/45/20/swissmodel/30_281_6f7h.1.A
ENST00000375549 O1/45/21/swissmodel/58_159_3sfd.1.D
ENST00000338492 O1/45/31/swissmodel/6_495_5nks.1.A
ENST00000330871 O1/45/43/swissmodel/30_185_2bbu.1.A
ENST00000222286 O1/45/56/swissmodel/74_407_3h9e.1.A
ENST00000324972 O1/45/76/swissmodel/216_628_6f1t.1.c
ENST00000262812 O1/45/79/swissmodel/17_308_5a1y.1.U
ENST00000398073 O1/45/95/swissmodel/90_267_1ta0.1.A
ENST00000361365 O1/46/02/swissmodel/2_122_6fyx.1.b
ENST00000284856 O1/46/04/swissmodel/6_41_4pl7.1.A
ENST00000511277 O1/46/10/swissmodel/4_62_6oy9.1.C
ENST00000533244 O1/46/18/swissmodel/8_259_6fon.1.A
ENST00000306621 O1/46/25/swissmodel/22_94_1rjt.1.A
ENST00000309180 O1/46/26/swissmodel/6_292_4pxz.1.A
ENST00000414305 O1/46/38/swissmodel/53_871_6c01.1.A
ENST00000302909 O1/46/49/swissmodel/1_259_6rv2.1.A
ENST00000351698 O1/46/56/swissmodel/51_332_6oif.1.A
ENST00000259339 O1/46/57/swissmodel/59_336_6oif.1.A
ENST00000356924 O1/46/78/swissmodel/13_604_6jbj.1.A
ENST00000340607 O1/46/84/swissmodel/7_152_4al0.1.A
ENST00000360635 O1/47/13/swissmodel/60_194_4dx9.5.A
ENST00000377799 O1/47/17/swissmodel/2_391_1g55.1.A
ENST00000551964 O1/47/27/swissmodel/1_1248_5juy.1.B
ENST00000269159 O1/47/32/swissmodel/15_279_2czh.1.A
ENST00000397979 O1/47/33/swissmodel/103_419_5y90.1.A
ENST00000217455 O1/47/34/swissmodel/28_311_4r4u.1.A
ENST00000590247 O1/47/37/swissmodel/2_112_2k6b.1.A
ENST00000324366 O1/47/44/swissmodel/19_637_5fa5.1.A
ENST00000378585 O1/47/64/swissmodel/44_451_6huo.1.B
ENST00000299427 O1/47/73/swissmodel/20_563_3edy.1.A
ENST00000261837 O1/47/75/swissmodel/43_395_2pbi.2.B
ENST00000265371 O1/47/86/swissmodel/25_586_2qql.1.A
ENST00000425528 O1/47/87/swissmodel/3_897_2z5k.1.A
ENST00000002596 O1/47/92/swissmodel/45_307_1zrh.1.A
ENST00000260950 O1/47/93/swissmodel/43_375_5ntu.1.A
ENST00000367929 O1/47/96/swissmodel/1_103_5kaz.1.A
ENST00000372371 O1/48/02/swissmodel/3_1382_6eu1.1.A
ENST00000258034 O1/48/04/swissmodel/36_321_6ibl.1.A
ENST00000289104 O1/48/07/swissmodel/9_178_3kkq.1.A
ENST00000271971 O1/48/15/swissmodel/27_688_3df0.1.A
ENST00000370873 O1/48/18/swissmodel/1_248_5ln3.1.L
ENST00000263038 O1/48/32/swissmodel/44_338_2a1x.1.A
ENST00000246553 O1/48/42/swissmodel/2_278_5tzy.1.A
ENST00000394951 O1/48/74/swissmodel/68_408_1gjv.1.A
ENST00000371818 O1/48/79/swissmodel/5_448_5w5h.2.E
ENST00000308317 O1/48/93/swissmodel/23_279_5xjt.1.A
ENST00000272164 O1/49/04/swissmodel/57_364_6ahy.1.B
ENST00000290015 O1/49/05/swissmodel/53_356_6ahy.1.B
ENST00000225525 O1/49/07/swissmodel/1_124_2l4s.1.A
ENST00000393033 O1/49/08/swissmodel/59_327_5v6b.1.A
ENST00000520810 O1/49/20/swissmodel/2_663_4kik.1.B
ENST00000391995 O1/49/21/swissmodel/24_154_2ode.1.B
ENST00000334850 O1/49/26/swissmodel/8_492_3p53.1.A
ENST00000264108 O1/49/29/swissmodel/23_341_2p0w.1.A
ENST00000287156 O1/49/33/swissmodel/3_152_1wzv.1.A
ENST00000378670 O1/49/49/swissmodel/2_82_5xte.1.L
ENST00000581193 O1/49/50/swissmodel/16_163_4i2y.1.A
ENST00000591899 O1/49/57/swissmodel/1_54_1sqq.1.K
ENST00000261448 O1/49/58/swissmodel/22_370_1sji.1.A
ENST00000274507 O1/49/60/swissmodel/19_151_5b0h.1.A
ENST00000367139 O1/49/66/swissmodel/4_177_6hh2.1.A
ENST00000337198 O1/49/77/swissmodel/10_432_4zgz.1.A
