transcript,gene,bp,all,syn,mis,non,splice_site,frameshift,,,
NM_030787,CFHR5,1710,-4.6678,-5.2449,-4.8445,-5.9617,-6.4276,-5.9653,,,
NM_006085,BPNT1,927,-4.9157,-5.4984,-5.0964,-6.1967,-6.5091,-6.2312,,,
NM_001229,CASP9,1251,-4.7380,-5.2573,-4.9234,-6.3082,-6.5051,-6.1011,,,
NM_002585,PBX1,1293,-4.7252,-5.2555,-4.9156,-6.1102,-6.4815,-6.0867,,,
NM_199044,NSUN4,1155,-4.7611,-5.3514,-4.9422,-6.0133,-6.3348,-6.1357,,,
NM_001009611,PRAMEF4,1437,-4.7421,-5.3115,-4.8990,-6.2990,-7.0369,-6.0409,,,
NM_001010889,PRAMEF6,1431,-4.7430,-5.3035,-4.9033,-6.3040,-7.0369,-6.0427,,,
NM_001012277,PRAMEF7,1425,-4.7153,-5.2546,-4.8841,-6.2767,-7.0374,-6.0445,,,
NM_023013,PRAMEF1,1425,-4.7101,-5.2576,-4.8759,-6.2587,-7.0374,-6.0445,,,
NM_023014,PRAMEF2,1425,-4.7189,-5.2284,-4.9020,-6.2593,-7.0374,-6.0445,,,
NM_001013692,PRAMEF3,1446,-4.7012,-5.2728,-4.8570,-6.2600,-7.0402,-6.0381,,,
NM_001166292,PTCH2,3441,-4.2495,-4.7629,-4.4327,-5.9165,-6.0482,-5.6616,,,
NM_001010890,PRAMEF9,1437,-4.7378,-5.3095,-4.8964,-6.2337,-7.0368,-6.0409,,,
NM_001080418,DLGAP3,2940,-4.2597,-4.7773,-4.4350,-5.9245,-6.4455,-5.7300,,,
NM_001242810,BRDT,2625,-4.5069,-5.0963,-4.6754,-5.8917,-6.1540,-5.7792,,,
NM_001286,CLCN6,2610,-4.3199,-4.8416,-4.5083,-5.8412,-6.0056,-5.7817,,,
NM_012333,MYCBP,312,-5.4728,-6.0768,-5.6418,-7.0354,-6.8877,-6.7042,,,
NM_005401,PTPN14,3564,-4.2122,-4.7499,-4.3952,-5.5934,-6.1250,-5.6464,,,
NM_145729,MRPL24,651,-4.9734,-5.6004,-5.1331,-6.2460,-6.7531,-6.3847,,,
NM_017971,MRPL20,450,-5.0713,-5.6172,-5.2746,-6.3189,-6.5870,-6.5451,,,
NM_033067,DMRTB1,1029,-4.7701,-5.2215,-4.9793,-6.4810,-6.8686,-6.1859,,,
NM_005626,SRSF4,1485,-4.5571,-5.2476,-4.6903,-5.8425,-6.6601,-6.0266,,,
NM_004284,CHD1L,2694,-4.4879,-5.0821,-4.6644,-5.8219,-5.9746,-5.7679,,,
NM_024554,PGBD5,1368,-4.5787,-5.0734,-4.7715,-6.1409,-6.5754,-6.0622,,,
NM_170725,PGBD2,1779,-4.6024,-5.1852,-4.7602,-5.9931,-7.3512,-5.9481,,,
NM_001123068,PPIAL4G,495,-5.1569,-5.7478,-5.3056,-6.7064,-7.6597,-6.5037,,,
NM_003516,HIST2H2AA3,393,-4.9585,-5.4380,-5.1516,-6.5737,-7.7588,-6.6039,,,
NM_001040874,HIST2H2AA4,393,-4.9585,-5.4380,-5.1516,-6.5737,-7.7588,-6.6039,,,
NM_182976,ZNF326,1749,-4.6342,-5.2545,-4.7997,-5.8794,-6.3356,-5.9555,,,
NM_052841,TSSK3,807,-4.9140,-5.4467,-5.0822,-6.5647,-7.3459,-6.2914,,,
NM_003132,SRM,909,-4.7499,-5.2307,-4.9533,-6.3545,-6.5028,-6.2397,,,
NM_006499,LGALS8,1080,-4.8099,-5.3598,-4.9902,-6.3202,-6.4012,-6.1649,,,
NM_024595,AKIRIN1,579,-5.3048,-5.9843,-5.4698,-6.4498,-6.8229,-6.4356,,,
NM_000427,LOR,939,-5.2083,-5.6128,-5.4424,-7.0196,-7.7457,-6.2256,,,
NM_020888,KIAA1522,3285,-4.2675,-4.8138,-4.4297,-5.9150,-6.6099,-5.6818,,,
NM_014873,LPGAT1,1113,-4.8826,-5.4997,-5.0508,-6.1209,-6.5716,-6.1518,,,
NM_006335,TIMM17A,516,-5.1412,-5.7393,-5.3370,-6.2532,-6.6567,-6.4857,,,
NM_002642,PIGC,894,-4.9356,-5.5446,-5.0849,-6.3139,-7.6695,-6.2470,,,
NM_005482,PIGK,1188,-4.7902,-5.3891,-4.9582,-6.1738,-6.3703,-6.1235,,,
NM_145167,PIGM,1272,-4.6547,-5.1542,-4.8356,-6.3066,-7.7333,-6.0938,,,
NM_002644,PIGR,2295,-4.4226,-4.9161,-4.6166,-5.9662,-6.4175,-5.8375,,,
NM_001202554,PIGV,1482,-4.7143,-5.2556,-4.8907,-6.1112,-7.0490,-6.0275,,,
NM_005839,SRRM1,2715,-4.3455,-4.9848,-4.5081,-5.5333,-6.0973,-5.7645,,,
NM_000478,ALPL,1575,-4.5087,-4.9800,-4.7150,-6.1781,-6.2471,-6.0010,,,
NM_000963,PTGS2,1815,-4.6328,-5.2251,-4.7980,-6.0472,-6.3044,-5.9394,,,
NM_002529,NTRK1,2391,-4.4011,-4.9212,-4.5809,-6.1313,-6.1431,-5.8197,,,
NM_018364,RSBN1,2409,-4.3885,-4.9362,-4.5668,-5.7218,-6.5758,-5.8165,,,
NM_005665,EVI5,2433,-4.5227,-5.1215,-4.6950,-5.8215,-6.1305,-5.8122,,,
NM_004815,ARHGAP29,3786,-4.3428,-4.9443,-4.5100,-5.6568,-6.0348,-5.6201,,,
NM_018194,HHAT,1482,-4.6370,-5.1520,-4.8389,-5.9696,-6.3531,-6.0275,,,
NM_001143912,FAM76A,1026,-4.9885,-5.5941,-5.1610,-6.3376,-6.4782,-6.1872,,,
NM_001085487,MYSM1,2487,-4.5049,-5.1098,-4.6792,-5.7975,-6.0216,-5.8026,,,
NM_016076,PPPDE1,585,-5.0671,-5.5858,-5.2619,-6.5147,-6.7555,-6.4312,,,
NM_005281,GPR3,993,-4.7909,-5.3065,-4.9659,-6.4080,-7.7045,-6.2014,,,
NM_001105556,C1orf38,1932,-4.5418,-5.0871,-4.7061,-6.1883,-6.6996,-5.9123,,,
NM_001206641,C1orf31,240,-5.5787,-6.1865,-5.7529,-6.8036,-7.3516,-6.8181,,,
NM_024319,C1orf35,792,-4.9200,-5.4427,-5.1028,-6.6188,-6.5853,-6.2996,,,
NM_017673,SWT1,2703,-4.5203,-5.1191,-4.6895,-5.9018,-6.0621,-5.7665,,,
NM_182663,RASSF5,1257,-4.7887,-5.3183,-4.9740,-6.2158,-6.6524,-6.0990,,,
NM_001037317,LPPR5,966,-4.7881,-5.3002,-4.9907,-6.1583,-6.4692,-6.2133,,,
NM_014839,LPPR4,2292,-4.5328,-5.0883,-4.7055,-5.9191,-6.6175,-5.8381,,,
NM_015557,CHD5,5865,-3.9576,-4.4456,-4.1564,-5.5701,-5.7132,-5.4300,,,
NM_006367,CAP1,1428,-4.6999,-5.2480,-4.8874,-6.0738,-6.3150,-6.0436,,,
NM_004623,TTC4,1164,-4.8258,-5.3917,-5.0092,-6.1822,-6.3955,-6.1324,,,
NM_012414,RAB3GAP2,4182,-4.2902,-4.8680,-4.4725,-5.6174,-5.8015,-5.5769,,,
NM_022114,PRDM16,3831,-4.0851,-4.5351,-4.2937,-5.8180,-6.1886,-5.6150,,,
NM_005373,MPL,1908,-4.6145,-5.1738,-4.8031,-5.8555,-6.3495,-5.9177,,,
NM_000530,MPZ,747,-4.8730,-5.3795,-5.0606,-6.5613,-6.6439,-6.3250,,,
NM_001009999,KDM1A,2631,-4.4644,-5.0464,-4.6398,-5.7928,-6.1020,-5.7782,,,
NM_004106,FCER1G,261,-5.4309,-5.9617,-5.6674,-6.5762,-6.7469,-6.7817,,,
NM_002001,FCER1A,774,-5.0523,-5.6080,-5.2318,-6.4801,-6.7412,-6.3096,,,
NM_006763,BTG2,477,-5.1127,-5.5855,-5.3081,-6.7991,-7.7168,-6.5198,,,
NM_020435,GJC2,1320,-4.6498,-5.1205,-4.8412,-6.4401,-7.6209,-6.0777,,,
NM_002731,PRKACB,1056,-4.8815,-5.4597,-5.0611,-6.2512,-6.3922,-6.1746,,,
NM_002796,PSMB4,795,-4.7865,-5.3169,-4.9750,-6.1887,-6.5769,-6.2979,,,
NM_002794,PSMB2,606,-4.9789,-5.5375,-5.1633,-6.3057,-6.6515,-6.4158,,,
NM_002245,KCNK1,1011,-4.7359,-5.2203,-4.9279,-6.3575,-7.0578,-6.1936,,,
NM_015378,VPS13D,13167,-3.7346,-4.3027,-3.9089,-5.0991,-5.5055,-5.0788,,,
NM_001130042,CRYZ,990,-4.9121,-5.4971,-5.0949,-6.1638,-6.5134,-6.2027,,,
NM_022159,ELTD1,2073,-4.6262,-5.1986,-4.7960,-6.1414,-6.2299,-5.8817,,,
NM_006556,PMVK,579,-4.9488,-5.4992,-5.1220,-6.4777,-6.7502,-6.4356,,,
NM_018203,KLHDC8A,1053,-4.6469,-5.1716,-4.8281,-6.1200,-6.7514,-6.1759,,,
NM_024529,CDC73,1596,-4.6314,-5.2533,-4.8124,-5.7787,-6.1547,-5.9953,,,
NM_001010980,C1orf130,309,-5.2738,-5.7800,-5.4655,-6.9007,-7.0643,-6.7084,,,
NM_004261,SEPT15,498,-5.1395,-5.6352,-5.3258,-6.7729,NA,-6.5011,,,
NM_024037,C1orf135,1074,-4.9009,-5.4413,-5.0801,-6.2782,-7.0613,-6.1673,,,
NM_006893,EIF2D,1755,-4.6183,-5.1654,-4.8119,-5.9273,-6.2036,-5.9540,,,
NM_002557,OVGP1,2037,-4.5649,-5.1179,-4.7347,-6.1390,-6.3501,-5.8893,,,
NM_000792,DIO1,750,-4.9810,-5.5495,-5.1508,-6.4083,-6.8736,-6.3233,,,
NM_002107,H3F3A,411,-5.0754,-5.7684,-5.1925,-6.7388,-7.0573,-6.5845,,,
NM_012474,UCK2,786,-4.8588,-5.3751,-5.0461,-6.4368,-6.6023,-6.3029,,,
NM_014280,DNAJC8,762,-4.9527,-5.5607,-5.1352,-6.1569,-6.4457,-6.3164,,,
NM_203459,CAMSAP2,4437,-4.2638,-4.8624,-4.4250,-5.6152,-6.1502,-5.5512,,,
NM_001256864,DNAJC6,2913,-4.4381,-4.9957,-4.6184,-5.8231,-6.1126,-5.7340,,,
NM_002959,SORT1,2496,-4.5221,-5.0907,-4.7016,-5.9173,-6.0867,-5.8011,,,
NM_016052,RRP15,849,-4.9533,-5.5174,-5.1181,-6.5527,-6.7494,-6.2694,,,
NM_001010935,RAP1A,555,-5.1077,-5.6497,-5.2999,-6.5032,-6.6629,-6.4540,,,
NM_018372,LRIF1,2310,-4.5711,-5.1260,-4.7396,-6.0012,-6.8704,-5.8347,,,
NM_206996,SPAG17,6672,-4.1003,-4.6896,-4.2711,-5.4801,-5.6886,-5.3741,,,
NM_001460,FMO2,1416,-4.7289,-5.3130,-4.8921,-6.1794,-6.5216,-6.0472,,,
NM_212503,CDK18,1515,-4.5852,-5.1346,-4.7603,-6.1495,-6.2497,-6.0179,,,
NM_001126060,NOS1AP,636,-4.8786,-5.3091,-5.0988,-6.5228,-7.3571,-6.3949,,,
NM_020248,CTNNBIP1,246,-5.2695,-5.7746,-5.4794,-6.7664,-6.7240,-6.8074,,,
NM_006369,LRRC41,2439,-4.4242,-5.0433,-4.5714,-5.8710,-6.3974,-5.8111,,,
NM_017768,LRRC40,1809,-4.6307,-5.1991,-4.8145,-5.9479,-6.2146,-5.9409,,,
NM_001256409,LRRC42,1287,-4.7663,-5.3363,-4.9426,-6.0870,-6.5758,-6.0887,,,
NM_006983,MMP23B,1173,-4.6718,-5.1694,-4.8569,-6.4189,-6.6570,-6.1290,,,
NM_020710,LRRC47,1752,-4.6017,-5.0995,-4.7885,-6.2930,-6.5786,-5.9548,,,
NM_001171941,FNDC5,462,-5.1555,-5.7287,-5.3104,-6.8513,-7.0517,-6.5337,,,
NM_001144937,FNDC7,2202,-4.7110,-5.2545,-4.8899,-6.1825,-6.4959,-5.8555,,,
NM_022078,GPATCH3,1578,-4.5382,-5.1167,-4.6976,-6.0169,-6.5726,-6.0002,,,
NM_000858,GUK1,594,-4.8644,-5.3383,-5.0708,-6.7619,-6.4096,-6.4245,,,
NM_017818,WRAP73,1383,-4.5506,-5.0218,-4.7600,-6.1233,-6.3128,-6.0575,,,
NM_020127,TUFT1,1173,-4.7693,-5.3238,-4.9491,-6.2607,-6.3451,-6.1290,,,
NM_001128425,MUTYH,1650,-4.5585,-5.1434,-4.7264,-5.9977,-6.1866,-5.9808,,,
NM_001136504,SYT2,1260,-4.7126,-5.2089,-4.9032,-6.4377,-6.4991,-6.0979,,,
NM_001253772,SYT6,1533,-4.6876,-5.2530,-4.8459,-6.3593,-6.6507,-6.0128,,,
NM_016124,RHD,1254,-4.7067,-5.1996,-4.9081,-6.3511,-6.2865,-6.1000,,,
NM_003902,FUBP1,1935,-4.5919,-5.1891,-4.7645,-5.9656,-6.0845,-5.9116,,,
NM_015331,NCSTN,2130,-4.5044,-5.0772,-4.6806,-5.8751,-6.1441,-5.8699,,,
NM_014704,CEP104,2778,-4.3723,-4.9201,-4.5570,-5.8022,-5.9644,-5.7546,,,
NM_001204086,NBL1,648,-5.0875,-5.5497,-5.2943,-6.7725,-6.9670,-6.3867,,,
NM_006496,GNAI3,1065,-4.8255,-5.4038,-5.0023,-6.1345,-6.5230,-6.1710,,,
NM_017734,PALMD,1656,-4.7204,-5.2790,-4.8948,-6.1489,-6.5071,-5.9793,,,
NM_001024594,C1orf53,438,-5.2810,-5.7261,-5.5052,-6.6729,NA,-6.5568,,,
NM_198077,C1orf52,549,-4.9672,-5.4283,-5.1710,-6.6973,-7.0532,-6.4587,,,
NM_144697,C1orf51,1158,-4.8095,-5.3865,-4.9691,-6.3382,-6.7420,-6.1346,,,
NM_024097,C1orf50,600,-5.1183,-5.6235,-5.3177,-6.5609,-6.8790,-6.4202,,,
NM_017860,C1orf56,1026,-4.6747,-5.1744,-4.8560,-6.3289,-7.3854,-6.1872,,,
NM_152608,C1orf55,1356,-4.6750,-5.2395,-4.8491,-6.0935,-6.4144,-6.0661,,,
NM_024579,C1orf54,396,-5.2505,-5.8006,-5.4369,-6.7470,-6.7536,-6.6006,,,
NM_022746,MARC1,1014,-4.8681,-5.3946,-5.0604,-6.2524,-6.6116,-6.1923,,,
NM_017898,MARC2,1008,-4.8851,-5.4607,-5.0502,-6.4311,-6.5725,-6.1949,,,
NM_012405,ICMT,855,-4.9946,-5.5187,-5.1963,-6.2530,-6.8169,-6.2663,,,
NM_213653,HFE2,1281,-4.6524,-5.2148,-4.8168,-6.0882,-7.0514,-6.0908,,,
NM_001105669,TTC24,1749,-4.9107,-5.4178,-5.0929,-6.4373,NA,-5.9555,,,
NM_017904,TTC22,1119,-4.6845,-5.1533,-4.8896,-6.2476,-6.7116,-6.1495,,,
NM_000565,IL6R,1407,-4.6226,-5.1215,-4.8170,-6.1966,-6.4187,-6.0500,,,
NM_001201483,ENO1,1026,-4.7724,-5.2641,-4.9734,-6.4387,-6.3640,-6.1872,,,
NM_003176,SYCP1,2931,-4.5243,-5.1185,-4.7078,-5.8253,-5.9257,-5.7313,,,
NM_018420,SLC22A15,1644,-4.6394,-5.1535,-4.8219,-6.0806,NA,-5.9824,,,
NM_001098623,OBSCN,23907,-3.4052,-3.9007,-3.5874,-5.0446,NA,-4.8198,,,
NM_006252,PRKAA2,1659,-4.6678,-5.2649,-4.8350,-5.9647,-6.4854,-5.9785,,,
NM_001206739,ITGB3BP,651,-5.2793,-5.9457,-5.4480,-6.7958,-6.4193,-6.3847,,,
NM_052862,RCSD1,1251,-4.7550,-5.2619,-4.9533,-6.1484,-6.6187,-6.1011,,,
NM_021960,MCL1,1053,-4.6179,-5.0675,-4.8296,-6.2048,-7.0503,-6.1759,,,
NM_002379,MATN1,1491,-4.5706,-5.0571,-4.7576,-6.4257,-6.5878,-6.0248,,,
NM_170707,LMNA,1995,-4.4146,-4.9794,-4.5742,-6.0489,-6.3537,-5.8984,,,
NM_014053,FLVCR1,1668,-4.6623,-5.1691,-4.8544,-6.2240,-6.4063,-5.9761,,,
NM_194458,UBE2J2,624,-4.9154,-5.3537,-5.1359,-6.6757,-6.7483,-6.4031,,,
NM_001037277,GGPS1,903,-4.9729,-5.5741,-5.1301,-6.3380,-7.0518,-6.2426,,,
NM_000929,PLA2G5,417,-5.0983,-5.5975,-5.3040,-6.4816,-6.8783,-6.5782,,,
NM_019083,CCDC76,1446,-4.7269,-5.2713,-4.9140,-6.1171,-6.3627,-6.0381,,,
NM_001130040,SHC1,1755,-4.5303,-5.0724,-4.7014,-6.2067,-6.3064,-5.9540,,,
NM_001001914,OR2G3,930,-4.9533,-5.4941,-5.1170,-6.5950,-7.8102,-6.2298,,,
NM_001001915,OR2G2,954,-4.8974,-5.4483,-5.0554,-6.5948,-7.7638,-6.2188,,,
NM_001013355,OR2G6,951,-4.8735,-5.3807,-5.0498,-6.5743,-7.7604,-6.2201,,,
NM_175055,HIST3H2BB,381,-5.0193,-5.4911,-5.2084,-6.9734,-7.6181,-6.6174,,,
NM_014474,SMPDL3B,1368,-4.6138,-5.1127,-4.8064,-6.1744,-6.5028,-6.0622,,,
NM_015001,SPEN,10995,-3.7798,-4.3331,-3.9503,-5.1658,-6.2203,-5.1571,,,
NM_001113482,MANEAL,1374,-4.6794,-5.1668,-4.8658,-6.3711,-7.3390,-6.0603,,,
NM_017556,FBLIM1,1122,-4.7113,-5.2295,-4.8937,-6.2917,-6.6124,-6.1483,,,
NM_024522,NKAIN1,624,-5.1891,-5.7078,-5.3933,-6.7459,-6.5406,-6.4031,,,
NM_007259,VPS45,1713,-4.6375,-5.2395,-4.8147,-5.8823,-6.2065,-5.9646,,,
NM_015997,RRNAD1,1428,-4.6350,-5.1987,-4.8090,-6.0621,-6.3628,-6.0436,,,
NM_014858,TMCC2,2130,-4.3364,-4.8229,-4.5214,-6.1243,-6.7509,-5.8699,,,
NM_015039,NMNAT2,924,-4.7895,-5.3290,-4.9698,-6.4288,-6.3592,-6.2326,,,
NM_001017418,SPRR2B,219,-5.5408,-6.0720,-5.7303,-6.8786,-7.6411,-6.8579,,,
NM_199342,CCDC23,201,-5.6525,-6.3170,-5.8078,-6.9318,-7.3456,-6.8951,,,
NM_015164,PLEKHM2,3060,-4.3096,-4.7931,-4.5031,-5.8239,NA,-5.7126,,,
NM_001100910,FAM72B,450,-5.2661,-5.8170,-5.4427,-6.8773,-6.8750,-6.5451,,,
NM_001123168,FAM72A,450,-5.2480,-5.7864,-5.4284,-6.8773,-6.8750,-6.5451,,,
NM_006338,LRRN2,2142,-4.4346,-4.9769,-4.5979,-6.0313,-7.6089,-5.8675,,,
NM_030761,WNT4,1056,-4.6429,-5.1449,-4.8283,-6.2509,-6.8081,-6.1746,,,
NM_032833,PPP1R15B,2142,-4.5172,-5.0572,-4.6898,-5.9427,-7.3564,-5.8675,,,
NM_001024599,HIST2H2BF,381,-4.9849,-5.4403,-5.1806,-6.9858,-7.9581,-6.6174,,,
NM_003528,HIST2H2BE,381,-5.0076,-5.4747,-5.1987,-6.9951,-7.5937,-6.6174,,,
NM_173484,KLF17,1170,-4.7340,-5.2745,-4.9108,-6.1257,-7.0585,-6.1301,,,
NM_178548,TFAP2E,1329,-4.7768,-5.2890,-4.9634,-6.3323,-6.6673,-6.0748,,,
NM_001114106,SLC44A3,1962,-4.6125,-5.1305,-4.8082,-6.0501,-6.2733,-5.9056,,,
NM_001130058,SLC44A5,2154,-4.5884,-5.1877,-4.7705,-5.8934,-5.9711,-5.8651,,,
NM_001252406,ZBTB7B,1722,-4.5323,-5.0569,-4.7034,-6.1356,-7.3399,-5.9623,,,
NM_002946,RPA2,813,-4.9679,-5.5046,-5.1579,-6.4943,-6.4621,-6.2882,,,
NM_001166159,NDUFS2,1374,-4.6685,-5.2864,-4.8408,-5.8808,-6.2690,-6.0603,,,
NM_004552,NDUFS5,321,-5.2779,-5.9416,-5.4217,-6.5528,-7.3526,-6.6918,,,
NM_004515,ILF2,1173,-4.8038,-5.4185,-4.9781,-6.1833,-6.1540,-6.1290,,,
NM_005455,ZRANB2,963,-4.8316,-5.4979,-5.0061,-5.9344,-6.2875,-6.2147,,,
NM_001014980,FAM132A,909,-4.8976,-5.4134,-5.0816,-6.7398,-6.4814,-6.2397,,,
NM_001256404,DENND2C,2787,-4.4615,-5.0763,-4.6247,-5.7704,-6.1496,-5.7532,,,
NM_024901,DENND2D,1416,-4.6879,-5.2591,-4.8653,-6.0646,-6.3084,-6.0472,,,
NM_198040,PHC2,2577,-4.3719,-4.8902,-4.5541,-5.9514,-6.2718,-5.7872,,,
NM_152493,ZNF362,1263,-4.6924,-5.1674,-4.8951,-6.3192,-6.5642,-6.0969,,,
NM_007212,RNF2,1011,-4.9019,-5.5122,-5.0703,-6.1487,-6.6587,-6.1936,,,
NM_002016,FLG,12186,-3.7381,-4.2910,-3.9081,-5.0975,-7.3519,-5.1125,,,
NM_177398,LMX1A,1149,-4.7343,-5.2609,-4.9283,-6.0808,-6.5085,-6.1380,,,
NM_006542,SPHAR,192,-5.7415,-6.3494,-5.8960,-7.2546,-7.6315,-6.9150,,,
NM_001841,CNR2,1083,-4.8416,-5.3828,-5.0119,-6.3134,-7.6529,-6.1637,,,
NM_001122764,PPOX,1434,-4.6496,-5.2342,-4.8092,-6.2651,-6.3059,-6.0418,,,
NM_001004319,VHLL,420,-5.1479,-5.6792,-5.3361,-6.4257,-7.7903,-6.5751,,,
NM_207197,ADAM15,2592,-4.3919,-4.9523,-4.5745,-5.7802,-5.9658,-5.7847,,,
NM_003094,SNRPE,279,-5.3671,-5.9812,-5.5528,-6.8712,-6.5307,-6.7527,,,
NM_174936,PCSK9,2079,-4.4456,-4.9487,-4.6288,-6.1747,-6.4033,-5.8805,,,
NM_032283,ZDHHC18,1167,-4.8095,-5.3307,-5.0065,-6.3643,-6.2752,-6.1312,,,
NM_198268,HIPK1,3633,-4.3144,-4.8521,-4.4974,-5.7029,-6.2130,-5.6380,,,
NM_017823,DUSP23,453,-5.4503,-6.0816,-5.6563,-6.3261,-7.7224,-6.5422,,,
NM_001199050,LEMD1,546,-5.3504,-5.8883,-5.5508,-6.8333,-6.6785,-6.4611,,,
NM_001080426,DUSP27,3477,-4.2703,-4.7826,-4.4496,-5.8325,-6.7704,-5.6571,,,
NM_021952,ELAVL4,1143,-4.7766,-5.3257,-4.9484,-6.3414,-6.5735,-6.1403,,,
NM_001017403,LGR6,2904,-4.3201,-4.8013,-4.5181,-6.0151,-6.1290,-5.7353,,,
NM_176782,FAM151A,1758,-4.5565,-5.0672,-4.7427,-6.1030,-6.5079,-5.9533,,,
NM_144626,TMEM125,660,-4.8602,-5.3454,-5.0530,-6.7518,-6.6313,-6.3788,,,
NM_001198851,FOXJ3,1869,-4.6172,-5.2051,-4.7923,-5.8978,-6.3123,-5.9267,,,
NM_025106,SPSB1,822,-4.7560,-5.2477,-4.9494,-6.3329,-6.7830,-6.2834,,,
