ensembl_transcript_id	hgnc_symbol
ENST00000279387	PPP4C
ENST00000294066	MAP4K2
ENST00000305105	ZNHIT1
ENST00000281154	SLC25A31
ENST00000305363	TMPRSS11E
ENST00000275300	SLC22A3
ENST00000274605	N4BP3
ENST00000275884	DENND2A
ENST00000304385	TMEM154
ENST00000305963	MMGT1
ENST00000295830	RPL22L1
ENST00000272369	MEIS1
ENST00000279168	GPHA2
ENST00000305596	CD2BP2
ENST00000301887	BATF2
ENST00000282549	OTX1
ENST00000309033	UBXN2A
ENST00000309315	ZMIZ2
ENST00000297668	CNTNAP3
ENST00000276201	UPF3B
ENST00000312475	MRPL46
ENST00000300773	OR51B5
ENST00000300778	OR51Q1
ENST00000311659	UBQLN3
ENST00000305921	PPM1D
ENST00000286307	LSM11
ENST00000276659	RSPO2
ENST00000306897	RAC3
ENST00000276704	C8orf76
ENST00000307180	TSNARE1
ENST00000295213	SPATA18
ENST00000288087	MDP1
ENST00000296721	AFAP1L1
ENST00000277309	OR1K1
ENST00000275230	SLC2A12
ENST00000274496	YIPF5
ENST00000283928	JAZF1
ENST00000292562	ZNF251
ENST00000288111	DHRS1
ENST00000286355	ADCY8
ENST00000296096	TCF23
ENST00000286371	ATP1B3
ENST00000295400	TGFA
ENST00000295256	HPGDS
ENST00000301981	LRRC28
ENST00000296575	HHIP
ENST00000306442	PPIC
ENST00000281722	RBM46
ENST00000314393	ZHX2
ENST00000313117	SRSF7
ENST00000274065	RPS3A
ENST00000309241	PPARGC1B
ENST00000314251	SLC2A2
ENST00000308191	PDE7B
ENST00000310300	LRCH4
ENST00000286298	SLC26A2
ENST00000296953	CREBRF
ENST00000296529	TMEM144
ENST00000306984	MPLKIP
ENST00000305579	IL12A
ENST00000294728	VCAM1
ENST00000304402	GPR22
ENST00000284601	PPP1R3A
ENST00000290079	TMEM141
ENST00000305097	P2RY1
ENST00000299045	TCP11L2
ENST00000275200	TAAR8
ENST00000274565	SPINK7
ENST00000303045	COL22A1
ENST00000296641	F2RL2
ENST00000292599	MAML1
ENST00000303795	APLF
ENST00000288228	FAM81A
ENST00000283206	TMEM87B
ENST00000297267	FNDC1
ENST00000306193	CBR4
ENST00000296464	HSPA4L
ENST00000294952	PPP1R21
ENST00000297375	EN2
ENST00000297109	SAP30L
ENST00000271277	CTTNBP2NL
ENST00000306384	VAMP5
ENST00000311798	SSX5
ENST00000276202	DOCK11
ENST00000307564	AKNA
ENST00000303921	GPR37
ENST00000293373	NCKAP1L
ENST00000302517	CXXC5
ENST00000303204	PRELID1
ENST00000303904	COPS6
ENST00000303887	MCM7
ENST00000282382	TMED7-TICAM2
ENST00000312637	FAM174A
ENST00000274458	COMMD10
ENST00000298569	KIAA1191
ENST00000280527	CRIM1
ENST00000297405	CSMD3
ENST00000290552	IRX6
ENST00000274093	GLRA3
ENST00000283195	RANBP2
ENST00000304337	TIGD4
ENST00000295797	PRKCI
ENST00000292430	LY6K
ENST00000311601	SH3PXD2B
ENST00000271308	PSMA5
ENST00000309982	BAALC
ENST00000278612	NPAT
ENST00000309415	SH3RF3
ENST00000302964	PYDC1
ENST00000295802	RETSAT
ENST00000284637	SH3RF1
ENST00000302176	DCLK2
ENST00000312499	RMI2
ENST00000304298	HSPB2
ENST00000272252	GALM
ENST00000278601	C11orf52
ENST00000312693	TNP2
ENST00000292377	GPC2
ENST00000312511	PRM1
ENST00000301258	PSCA
ENST00000314471	SAMD4B
ENST00000294724	AGL
ENST00000299575	ATMIN
ENST00000296870	IL3
ENST00000299601	LEO1
ENST00000283131	SMARCA5
ENST00000308580	TMOD3
ENST00000288943	DUSP2
ENST00000297848	COL14A1
ENST00000310512	MEPCE
ENST00000292330	PPP1R35
ENST00000280357	IL18
ENST00000292782	DCUN1D1
ENST00000300181	TSC22D4
ENST00000308366	PLA2G1B
ENST00000280358	TEX12
ENST00000282903	PLOD2
ENST00000292450	ZSCAN21
ENST00000274063	SFRP2
ENST00000288050	PDPR
ENST00000272641	NXPH2
ENST00000280362	PTS
ENST00000288071	DDX19B
ENST00000310389	ARL10
ENST00000286317	MED7
ENST00000295206	EN1
ENST00000283233	CCDC148
ENST00000287437	NSMCE2
ENST00000299732	IQCD
ENST00000300283	CKMT1B
ENST00000278317	TNNT3
ENST00000305798	TSPAN5
ENST00000274811	RNF44
ENST00000301327	MFSD3
ENST00000307522	CCDC8
ENST00000292524	LRRC14
ENST00000291295	CALM3
ENST00000274498	ARHGAP26
ENST00000309863	GCC2
ENST00000291294	PTGIR
ENST00000302243	DDX19A
ENST00000300873	GNG8
ENST00000296694	SCGB3A2
ENST00000311450	PLAC8L1
ENST00000300289	PDIA3
ENST00000284287	OR8A1
ENST00000296955	DCBLD1
ENST00000302516	SF3B3
ENST00000278379	SLC1A2
ENST00000296533	NPY1R
ENST00000312777	TCHP
ENST00000313285	TRIP10
ENST00000276571	CRH
ENST00000311922	TRIB1
ENST00000274787	HIGD2A
ENST00000306121	SNX7
ENST00000303924	HAS2
ENST00000287394	ATAD2
ENST00000313341	NEUROG2
ENST00000299518	IDH3A
ENST00000309851	GSTM1
ENST00000303127	LMAN2
ENST00000300086	TERF2IP
ENST00000302327	ING2
ENST00000306100	FSTL5
ENST00000302177	FOXA3
ENST00000302165	IRF2BP1
ENST00000312233	GLIS1
ENST00000298292	DNAAF2
ENST00000270223	DMWD
ENST00000290649	AMFR
ENST00000302851	ZNF561
ENST00000274766	KAAG1
ENST00000296741	ENPP6
ENST00000313143	DVL3
ENST00000311086	BOD1
ENST00000293860	POLR3K
ENST00000297151	SLU7
ENST00000282249	GUCY1A2
ENST00000314392	DPM2
ENST00000296582	TMEM184C
ENST00000308074	SLC37A2
ENST00000309575	CHST2
ENST00000307588	CCDC110
ENST00000312026	ZNF417
ENST00000286639	BATF
ENST00000282308	ZNF256
ENST00000283875	GTF2E1
ENST00000314391	C19orf18
ENST00000310164	ZCCHC12
ENST00000298832	TTLL5
ENST00000312319	ELF5
ENST00000278568	PAK1
ENST00000297494	NOS3
ENST00000292427	CYP11B1
ENST00000312295	RTP1
ENST00000310864	IQCB1
ENST00000297512	ASIC3
ENST00000311277	MAP9
ENST00000308208	CCDC63
ENST00000297532	FASTK
ENST00000270590	GPR32
ENST00000301838	FADD
ENST00000301420	KLK1
ENST00000282276	MARS2
ENST00000295101	KCNJ3
ENST00000280758	BTBD11
ENST00000305354	TM4SF4
ENST00000281708	FBXW7
ENST00000296161	DTX3L
ENST00000305536	RBMX2
ENST00000270001	ZFP14
ENST00000296525	ASB5
ENST00000280191	SPATA4
ENST00000276410	CHRNA6
ENST00000295124	CCDC138
ENST00000284503	NEIL2
ENST00000302649	TRH
ENST00000309276	PPM1J
ENST00000274376	RASA1
ENST00000271715	POGZ
ENST00000291823	HIPK4
ENST00000274054	NAF1
ENST00000292125	PSG6
ENST00000287641	SST
ENST00000284240	THY1
ENST00000281182	ACAD8
ENST00000301831	ULK4
ENST00000292432	HK3
ENST00000287598	BUB1B
ENST00000299709	SLC38A8
ENST00000306721	CDCA7
ENST00000296318	IL17RD
ENST00000287490	COX6A2
ENST00000275428	GGCT
ENST00000304672	PTCRA
ENST00000304611	PEX6
ENST00000272542	SLC20A1
ENST00000307102	MAP2K1
ENST00000308497	STOX2
ENST00000299481	NLRP14
ENST00000301459	RCOR2
ENST00000283871	HGD
ENST00000302312	AHSP
ENST00000314133	COX8A
ENST00000295588	POGLUT1
ENST00000280333	DOCK1
ENST00000281703	GLT1D1
ENST00000305218	STIP1
ENST00000277216	OR13C4
ENST00000286349	TRIM42
ENST00000308748	ASPHD1
ENST00000306675	ADRA1B
ENST00000302938	FAM71B
ENST00000290541	PSMB4
ENST00000302472	PTGER4
ENST00000307098	SPRR1B
ENST00000274773	TRIM7
ENST00000292596	LTC4S
ENST00000307194	GIMAP1
ENST00000276708	GSDMC
ENST00000281456	SLC25A4
ENST00000269881	CALR3
ENST00000292408	FGFR4
ENST00000282282	ZNF547
ENST00000288602	BRAF
ENST00000308860	ADCK5
ENST00000304270	SPACA5B
ENST00000289228	ACTR1B
ENST00000281828	FARSB
ENST00000283025	TEKT5
ENST00000295683	CXCR1
ENST00000283027	NUBP1
ENST00000281156	KHDRBS2
ENST00000301305	SLC39A4
ENST00000307765	RXFP1
ENST00000306243	CHST14
ENST00000299847	CHRFAM7A
ENST00000307149	COG7
ENST00000296786	UBLCP1
ENST00000280097	HNMT
ENST00000309859	GGA2
ENST00000308527	SNX33
ENST00000312292	C9orf131
ENST00000293288	BAX
ENST00000300087	DCTN5
ENST00000308666	ABCD2
ENST00000313708	EBF1
ENST00000292841	ZNF585A
ENST00000278671	LAMTOR1
ENST00000311923	MOS
ENST00000300093	PLK1
ENST00000303759	CHCHD7
ENST00000309979	NDST2
ENST00000310123	LGI4
ENST00000271324	CD53
ENST00000270310	FXYD7
ENST00000298223	FOLR2
ENST00000292476	CPSF4
ENST00000296522	HPGD
ENST00000298229	INPPL1
ENST00000280987	FAM177A1
ENST00000298231	PHOX2A
ENST00000280605	TKTL2
ENST00000314222	PHLDA2
ENST00000296411	METAP1
ENST00000308987	CKS1B
ENST00000293973	NTN3
ENST00000297613	RPP25L
ENST00000273920	ENOPH1
ENST00000311852	MMP14
ENST00000291934	TMEM190
ENST00000280665	DCP1B
ENST00000306507	FOXD4L1
ENST00000296577	ABCE1
ENST00000307864	AIFM2
ENST00000307546	MAGI3
ENST00000296015	TTC14
ENST00000287078	TYSND1
ENST00000311925	CCL19
ENST00000277010	SIGMAR1
ENST00000308924	U2AF2
ENST00000299238	HPS6
ENST00000306480	TMEM192
ENST00000302279	FNTA
ENST00000278070	PPRC1
ENST00000310346	TBX5
ENST00000313368	TAF7
ENST00000305031	CHSY3
ENST00000283357	FAM81B
ENST00000309668	INHBC
ENST00000292641	SCGB3A1
ENST00000312891	GJC3
ENST00000314134	SLC35C1
ENST00000301332	KIFC2
ENST00000307630	YWHAG
ENST00000280187	GPM6A
ENST00000300954	PCSK4
ENST00000307068	SOSTDC1
ENST00000280098	SPOPL
ENST00000308249	PPM1E
ENST00000271915	KCNN3
ENST00000300900	CA4
ENST00000292180	FLAD1
ENST00000307078	AXIN2
ENST00000288065	ARMC12
ENST00000289547	NPC1L1
ENST00000292823	PCYT1A
ENST00000274532	TIMD4
ENST00000306773	NPTX1
ENST00000301480	ZNF560
ENST00000295461	NIPAL1
ENST00000306801	RPTOR
ENST00000274569	PCYOX1L
ENST00000277942	NPFFR1
ENST00000281924	TMEM163
ENST00000282611	CATSPER3
ENST00000296513	ADAD1
ENST00000311630	FBXO45
ENST00000307998	EFEMP2
ENST00000302764	NUDCD2
ENST00000302262	GAA
ENST00000305135	YEATS2
ENST00000290894	SHF
ENST00000296257	SENP2
ENST00000310974	DPY19L1
ENST00000312579	CCDC85B
ENST00000312562	FOSL1
ENST00000284425	ABCA6
ENST00000305560	SPATA5L1
ENST00000312515	DRAP1
ENST00000289672	PKD1L1
ENST00000312397	SART1
ENST00000289805	SPATA2L
ENST00000304430	NUDT6
ENST00000288135	KIT
ENST00000298699	C12orf50
ENST00000312234	EIF1AD
ENST00000282292	ZNF773
ENST00000279804	CTF1
ENST00000312175	BANF1
ENST00000299871	ZNF211
ENST00000312134	CST6
ENST00000312106	CATSPER1
ENST00000312006	GAL3ST3
ENST00000296326	ZDHHC19
ENST00000299157	IKBIP
ENST00000301011	ZC3H18
ENST00000313028	PARP10
ENST00000306729	ASPSCR1
ENST00000311481	RAB1B
ENST00000299578	C16orf46
ENST00000295049	RFTN2
ENST00000311445	CNIH2
ENST00000310054	CYP2S1
ENST00000286063	PDE11A
ENST00000301178	AXL
ENST00000310380	XXYLT1
ENST00000297063	KIAA0895
ENST00000293872	LUC7L
ENST00000303251	RAB24
ENST00000311330	CD248
ENST00000311320	RIN1
ENST00000313269	GRINA
ENST00000309951	ACO1
ENST00000287907	HTR5A
ENST00000308192	PLG
ENST00000310775	FANCI
ENST00000311034	NPAS4
ENST00000295228	INHBB
ENST00000269967	CCDC97
ENST00000307046	IGF1
ENST00000313835	GPR89A
ENST00000304658	XPO6
ENST00000299178	AVPR1A
ENST00000269980	BCKDHA
ENST00000295685	ARPC2
ENST00000306006	ZNF239
ENST00000298545	AK8
ENST00000307729	MLLT10
ENST00000297107	GALNT10
ENST00000298552	TSC1
ENST00000305885	FEN1
ENST00000291707	SIGLEC12
ENST00000296328	UBXN7
ENST00000295890	COX18
ENST00000302450	CKAP2L
ENST00000296468	MFSD8
ENST00000300051	LDHD
ENST00000310421	VCPIP1
ENST00000278829	FADS3
ENST00000272519	RALB
ENST00000306376	ETV5
ENST00000303436	ARF4
ENST00000296252	LIPH
ENST00000281834	TNFSF4
ENST00000295822	EIF5A2
ENST00000273668	EAF2
ENST00000296776	TMEM174
ENST00000269919	PGPEP1
ENST00000281631	PARP8
ENST00000283285	CD96
ENST00000270061	SSBP4
ENST00000298875	CPSF2
ENST00000269385	CBX8
ENST00000296795	TLR3
ENST00000306869	DCXR
ENST00000292807	AP2M1
ENST00000285968	NUP205
ENST00000306011	ATOH1
ENST00000307128	MYOZ2
ENST00000311812	SNX31
ENST00000290974	ZFYVE28
ENST00000271636	CGN
ENST00000313777	FUZ
ENST00000298717	METTL3
ENST00000296503	HMGB2
ENST00000296504	SAP30
ENST00000296506	SCRG1
ENST00000290341	IGF2BP1
ENST00000306730	AVEN
ENST00000288670	FMNL2
ENST00000295119	NUP35
ENST00000296046	CPA3
ENST00000298068	HECTD2
ENST00000278949	MPZL3
ENST00000304698	FAM171B
ENST00000278937	MPZL2
ENST00000312865	MED25
ENST00000310053	HLTF
ENST00000303052	CSNK1G1
ENST00000296543	NAA15
ENST00000300896	USP32
ENST00000296051	HPS3
ENST00000305626	RAB33B
ENST00000269397	CBX4
ENST00000296255	RPN1
ENST00000302787	LETM1
ENST00000307712	SEC23A
ENST00000312938	ZBTB11
ENST00000271638	S100A11
ENST00000292566	ALKBH4
ENST00000292616	LRWD1
ENST00000272520	C1QL2
ENST00000292614	POLR2J
ENST00000295095	ARHGAP15
ENST00000290650	UBR1
ENST00000302495	HTRA4
ENST00000294785	NCSTN
ENST00000292385	DBN1
ENST00000278935	CEP164
ENST00000306688	LRRC45
ENST00000295131	ZSWIM2
ENST00000300213	CCNDBP1
ENST00000278412	SSRP1
ENST00000276603	TERF1
ENST00000287143	PRG3
ENST00000311862	PRG2
ENST00000279206	NUDT22
ENST00000271375	SFT2D2
ENST00000305641	LCMT2
ENST00000274008	SPATA5
ENST00000296736	TIGD6
ENST00000286301	CSF1R
ENST00000312428	DNAH7
ENST00000313833	FBXO34
ENST00000304733	DBNDD1
ENST00000295927	PTX3
ENST00000299381	ANAPC16
ENST00000299192	HEATR3
ENST00000295899	THOC7
ENST00000307365	DDIT4
ENST00000310942	CBX2
ENST00000295666	IGFBP7
ENST00000309042	REST
ENST00000296754	ERAP1
ENST00000287934	FZD1
ENST00000307161	MTNR1A
ENST00000296511	ANXA5
ENST00000296824	CCDC127
ENST00000292879	U2AF1L4
ENST00000307169	INSM2
ENST00000301159	LIN37
ENST00000277517	IDI2
ENST00000312504	VWC2L
ENST00000274026	CCNA2
ENST00000309106	MRGPRD
ENST00000309099	MRGPRF
ENST00000294309	TPCN2
ENST00000298596	STOX1
ENST00000303545	RNF139
ENST00000276692	TATDN1
ENST00000306312	SLC26A5
ENST00000307126	GTPBP2
ENST00000301458	CD320
ENST00000310144	PSMC5
ENST00000301457	NDUFA7
ENST00000276689	NDUFB9
ENST00000301455	ANGPTL4
ENST00000291906	PKN3
ENST00000283249	ITGB6
ENST00000291900	ZER1
ENST00000302125	MZB1
ENST00000302060	DNAJC18
ENST00000307839	RPL15
ENST00000310392	METTL18
ENST00000298119	LRFN5
ENST00000290881	KIAA0895L
ENST00000307138	RALGAPA1
ENST00000288532	COQ5
ENST00000314586	EXOC3L1
ENST00000285021	XPC
ENST00000308941	PHYHD1
ENST00000301061	WNT10B
ENST00000304800	TMEM208
ENST00000293549	WNT1
ENST00000301068	RHEBL1
ENST00000273450	ALDH1L1
ENST00000299798	SLC9A5
ENST00000306378	BPTF
ENST00000304372	KCTD19
ENST00000310653	RAB6A
ENST00000282541	GPD1L
ENST00000295926	CCNL1
ENST00000290949	ATP6V0D1
ENST00000293771	ZNF653
ENST00000270517	ECSIT
ENST00000290953	AGRP
ENST00000300055	PLIN1
ENST00000300056	PEX11A
ENST00000306077	TMEM43
ENST00000311268	GPR162
ENST00000306875	COG8
ENST00000288022	PDF
ENST00000288025	TMED6
ENST00000307892	CYB5B
ENST00000270631	PTH2
ENST00000295314	TMOD4
ENST00000272852	CPO
ENST00000273695	TM4SF19
ENST00000308448	ATAD1
ENST00000273375	RABL3
ENST00000289746	CDH15
ENST00000279873	ARID5B
ENST00000293350	ALDH16A1
ENST00000299432	MSS51
ENST00000272771	TMEFF2
ENST00000270625	RPS11
ENST00000313608	MRPS23
ENST00000283243	PLA2R1
ENST00000276943	IFNK
ENST00000270645	RCN3
ENST00000300057	MESP1
ENST00000284322	ABI3BP
ENST00000300060	ANPEP
ENST00000299166	NDUFB8
ENST00000299163	HIF1AN
ENST00000304720	OR1L6
ENST00000280245	CCDC83
ENST00000302101	NHLH1
ENST00000298532	SNAPC4
ENST00000293826	TNFSF12-TNFSF13
ENST00000271452	NUF2
ENST00000280700	NGLY1
ENST00000272895	ABCA12
ENST00000289921	FAM160B2
ENST00000280701	OXSM
ENST00000298705	PPP1R36
ENST00000306306	REEP4
ENST00000301215	ZNF526
ENST00000296238	CAMK2N2
ENST00000310118	PSMD2
ENST00000301204	TMEM145
ENST00000305409	SCG2
ENST00000304477	UTF1
ENST00000295408	MERTK
ENST00000306317	LGI3
ENST00000274137	NDUFS6
ENST00000306385	BMP1
ENST00000269886	SH3GL1
ENST00000301280	CHAF1A
ENST00000269298	SAT2
ENST00000278060	PAOX
ENST00000301281	UBXN6
ENST00000274606	NHP2
ENST00000296682	PRDM9
ENST00000287713	NMNAT2
ENST00000286070	RBM45
ENST00000306390	LRG1
ENST00000278174	BTBD10
ENST00000297283	PGAM2
ENST00000292114	TMEM199
ENST00000301408	CGB5
ENST00000300692	CD3D
ENST00000275364	GNA12
ENST00000297565	OSR2
ENST00000310127	ATP8B3
ENST00000294742	ARPC5
ENST00000272907	NYAP2
ENST00000304880	OR1N1
ENST00000297913	OR1Q1
ENST00000309623	OR1L1
ENST00000287461	ZNF689
ENST00000274192	SRD5A1
ENST00000313486	PITPNA
ENST00000300107	CLPX
ENST00000288985	ERCC6L2
ENST00000304043	HINT1
ENST00000301336	RILP
ENST00000311955	ABRA
ENST00000282841	GGPS1
ENST00000304502	CRYGA
ENST00000274545	GABRA6
ENST00000296600	ZNF474
ENST00000299191	C16orf78
ENST00000309083	PTMS
ENST00000309971	GLE1
ENST00000293502	SDR9C7
ENST00000314254	MRGPRX4
ENST00000300098	GPR182
ENST00000291009	PIP
ENST00000278222	SAA4
ENST00000300101	ZBTB39
ENST00000305513	SMYD4
ENST00000304613	KNDC1
ENST00000278409	OR5F1
ENST00000313472	OR8H3
ENST00000313447	OR8K5
ENST00000312298	OR5J2
ENST00000313033	OR5T3
ENST00000313253	OR4D11
ENST00000302270	OR8U1
ENST00000279791	OR5M9
ENST00000300131	NAB2
ENST00000308059	DLEC1
ENST00000300134	STAT6
ENST00000271532	FCRL4
ENST00000311069	PCP2
ENST00000303210	GNB2
ENST00000303892	ATP6V1G2
ENST00000310331	EIF4EBP3
ENST00000302014	CD14
ENST00000303151	POP7
ENST00000308317	GEMIN2
ENST00000297623	C9orf24
ENST00000309235	ZNF483
ENST00000303749	SDR16C5
ENST00000313525	DNAJC25
ENST00000306708	LRRC8E
ENST00000276654	LRP12
ENST00000290921	CTBP1
ENST00000297632	TMEM65
ENST00000287139	NODAL
ENST00000270538	TIMM44
ENST00000301788	POLR2G
ENST00000294168	TAF6L
ENST00000309446	KLF7
ENST00000307366	TMEM223
ENST00000302313	WDR48
ENST00000274712	ZMAT2
ENST00000298352	NGB
ENST00000296145	TDGF1
ENST00000305051	OR4K15
ENST00000307360	PCDHA10
ENST00000307534	PANK1
ENST00000289272	PCDHA13
ENST00000289269	PCDHAC2
ENST00000304820	OR1L3
ENST00000306549	PCDHB1
ENST00000296921	TLX3
ENST00000274625	FGF18
ENST00000306268	FOXI1
ENST00000274629	KCNMB1
ENST00000313324	FAM220A
ENST00000297056	DAGLB
ENST00000287169	ZDHHC5
ENST00000285071	FLCN
ENST00000306318	GBX2
ENST00000304330	RPAP1
ENST00000299440	RAG1
ENST00000311485	RAG2
ENST00000310614	MRPL48
ENST00000287675	EXOG
ENST00000310571	PAAF1
ENST00000307145	KLF13
ENST00000307050	OTUD7A
ENST00000300404	B4GALNT2
ENST00000295297	C1QTNF7
ENST00000314032	UCP3
ENST00000304032	AGAP1
ENST00000297788	CCDC136
ENST00000302681	OR2K2
ENST00000290551	BTG2
ENST00000311437	ZNF490
ENST00000306467	CEP120
ENST00000314520	MKRN3
ENST00000302035	SLAMF1
ENST00000285407	KLF10
ENST00000312419	POLD4
ENST00000312438	CLCF1
ENST00000312989	PPP1CA
ENST00000281938	HSPB8
ENST00000277865	GLUD1
ENST00000312390	TBC1D10C
ENST00000312629	RPS6KB2
ENST00000285873	GEMIN5
ENST00000295888	WDFY3
ENST00000271417	ILDR2
ENST00000290295	HOXB13
ENST00000288221	ERC2
ENST00000302754	JUNB
ENST00000302000	PYGO1
ENST00000301522	PRDX2
ENST00000302068	FGB
ENST00000312457	GPR152
ENST00000308022	TMEM134
ENST00000296358	OTOP1
ENST00000310791	REP15
ENST00000313050	SEC16A
ENST00000294179	STX5
ENST00000302328	SCN11A
ENST00000301391	CYB5D2
ENST00000301365	TRPV3
ENST00000305253	TUB
ENST00000285398	ERCC3
ENST00000281282	CGNL1
ENST00000301335	SLC43A2
ENST00000291842	SHKBP1
ENST00000305784	DTYMK
ENST00000273963	KLHL8
ENST00000314235	KCNMB3
ENST00000309988	MAL
ENST00000290431	PKD2L2
ENST00000308370	LTBP4
ENST00000295522	CLDN1
ENST00000281772	KANSL1L
ENST00000308641	APOBEC4
ENST00000281321	POU4F2
ENST00000283122	CETN3
ENST00000308132	FAM53A
ENST00000311893	ISCU
ENST00000292579	ZNF250
ENST00000308394	CASP3
ENST00000276816	ZNF16
ENST00000269305	TP53
ENST00000295006	CAPN2
ENST00000301738	KCTD5
ENST00000302641	PRSS27
ENST00000301740	SRRM2
ENST00000272190	REN
ENST00000284486	FAM167A
ENST00000310256	ARV1
ENST00000279227	FERMT3
ENST00000284382	CERS3
ENST00000313334	BTF3L4
ENST00000273077	PNKD
ENST00000296859	RAPGEF6
ENST00000314045	DDX54
ENST00000293831	EIF4A1
ENST00000288462	C9orf43
ENST00000297135	COG5
ENST00000286719	PPEF2
ENST00000286733	NAAA
ENST00000303400	MAEA
ENST00000302926	NLGN2
ENST00000293829	FGF11
ENST00000295901	PSMD6
ENST00000306071	CHRNB1
ENST00000284957	RABGEF1
ENST00000308677	PRKACA
ENST00000301599	TMEM88
ENST00000307358	HTRA3
ENST00000303731	TRAPPC1
ENST00000306072	ISG20
ENST00000300026	PPIB
ENST00000273261	LRIG1
ENST00000293922	PTX4
ENST00000282369	TRIM36
ENST00000300589	NOD2
ENST00000304639	RNASE3
ENST00000296526	GRIA2
ENST00000313599	CD163L1
ENST00000284694	C10orf90
ENST00000297130	MYOZ3
ENST00000296595	TMEM161B
ENST00000272164	WNT9A
ENST00000283033	TXNDC11
ENST00000269740	SLC39A3
ENST00000310999	MRPL11
ENST00000282701	BMP3
ENST00000286760	WHAMM
ENST00000307741	THOP1
ENST00000304527	SH3D19
ENST00000273666	STXBP5L
ENST00000282141	CRYGC
ENST00000307635	ZNF556
ENST00000298355	TRIM9
ENST00000308105	C1orf100
ENST00000309469	ATG4D
ENST00000281928	MED13L
ENST00000312962	KRI1
ENST00000293845	CCDC42
ENST00000306357	STX8
ENST00000281821	EPHA4
ENST00000310442	ZDHHC24
ENST00000285199	USP43
ENST00000287202	CELF6
ENST00000301998	B3GNT2
ENST00000302451	PDILT
ENST00000297581	DCSTAMP
ENST00000300575	C16orf92
ENST00000298854	RAPSN
ENST00000292539	PPP1R16A
ENST00000275766	ZC3HAV1L
ENST00000306422	OTP
ENST00000299162	FOXN4
ENST00000285518	AGPAT5
ENST00000310903	MYO1H
ENST00000302514	C1QTNF4
ENST00000302503	MTCH2
ENST00000273590	TCTA
ENST00000273588	AMT
ENST00000298198	PGM2L1
ENST00000280190	WDR17
ENST00000310128	KCNE3
ENST00000310325	CTSF
ENST00000278426	SLC43A1
ENST00000273598	NICN1
ENST00000287156	UBE2L6
ENST00000296452	BSN
ENST00000297431	ORC5
ENST00000278422	TMX2
ENST00000296456	APEH
ENST00000278407	SERPING1
ENST00000284770	PDLIM3
ENST00000295417	FZD5
ENST00000293441	SHANK1
ENST00000284110	HS3ST3A1
ENST00000305202	NECAB2
ENST00000308375	GMPPB
ENST00000311813	AQP1
ENST00000293230	CYGB
ENST00000306562	ZNF672
ENST00000278947	SCN2B
ENST00000302783	TTC36
ENST00000311669	ADPGK
ENST00000294811	C1orf74
ENST00000301873	LTBP3
ENST00000302188	RBKS
ENST00000313080	RHBDF2
ENST00000303324	OR2B2
ENST00000297185	HSPA9
ENST00000295628	LRRC58
ENST00000301190	ANKRD33
ENST00000274000	AP1AR
ENST00000307859	TRIM40
ENST00000287814	TIMP4
ENST00000305901	ONECUT1
ENST00000294829	FAM71A
ENST00000310447	CASP2
ENST00000295640	RNPEP
ENST00000296785	ANKRA2
ENST00000296792	UTP15
ENST00000295208	ZNF514
ENST00000275815	EPHA1
ENST00000295777	SERPINI1
ENST00000310397	SNED1
ENST00000297156	CAMLG
ENST00000299237	ZNF319
ENST00000301407	CGB1
ENST00000270235	NTN5
ENST00000288490	DGKI
ENST00000306406	TMEM37
ENST00000296589	SLC45A2
ENST00000272418	MRPS5
ENST00000303991	GPRIN1
ENST00000310112	SNCB
ENST00000311469	COQ2
ENST00000314028	CSNK1D
ENST00000297146	GPR85
ENST00000310032	TSPAN17
ENST00000312648	CD7
ENST00000302824	STARD5
ENST00000269389	SECTM1
ENST00000309784	TRIM59
ENST00000310473	UCP2
ENST00000295488	HELQ
ENST00000296930	NPM1
ENST00000295491	MRPS18C
ENST00000281882	CFC1B
ENST00000289416	ACSM3
ENST00000310758	ELMO1
ENST00000307751	LGALS4
ENST00000273596	ABHD14A
ENST00000307493	ACSM1
ENST00000307333	ANTXR2
ENST00000296597	NDUFAF2
ENST00000282507	UGT3A2
ENST00000309794	NARF
ENST00000296603	LMBRD2
ENST00000295589	CCKAR
ENST00000274853	PPP1R18
ENST00000274255	SKP2
ENST00000296484	POC1A
ENST00000309422	VEGFB
ENST00000275525	IGFBP1
ENST00000301030	ANKRD11
ENST00000305533	TWF2
ENST00000302874	ZCCHC4
ENST00000304056	KBTBD2
ENST00000307340	USH2A
ENST00000296490	WDR82
ENST00000305988	ADRB2
ENST00000279441	MMP10
ENST00000297157	RP9
ENST00000296277	RPL39L
ENST00000296233	KLF15
ENST00000308418	RNASEH2C
ENST00000308342	SNX32
ENST00000308110	MUS81
ENST00000307886	CTSW
ENST00000271751	KCNH1
ENST00000292431	NACC1
ENST00000311403	ZBTB4
ENST00000288177	ZNF19
ENST00000299952	MARVELD3
ENST00000274938	SCUBE3
ENST00000273854	EPHA5
ENST00000305738	PATE1
ENST00000311565	PPARD
ENST00000308406	MAPK7
ENST00000296695	SPINK1
ENST00000295082	KCNF1
ENST00000298317	RPUSD4
ENST00000313421	CD6
ENST00000308304	PROP1
ENST00000310418	CLTB
ENST00000299642	CLEC3A
ENST00000295886	NKX6-1
ENST00000311895	ERCC4
ENST00000287008	PCDH1
ENST00000275461	FERD3L
ENST00000310454	GPD2
